Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Away,7,Shot,76.78,-38.95,,,40.82,445,Play
1,Away,7,Shot,77.22,-39.29,17.39,-41.03,59.85,446,Play
1,Away,14,Shot,32.78,-33.29,24.26,-40.60,11.22,446,Play
1,Home,22,Shot,-17.65,-35.64,-23.30,-23.99,12.95,449,Play
1,Home,22,Shot,-23.22,-23.99,11.22,-40.42,38.16,450,Play
1,Home,24,Shot,16.00,-34.95,11.57,-39.55,6.40,450,Play
1,Home,22,Shot,-31.74,-36.68,-12.70,-38.86,19.17,451,Play
1,Home,70,Shot,-20.43,-34.77,-13.39,-38.25,7.86,451,Play
1,Home,70,Shot,-13.39,-38.25,-4.87,-40.16,8.73,452,Play
1,Home,70,Shot,-4.17,-39.55,21.91,37.66,81.50,453,Play
1,Home,91,Shot,14.70,40.45,22.26,37.75,8.03,453,Play
1,Home,91,Shot,28.52,38.27,87.91,34.88,59.49,454,Play
1,Home,91,Shot,86.61,35.23,95.22,17.40,19.80,455,Play
1,Home,91,Shot,95.22,17.32,85.48,6.18,14.79,456,Play
1,Home,91,Shot,83.57,6.62,86.17,3.23,4.28,457,Play
1,Away,1,Shot,86.52,2.79,,,3.73,457,Play
1,Away,1,Shot,86.78,2.53,83.91,-5.64,8.66,459,Play
1,Home,70,Shot,87.22,-32.95,57.13,-41.47,31.27,460,Play
1,Home,22,Shot,33.39,-36.86,56.26,-40.60,23.17,460,Play
1,Away,15,Shot,83.39,-26.51,64.96,-37.47,21.44,460,Play
1,Home,22,Shot,56.43,-40.16,68.61,-3.55,38.58,461,Play
1,Home,91,Shot,67.83,-6.86,68.26,-5.82,1.13,461,Play
1,Away,6,Shot,67.04,-19.90,,,29.63,461,Play
1,Home,91,Shot,69.39,-6.16,36.35,6.97,35.56,462,Play
1,Home,84,Shot,35.57,6.62,35.83,7.49,0.91,462,Play
1,Away,6,Shot,52.61,2.62,,,36.49,462,Play
1,Home,84,Shot,36.87,9.40,98.35,6.27,61.56,463,Play
