linked_event_index,first_event,last_event,event_count,event_indices,event_types,chain_type,chain_id,game_id
9145,1928.0,1929.0,4,"[1928.0, 1928.0, 1929.0, 1929.0]","['Pass', 'Turnover']",other,18969_link_9145,18969
9146,1931.0,1933.0,7,"[1931.0, 1931.0, 1931.0, 1932.0, 1932.0, 1932.0, 1933.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9146,18969
9147,1937.0,1938.0,4,"[1937.0, 1937.0, 1938.0, 1938.0]",['Zone_Entry_Exit'],zone_transition,18969_link_9147,18969
9148,1958.0,1959.0,2,"[1958.0, 1959.0]","['Shot', 'Turnover']",other,18969_link_9148,18969
9149,1962.0,1963.0,3,"[1962.0, 1963.0, 1963.0]","['Zone_Entry_Exit', 'Possession']",zone_transition,18969_link_9149,18969
9150,1964.0,1965.0,5,"[1964.0, 1964.0, 1964.0, 1965.0, 1965.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9150,18969
9151,1971.0,1973.0,7,"[1971.0, 1971.0, 1971.0, 1972.0, 1972.0, 1972.0, 1973.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9151,18969
9152,1975.0,1978.0,8,"[1975.0, 1975.0, 1975.0, 1976.0, 1976.0, 1976.0, 1977.0, 1978.0]","['Shot', 'Goal', 'Stoppage', 'DeadIce']",other,18969_link_9152,18969
9153,1981.0,1983.0,6,"[1981.0, 1981.0, 1982.0, 1982.0, 1983.0, 1983.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9153,18969
9154,1985.0,1986.0,4,"[1985.0, 1985.0, 1986.0, 1986.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9154,18969
9155,1992.0,1993.0,6,"[1992.0, 1992.0, 1992.0, 1993.0, 1993.0, 1993.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9155,18969
9156,1995.0,1996.0,2,"[1995.0, 1996.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9156,18969
9157,1998.0,1999.0,6,"[1998.0, 1998.0, 1998.0, 1999.0, 1999.0, 1999.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9157,18969
9158,2005.0,2006.0,6,"[2005.0, 2005.0, 2005.0, 2006.0, 2006.0, 2006.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9158,18969
9159,2031.0,2032.0,4,"[2031.0, 2031.0, 2032.0, 2032.0]","['Shot', 'Zone_Entry_Exit']",zone_transition,18969_link_9159,18969
9160,2035.0,2036.0,4,"[2035.0, 2035.0, 2036.0, 2036.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9160,18969
9161,2040.0,2041.0,4,"[2040.0, 2040.0, 2041.0, 2041.0]",['Zone_Entry_Exit'],zone_transition,18969_link_9161,18969
9162,2053.0,2055.0,4,"[2053.0, 2053.0, 2054.0, 2055.0]","['Pass', 'Zone_Entry_Exit', 'Possession']",zone_transition,18969_link_9162,18969
9163,2067.0,2071.0,8,"[2067.0, 2067.0, 2068.0, 2068.0, 2069.0, 2070.0, 2071.0, 2071.0]","['Shot', 'Goal', 'Stoppage', 'DeadIce', 'Faceoff']",other,18969_link_9163,18969
9164,2074.0,2075.0,4,"[2074.0, 2074.0, 2075.0, 2075.0]","['Shot', 'Turnover']",other,18969_link_9164,18969
9165,2090.0,2092.0,7,"[2090.0, 2090.0, 2090.0, 2091.0, 2091.0, 2091.0, 2092.0]","['Shot', 'Save', 'Stoppage']",shot_sequence,18969_link_9165,18969
