linked_event_index,first_event,last_event,event_count,event_indices,event_types,chain_type,chain_id,game_id
9218,2491.0,2493.0,5,"[2491.0, 2491.0, 2492.0, 2492.0, 2493.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9218,18969
9219,2501.0,2502.0,4,"[2501.0, 2501.0, 2502.0, 2502.0]","['Play', 'Zone_Entry_Exit']",zone_transition,18969_link_9219,18969
9220,2509.0,2510.0,8,"[2509.0, 2509.0, 2509.0, 2509.0, 2510.0, 2510.0, 2510.0, 2510.0]","['Pass', 'Turnover']",other,18969_link_9220,18969
9221,2515.0,2517.0,5,"[2515.0, 2515.0, 2516.0, 2516.0, 2517.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9221,18969
9222,2521.0,2522.0,6,"[2521.0, 2521.0, 2521.0, 2522.0, 2522.0, 2522.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9222,18969
9223,2523.0,2524.0,2,"[2523.0, 2524.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9223,18969
9224,2542.0,2543.0,4,"[2542.0, 2542.0, 2543.0, 2543.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9224,18969
9225,2546.0,2548.0,7,"[2546.0, 2546.0, 2546.0, 2547.0, 2547.0, 2547.0, 2548.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9225,18969
9226,2552.0,2555.0,6,"[2552.0, 2552.0, 2553.0, 2553.0, 2554.0, 2555.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9226,18969
9227,2575.0,2578.0,8,"[2575.0, 2575.0, 2575.0, 2576.0, 2576.0, 2576.0, 2577.0, 2578.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9227,18969
9228,2580.0,2581.0,2,"[2580.0, 2581.0]",['Zone_Entry_Exit'],zone_transition,18969_link_9228,18969
9229,2585.0,2587.0,9,"[2585.0, 2585.0, 2585.0, 2586.0, 2586.0, 2586.0, 2587.0, 2587.0, 2587.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9229,18969
