game_id,season,season_id,game_url,home_team_game_id,away_team_game_id,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts,video_id,video_start_time,video_end_time,video_title,video_url
18038,20242025,,https://www.noradhockey.com/event/18038/,18038N10009,18038N10002,2025-02-23,,Triple J,Ace,,,N10002_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,4,1,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18036,20242025,,https://www.noradhockey.com/event/18036/,18036N10005,18036N10004,2025-02-09,,OS Offices,Nelson,,,N10004_N10005,Regular,,Regulation,00:18:00,00:00:00,0.0,2,4,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18035,20242025,,https://www.noradhockey.com/event/18035/,18035N10008,18035N10003,2025-02-09,,Platinum,HollowBrook,,,N10003_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
18034,20242025,,https://www.noradhockey.com/event/18034/,18034N10009,18034N10007,2025-02-09,,Triple J,Outlaws,,,N10007_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,4,9,2.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18033,20242025,,https://www.noradhockey.com/event/18033/,18033N10002,18033N10006,2025-02-09,,Ace,Orphans,,,N10002_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,7,4,1.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18031,20242025,,https://www.noradhockey.com/event/18031/,18031N10008,18031N10001,2025-02-02,,Platinum,Amos,,,N10001_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,3,4,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18030,20242025,,https://www.noradhockey.com/event/18030/,18030N10009,18030N10004,2025-02-02,,Triple J,Nelson,,,N10004_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,2,5,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18029,20242025,,https://www.noradhockey.com/event/18029/,18029N10002,18029N10003,2025-02-02,,Ace,HollowBrook,,,N10002_N10003,Regular,,Regulation,00:18:00,00:00:00,0.0,4,8,1.0,0.0,3.0,0.0,2.0,4.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18028,20242025,,https://www.noradhockey.com/event/18028/,18028N10006,18028N10007,2025-02-02,,Orphans,Outlaws,,,N10006_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,5,4,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18025,20242025,,https://www.noradhockey.com/event/18025/,18025N10002,18025N10001,2025-01-26,,Ace,Amos,,,N10001_N10002,Regular,,Regulation,00:18:00,00:00:00,0.0,2,8,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18024,20242025,,https://www.noradhockey.com/event/18024/,18024N10006,18024N10004,2025-01-26,,Orphans,Nelson,,,N10004_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,7,1,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18023,20242025,,https://www.noradhockey.com/event/18023/,18023N10007,18023N10003,2025-01-26,,Outlaws,HollowBrook,,,N10003_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,0,7,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
10826,20242025,,https://www.noradhockey.com/event/10826/,10826N10009,10826N10005,2025-01-26,,Triple J,OS Offices,,,N10005_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,3,4,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18021,20242025,,https://www.noradhockey.com/event/18021/,18021N10002,18021N10008,2025-01-12,,Ace,Platinum,,,N10002_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,0,10,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18020,20242025,,https://www.noradhockey.com/event/18020/,18020N10006,18020N10005,2025-01-12,,Orphans,OS Offices,,,N10005_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18019,20242025,,https://www.noradhockey.com/event/18019/,18019N10007,18019N10001,2025-01-12,,Outlaws,Amos,,,N10001_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,5,3,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18018,20242025,,https://www.noradhockey.com/event/18018/,18018N10003,18018N10004,2025-01-12,,HollowBrook,Nelson,,,N10003_N10004,Regular,,Regulation,00:18:00,00:00:00,0.0,6,6,3.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
18016,20242025,,https://www.noradhockey.com/event/18016/,18016N10006,18016N10009,2025-01-05,,Orphans,Triple J,,,N10006_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,2,5,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18015,20242025,,https://www.noradhockey.com/event/18015/,18015N10007,18015N10008,2025-01-05,,Outlaws,Platinum,,,N10007_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,0,4,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
