rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
RZOZ20,OZ20,bottom of circle to half way to dot - half way to dot to dot,fine,76.5,84.0,-30.0,-22.5,offensive,low,right,bottom of circle to half way to dot,half way to dot to dot
RZOZ21,OZ21,bottom of circle to half way to dot - dot to half way to dot,fine,76.5,84.0,-22.5,-15.0,offensive,low,right,bottom of circle to half way to dot,dot to half way to dot
RZOZ22,OZ22,bottom of circle to half way to dot - half way to dot to hash,fine,76.5,84.0,-15.0,-7.5,offensive,mid,right,bottom of circle to half way to dot,half way to dot to hash
RZOZ23,OZ23,bottom of circle to half way to dot - hash to post,fine,76.5,84.0,-7.5,-5.5,offensive,high,center,bottom of circle to half way to dot,hash to post
RZOZ24,OZ24,bottom of circle to half way to dot - post to post,fine,76.5,84.0,-5.5,5.5,offensive,high,center,bottom of circle to half way to dot,post to post
RZOZ25,OZ25,bottom of circle to half way to dot - hash to post,fine,76.5,84.0,5.5,7.5,offensive,high,center,bottom of circle to half way to dot,hash to post
RZOZ26,OZ26,bottom of circle to half way to dot - hash to half way to dot,fine,76.5,84.0,7.5,15.0,offensive,mid,left,bottom of circle to half way to dot,hash to half way to dot
RZOZ27,OZ27,bottom of circle to half way to dot - half way to dot to dot,fine,76.5,84.0,15.0,22.5,offensive,low,left,bottom of circle to half way to dot,half way to dot to dot
RZOZ28,OZ28,bottom of circle to half way to dot - dot to half way to dot,fine,76.5,84.0,22.5,30.0,offensive,low,left,bottom of circle to half way to dot,dot to half way to dot
RZOZ29,OZ29,bottom of circle to half way to dot - half way to dot to hash,fine,76.5,84.0,30.0,37.5,offensive,low,left,bottom of circle to half way to dot,half way to dot to hash
RZOZ30,OZ30,bottom of circle to half way to dot - hash to boards,fine,76.5,84.0,37.5,42.5,offensive,low,left,bottom of circle to half way to dot,hash to boards
RZOZ31,OZ31,half way to dot to dot - boards to hash,fine,69.0,76.5,-42.5,-37.5,offensive,low,right,half way to dot to dot,boards to hash
RZOZ32,OZ32,half way to dot to dot - hash to half way to dot,fine,69.0,76.5,-37.5,-30.0,offensive,low,right,half way to dot to dot,hash to half way to dot
RZOZ33,OZ33,half way to dot to dot - half way to dot to dot,fine,69.0,76.5,-30.0,-22.5,offensive,low,right,half way to dot to dot,half way to dot to dot
RZOZ34,OZ34,half way to dot to dot - dot to half way to dot,fine,69.0,76.5,-22.5,-15.0,offensive,mid,right,half way to dot to dot,dot to half way to dot
RZOZ35,OZ35,half way to dot to dot - half way to dot to hash,fine,69.0,76.5,-15.0,-7.5,offensive,mid,right,half way to dot to dot,half way to dot to hash
RZOZ36,OZ36,half way to dot to dot - hash to post,fine,69.0,76.5,-7.5,-5.5,offensive,high,center,half way to dot to dot,hash to post
