event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,event_start_min,event_start_sec,event_end_min,event_end_sec,running_video_time,event_running_start,event_running_end,play_detail1,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_goal,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,pressured_pressurer,is_pressured,danger_level,danger_level_id,scoring_chance_key,faceoff_key,faceoff_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901382,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,o,ZN01,SQ1896900011,PL1896901101,EC18969001382,TV1896901382,SH1896900025,,Platinum,N10008,Velodrome,N10010,0.0,"P100022,P100192",P100201,Chris Premo,N20252026F,4.0,,,,,,,,,TB04,STR0001,,0,4.0,26.0,,,814.0,809.0,814.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690382,after_stoppage,0.0,0.0,1224.0,63.0,445.0,82.0,1.0,23.0,720.0,1312.0,,,,,1297.0,,,,,,1016.0,720.0,1312.0,1297.0,1297.0,1297.0
EV1896901387,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,o,ZN01,SQ1896900012,PL1896901201,EC18969001387,TV1896901387,SH1896900025,,Platinum,N10008,Velodrome,N10010,0.0,"P100107,P100192",P100201,Chris Premo,N20252026F,4.0,,,,,,,,,TB04,STR0001,,0,4.0,13.0,,,827.0,822.0,827.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690387,after_stoppage,0.0,12.0,1211.0,50.0,458.0,95.0,50.0,12.0,1116.0,1312.0,,,,,1297.0,,,,,,1214.0,1116.0,1312.0,1297.0,1297.0,1297.0
EV1896901427,18969,1,P01,Faceoff,ET0004,Faceoff_AfterGoal,,,,,,n,ZN03,SQ1896900013,PL1896901301,EC18969001427,TV1896901427,SH1896900027,,Platinum,N10008,Velodrome,N10010,0.0,"P100030,P100117",P100001,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB04,STR0001,,0,2.0,57.0,,,903.0,898.0,903.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690427,after_goal,4.0,0.0,1135.0,1425.0,534.0,26.0,7.0,26.0,1483.0,1326.0,,,,,1394.0,,,,,,1404.5,1326.0,1483.0,1394.0,1394.0,1394.0
EV1896901435,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900014,PL1896901401,EC18969001435,TV1896901435,SH1896900027,,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100117,Sam Downs,N20252026F,4.0,,,,,,,,,TB04,STR0001,,0,2.0,30.0,,,930.0,925.0,930.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690435,after_stoppage,2.0,20.0,1398.0,1108.0,53.0,561.0,10.0,20.0,1430.0,,,,,,1354.0,,,,,,1430.0,1430.0,1430.0,1354.0,1354.0,1354.0
EV1896901439,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,,,SQ1896900015,PL1896901501,EC18969001439,TV1896901439,SH1896900028,,Platinum,N10008,Velodrome,N10010,0.0,P100117,,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB05,STR0001,,0,1.0,59.0,,,961.0,956.0,961.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690439,after_stoppage,5.0,0.0,1077.0,1367.0,592.0,84.0,15.0,21.0,1500.0,,,,,,,,,,,,1500.0,1500.0,1500.0,,,
EV1896901456,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900016,PL1896901601,EC18969001456,TV1896901456,SH1896900028,,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100105",P100117,Sam Downs,N20252026F,4.0,,,,,,,,,TB05,STR0001,,0,1.0,24.0,,,996.0,991.0,996.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690456,after_stoppage,0.0,20.0,1332.0,1042.0,119.0,627.0,22.0,20.0,1565.0,1045.0,,,,,1500.0,,,,,,1305.0,1045.0,1565.0,1500.0,1500.0,1500.0
EV1896901468,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,o,ZN01,SQ1896900017,PL1896901701,EC18969001468,TV1896901468,SH1896900029,,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100117,Sam Downs,N20252026F,4.0,,,,,,,,,TB05,STR0001,,0,0.0,42.0,,,1038.0,1033.0,1038.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690468,after_stoppage,5.0,20.0,1290.0,1000.0,161.0,669.0,42.0,20.0,1695.0,,,,,,1500.0,,,,,,1695.0,1695.0,1695.0,1500.0,1500.0,1500.0
EV1896901498,18969,2,P02,Faceoff,ET0004,Faceoff_PeriodStart,,,,,,n,ZN03,SQ1896900018,PL1896901801,EC18969001498,TV1896901498,SH1896900031,,Platinum,N10008,Velodrome,N10010,0.0,P100201,P100192,Garrett Ashcroft,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,18.0,0.0,,,1152.0,1147.0,1152.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690498,other,3.0,72.0,1176.0,886.0,275.0,783.0,86.0,72.0,1592.0,,,,,,1705.0,,,,,,1592.0,1592.0,1592.0,1705.0,1705.0,1705.0
EV1896901552,18969,2,P02,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,o,ZN01,SQ1896900019,PL1896901901,EC18969001552,TV1896901552,SH1896900034,,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100093",P100117,Sam Downs,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,16.0,14.0,,,1258.0,1253.0,1258.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690552,after_stoppage,2.0,20.0,1070.0,780.0,381.0,889.0,96.0,20.0,1730.0,1296.0,,,,,1535.0,,,,,,1513.0,1296.0,1730.0,1535.0,1535.0,1535.0
EV1896901620,18969,2,P02,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900021,PL1896902101,EC18969001620,TV1896901620,SH1896900037,,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",P100201,Chris Premo,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,14.0,15.0,,,1377.0,1372.0,1377.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690620,after_stoppage,1.0,23.0,661.0,951.0,1008.0,500.0,13.0,23.0,1566.0,1705.0,,,,,1592.0,,,,,,1635.5,1566.0,1705.0,1592.0,1592.0,1592.0
