shift_id,game_id,shift_index,Period,shift_start_min,shift_start_sec,shift_end_min,shift_end_sec,shift_start_type,shift_stop_type,home_forward_1,home_forward_2,home_forward_3,home_defense_1,home_defense_2,home_xtra,home_goalie,away_forward_1,away_forward_2,away_forward_3,away_defense_1,away_defense_2,away_xtra,away_goalie,stoppage_time,home_ozone_start,home_ozone_end,home_dzone_start,home_dzone_end,home_nzone_start,home_nzone_end,home_team,away_team,shift_start_total_seconds,shift_end_total_seconds,shift_duration,home_team_strength,away_team_strength,home_team_en,away_team_en,home_team_pk,home_team_pp,away_team_pp,away_team_pk,situation,strength,home_goals,away_goals,home_team_plus,home_team_minus,away_team_plus,away_team_minus,period_start_total_running_seconds,running_video_time,shift_start_running_time,shift_end_running_time,period_id,home_team_id,away_team_id,season_id,time_bucket_id,strength_id,shift_start_type_derived,shift_stop_type_derived,start_zone,end_zone,start_zone_id,end_zone_id,home_forward_1_id,home_forward_2_id,home_forward_3_id,home_defense_1_id,home_defense_2_id,home_xtra_id,home_goalie_id,away_forward_1_id,away_forward_2_id,away_forward_3_id,away_defense_1_id,away_defense_2_id,away_xtra_id,away_goalie_id,home_gf_all,home_ga_all,away_gf_all,away_ga_all,home_gf_ev,home_ga_ev,away_gf_ev,away_ga_ev,home_gf_nen,home_ga_nen,away_gf_nen,away_ga_nen,home_gf_pp,home_ga_pp,away_gf_pp,away_ga_pp,home_gf_pk,home_ga_pk,away_gf_pk,away_ga_pk,home_pm_all,away_pm_all,home_pm_ev,away_pm_ev,home_pm_nen,away_pm_nen,home_pm_pp,away_pm_pp,home_pm_pk,away_pm_pk,sf,sa,shot_diff,cf,ca,cf_pct,ff,fa,ff_pct,scf,sca,hdf,hda,zone_entries,zone_exits,giveaways,takeaways,fo_won,fo_lost,fo_pct,event_count,shift_start_type_id,shift_stop_type_id,situation_id,shift_key,shift_duration_id,period
SH1896900022,18969,22,1.0,7.0,21.0,6.0,24.0,OtherFaceoff,,45.0,12.0,86.0,8.0,21.0,,99.0,70.0,14.0,55.0,9.0,84.0,,39.0,0.0,1.0,,,1.0,,,Platinum,Velodrome,441.0,384.0,57.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,634.0,694.0,P01,N10008,N10010,N20252026F,TB03,STR0001,OtherFaceoff,OnTheFly,d,d,2.0,2.0,P100117,P100027,P100222,P100030,P100025,,P100202,P100001,P100132,P100064,P100105,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,1,0,100.0,1,0,0,0,3,3,3,0,0,0,0.0,20,SST0002,SPT0003,SIT0001,SH1896900022,SD03,1.0
SH1896900023,18969,23,1.0,6.0,24.0,5.0,47.0,,Away Goal,45.0,12.0,20.0,8.0,21.0,,99.0,42.0,14.0,55.0,52.0,22.0,,39.0,0.0,,,1.0,1.0,,,Platinum,Velodrome,384.0,347.0,37.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,696.0,691.0,731.0,P01,N10008,N10010,N20252026F,TB03,STR0001,OnTheFly,Away Goal,o,d,1.0,2.0,P100117,P100027,P100024,P100030,P100025,,P100202,P100201,P100132,P100064,P100070,P100108,,P100016,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,-2,2,-2,2,-2,2,0,0,0,0,1,2,-1,2,2,50.0,2,2,50.0,2,2,0,0,3,3,2,0,0,0,0.0,29,SST0003,SPT0008,SIT0001,SH1896900023,SD02,1.0
SH1896900024,18969,24,1.0,5.0,47.0,4.0,46.0,FaceoffAfterGoal,Away Icing,53.0,12.0,20.0,78.0,3.0,,99.0,42.0,14.0,55.0,93.0,84.0,,39.0,0.0,,1.0,,,1.0,,Platinum,Velodrome,347.0,286.0,61.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,733.0,728.0,792.0,P01,N10008,N10010,N20252026F,TB03,STR0001,FaceoffAfterGoal,Away Icing,d,n,2.0,3.0,P100192,P100027,P100024,P100107,P100023,,P100202,P100201,P100132,P100064,P100093,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,100.0,4,0,100.0,4,0,0,0,1,0,1,0,0,0,0.0,24,SST0004,SPT0001,SIT0001,SH1896900024,SD04,1.0
SH1896900025,18969,25,1.0,4.0,46.0,3.0,27.0,OtherFaceoff,,53.0,82.0,34.0,78.0,3.0,,99.0,42.0,75.0,49.0,93.0,84.0,,39.0,12.0,1.0,,,1.0,,,Platinum,Velodrome,286.0,207.0,79.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,794.0,789.0,871.0,P01,N10008,N10010,N20252026F,TB04,STR0001,OtherFaceoff,OnTheFly,o,o,1.0,1.0,P100192,P100110,P100022,P100107,P100023,,P100202,P100201,P100039,P100161,P100093,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,100.0,3,0,100.0,3,0,0,0,3,3,4,1,0,0,0.0,39,SST0002,SPT0003,SIT0001,SH1896900025,SD04,1.0
SH1896900026,18969,26,1.0,3.0,27.0,3.0,22.0,,Away Goal,53.0,82.0,34.0,78.0,3.0,,99.0,42.0,75.0,49.0,52.0,9.0,,39.0,0.0,,,1.0,1.0,,,Platinum,Velodrome,207.0,202.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,873.0,868.0,876.0,P01,N10008,N10010,N20252026F,TB04,STR0001,OnTheFly,Away Goal,o,o,1.0,1.0,P100192,P100110,P100022,P100107,P100023,,P100202,P100201,P100039,P100161,P100070,P100105,,P100016,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,-2,2,-2,2,-2,2,0,0,0,0,0,2,-2,0,2,0.0,0,2,0.0,0,2,0,0,1,0,0,0,0,0,0.0,7,SST0003,SPT0008,SIT0001,SH1896900026,SD01,1.0
SH1896900027,18969,27,1.0,3.0,22.0,2.0,17.0,OtherFaceoff,Away Icing,45.0,47.0,86.0,8.0,21.0,,99.0,70.0,75.0,49.0,52.0,9.0,,39.0,20.0,,1.0,,,1.0,,Platinum,Velodrome,202.0,137.0,65.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,878.0,873.0,941.0,P01,N10008,N10010,N20252026F,TB04,STR0001,OtherFaceoff,Away Icing,d,n,2.0,3.0,P100117,P100210,P100222,P100030,P100025,,P100202,P100001,P100039,P100161,P100070,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0.0,0,1,0.0,0,1,0,0,1,0,0,0,0,0,0.0,12,SST0002,SPT0001,SIT0001,SH1896900027,SD04,1.0
SH1896900028,18969,28,1.0,2.0,17.0,0.0,59.0,,Puck Out of Play,45.0,47.0,86.0,8.0,21.0,,99.0,70.0,61.0,91.0,52.0,9.0,,39.0,20.0,1.0,,,1.0,,,Platinum,Velodrome,137.0,59.0,78.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,943.0,938.0,1019.0,P01,N10008,N10010,N20252026F,TB04,STR0001,OnTheFly,Puck Out of Play,o,,1.0,,P100117,P100210,P100222,P100030,P100025,,P100202,P100001,P100224,P100002,P100070,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,66.66666666666666,2,1,66.66666666666666,2,1,1,0,1,1,1,0,0,0,0.0,29,SST0003,SPT0007,SIT0001,SH1896900028,SD04,1.0
SH1896900029,18969,29,1.0,0.0,59.0,0.0,0.01,OtherFaceoff,Period End,45.0,12.0,20.0,8.0,21.0,,99.0,70.0,61.0,91.0,22.0,84.0,,39.0,0.0,,,1.0,,,1.0,Platinum,Velodrome,59.0,0.01,59.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1021.0,1016.0,1078.0,P01,N10008,N10010,N20252026F,TB05,STR0001,OtherFaceoff,Period End,n,o,3.0,1.0,P100117,P100027,P100024,P100030,P100025,,P100202,P100001,P100224,P100002,P100108,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,3,4,4,1,0,0,0.0,28,SST0002,SPT0009,SIT0001,SH1896900029,SD03,1.0
SH1896900030,18969,30,1.0,0.0,,,,Intermission,,,,,,,,,,,,,,,,0.0,,,,,1.0,,Platinum,Velodrome,,,,,,,,,,,,,,1.0,2.0,,,,,0.0,1021.0,1016.0,1019.0,P01,N10008,N10010,N20252026F,TB05,,Intermission,OnTheFly,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,SST0005,SPT0003,,SH1896900030,,1.0
SH1896900031,18969,31,2.0,18.0,0.0,17.0,11.0,PeriodStart,,53.0,12.0,20.0,78.0,3.0,,99.0,42.0,14.0,55.0,22.0,84.0,,39.0,0.0,,,,1.0,,,Platinum,Velodrome,1080.0,1031.0,49.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1152.0,1147.0,1199.0,P02,N10008,N10010,N20252026F,TB01,STR0001,PeriodStart,OnTheFly,d,n,2.0,3.0,P100192,P100027,P100024,P100107,P100023,,P100202,P100201,P100132,P100064,P100108,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,100.0,2,0,100.0,2,0,0,0,3,3,1,1,0,0,0.0,30,SST0006,SPT0003,SIT0001,SH1896900031,SD03,2.0
SH1896900032,18969,32,2.0,17.0,11.0,16.0,52.0,,,53.0,12.0,20.0,78.0,3.0,,99.0,42.0,14.0,55.0,93.0,52.0,,39.0,0.0,,,1.0,,,1.0,Platinum,Velodrome,1031.0,1012.0,19.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1201.0,1196.0,1218.0,P02,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,OnTheFly,n,d,3.0,2.0,P100192,P100027,P100024,P100107,P100023,,P100202,P100201,P100132,P100064,P100093,P100070,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,1,2,1,1,0,0,0.0,10,SST0003,SPT0003,SIT0001,SH1896900032,SD01,2.0
SH1896900033,18969,33,2.0,16.0,52.0,16.0,35.0,,Home Goalie Stopped (after Away SOG),53.0,12.0,34.0,78.0,3.0,,99.0,42.0,14.0,55.0,93.0,52.0,,39.0,0.0,,,,1.0,1.0,,Platinum,Velodrome,1012.0,995.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1220.0,1215.0,1235.0,P02,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,Home Goalie Stopped (after Away SOG),d,o,2.0,1.0,P100192,P100027,P100022,P100107,P100023,,P100202,P100201,P100132,P100064,P100093,P100070,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,0.0,0,2,0.0,0,2,0,1,1,0,2,0,0,0,0.0,13,SST0003,SPT0006,SIT0001,SH1896900033,SD01,2.0
SH1896900034,18969,34,2.0,16.0,35.0,15.0,28.0,OtherFaceoff,,45.0,82.0,34.0,78.0,3.0,,99.0,70.0,49.0,75.0,93.0,52.0,,39.0,20.0,,1.0,1.0,,,,Platinum,Velodrome,995.0,928.0,67.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1237.0,1232.0,1302.0,P02,N10008,N10010,N20252026F,TB01,STR0001,OtherFaceoff,Stoppage,d,d,2.0,2.0,P100117,P100110,P100022,P100107,P100023,,P100202,P100001,P100161,P100039,P100093,P100070,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,33.33333333333333,1,2,33.33333333333333,1,2,0,0,3,3,4,0,0,0,0.0,36,SST0002,SPT0002,SIT0001,SH1896900034,SD04,2.0
SH1896900035,18969,35,2.0,15.0,28.0,15.0,9.0,,,45.0,82.0,34.0,8.0,21.0,,99.0,70.0,49.0,75.0,93.0,52.0,,39.0,0.0,1.0,,,1.0,,,Platinum,Velodrome,928.0,909.0,19.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1304.0,1299.0,1321.0,P02,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,OnTheFly,d,o,2.0,1.0,P100117,P100110,P100022,P100030,P100025,,P100202,P100001,P100161,P100039,P100093,P100070,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,50.0,1,1,50.0,1,1,0,0,1,1,0,0,0,0,0.0,12,SST0003,SPT0003,SIT0001,SH1896900035,SD01,2.0
SH1896900036,18969,36,2.0,15.0,9.0,14.0,36.0,,Home Goalie Stopped (after Away SOG),45.0,47.0,34.0,8.0,21.0,,99.0,70.0,49.0,75.0,9.0,52.0,,39.0,0.0,,,1.0,1.0,,,Platinum,Velodrome,909.0,876.0,33.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1323.0,1318.0,1354.0,P02,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,Home Goalie Stopped (after Away SOG),o,d,1.0,2.0,P100117,P100210,P100022,P100030,P100025,,P100202,P100001,P100161,P100039,P100105,P100070,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,50.0,1,1,50.0,1,1,0,0,2,2,0,1,0,0,0.0,25,SST0003,SPT0006,SIT0001,SH1896900036,SD02,2.0
SH1896900037,18969,37,2.0,14.0,36.0,13.0,1.0,OtherFaceoff,,53.0,47.0,86.0,8.0,21.0,,99.0,42.0,61.0,91.0,9.0,22.0,,39.0,16.0,,,1.0,,,1.0,Platinum,Velodrome,876.0,781.0,95.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,1.0,2.0,0.0,0.0,0.0,0.0,1152.0,1356.0,1351.0,1449.0,P02,N10008,N10010,N20252026F,TB02,STR0001,OtherFaceoff,OnTheFly,n,d,3.0,2.0,P100192,P100210,P100222,P100030,P100025,,P100202,P100201,P100224,P100002,P100105,P100108,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,33.33333333333333,1,2,33.33333333333333,1,2,0,0,2,3,4,0,0,0,0.0,42,SST0002,SPT0003,SIT0001,SH1896900037,SD05,2.0
