player_season_key,player_id,season_id,player_name,games_played,goals,assists,points,shots,sog,shots_blocked,shots_missed,pass_attempts,pass_completed,fo_wins,fo_losses,fo_total,zone_entries,zone_exits,giveaways,takeaways,toi_seconds,playing_toi_seconds,stoppage_seconds,shift_count,logical_shifts,corsi_for,corsi_against,fenwick_for,fenwick_against,blocks,hits,puck_battles,puck_battle_wins,retrievals,plus_ev,minus_ev,plus_total,minus_total,plus_en_adj,minus_en_adj,gf_all_shift,ga_all_shift,cf_shift,ca_shift,gf_adj,ga_adj,cf_adj,ca_adj,player_rating,avg_opp_rating_precise,qoc_precise,qoc_rating,qot_rating,avg_shift_quality_score,games_over,games_under,games_expected,expected_pm,pm_vs_expected,toi_minutes,toi_per_game_seconds,toi_per_game_minutes,plus_minus_total,plus_minus_ev,plus_minus_en_adj,pm_all_shift,pm_adj,shooting_pct,pass_pct,fo_pct,cf_pct,ff_pct,cf_pct_adj,avg_rating_advantage,goals_per_game,assists_per_game,points_per_game,shots_per_game,pm_adj_per_game,goals_per_60,assists_per_60,points_per_60,shots_per_60,corsi_for_per_60,corsi_against_per_60,gf_adj_per_60,ga_adj_per_60,pm_adj_per_60,cf_adj_per_60,ca_adj_per_60,over_pct,under_pct
PSN20252026F_P100030,P100030,N20252026F,Jesse Chambless,1,0,0,0,10,5,1,2,18,12,0,0,0,3,3,6,3,1680.0,1525.0,155.0,49,12,32,22,27,19,0,0,2,1,13,0,-1,0,-1,0,-1,0.0,1.0,19.0,35.0,0.0,1.0526315789473684,32.23259259259259,21.8412464953808,5.0,4.029074074074074,4.029074074074074,3.93,0.0,58.23611111111112,0,1,0,0.4854629629629632,-1.4854629629629632,28.0,1680.0,28.0,1,1,1,-1.0,-1.0526315789473684,0.0,66.66666666666666,0.0,59.25925925925925,58.69565217391305,59.60847821467418,0.9709259259259264,0.0,0.0,0.0,10.0,-1.0526315789473684,0.0,0.0,0.0,21.428571428571427,68.57142857142857,47.14285714285714,0.0,2.2556390977443606,-2.2556390977443606,69.06984126984126,46.80267106153029,0.0,100.0
PSN20252026F_P100031,P100031,N20252026F,Christopher Mihlon,1,0,0,0,2,0,1,1,20,14,0,0,0,5,1,3,2,1105.0,925.0,180.0,39,11,25,8,15,5,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,18.0,15.0,0.0,0.0,23.93560606060606,8.355752492482988,5.0,3.8296969696969696,3.8296969696969696,3.75,0.0,64.36363636363636,0,1,0,0.5851515151515152,-0.5851515151515152,18.416666666666668,1105.0,18.416666666666668,0,0,0,0.0,0.0,0.0,70.0,0.0,75.75757575757575,75.0,74.1238744144332,1.1703030303030304,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.515837104072398,81.44796380090497,26.063348416289593,0.0,0.0,0.0,77.98025503907856,27.22236106148304,0.0,100.0
PSN20252026F_P100032,P100032,N20252026F,Trevor Chavez,1,0,0,0,5,4,0,1,30,20,0,0,0,14,16,18,4,1849.0,1545.0,304.0,58,10,26,28,21,19,2,0,0,0,38,0,0,0,0,0,0,0.0,0.0,34.0,21.0,0.0,0.0,24.68037103174603,29.49712543071509,5.0,3.796980158730159,3.796980158730159,3.75,0.0,68.81785714285715,0,1,0,0.6015099206349206,-0.6015099206349206,30.816666666666666,1849.0,30.816666666666666,0,0,0,0.0,0.0,0.0,66.66666666666666,0.0,48.148148148148145,52.5,45.55465394907411,1.2030198412698412,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.73499188750676,50.62195781503515,54.515954570037856,0.0,0.0,0.0,48.05264235494089,57.43085535455615,0.0,100.0
PSN20252026F_P100033,P100033,N20252026F,Taylor Rogalsky,1,0,0,0,11,8,1,1,11,5,0,0,0,5,4,12,1,1433.0,1197.0,236.0,50,11,36,18,25,13,7,0,0,0,20,0,-1,0,-1,0,-1,0.0,2.0,34.0,21.0,0.0,2.16374269005848,33.7314935064935,19.210533914700704,3.0,3.7479437229437225,3.7479437229437225,3.85,0.0,65.9090909090909,0,1,0,-0.3739718614718612,-1.6260281385281388,23.883333333333333,1433.0,23.883333333333333,1,1,1,-2.0,-2.16374269005848,0.0,45.45454545454545,0.0,66.66666666666666,65.78947368421053,63.71401918202668,-0.7479437229437225,0.0,0.0,0.0,11.0,-2.16374269005848,0.0,0.0,0.0,27.634333565945568,90.43963712491278,45.21981856245639,0.0,5.435780658904766,-5.435780658904766,84.74066756690621,48.26093656170449,0.0,100.0
PSN20252026F_P100034,P100034,N20252026F,Colin Brewster,1,0,0,0,6,2,2,1,15,9,0,0,0,4,5,11,2,1471.0,1235.0,236.0,53,11,36,19,24,13,2,0,0,0,17,0,-1,0,-1,0,-1,0.0,2.0,34.0,22.0,0.0,2.16374269005848,33.851493506493505,20.20590317141525,3.0,3.761277056277056,3.761277056277056,3.85,0.0,65.54545454545455,0,1,0,-0.380638528138528,-1.619361471861472,24.516666666666666,1471.0,24.516666666666666,1,1,1,-2.0,-2.16374269005848,0.0,60.0,0.0,65.45454545454545,64.86486486486487,62.62139057156511,-0.7612770562770561,0.0,0.0,0.0,6.0,-2.16374269005848,0.0,0.0,0.0,14.68388851121686,88.10333106730116,46.498980285520055,0.0,5.295359404629863,-5.295359404629863,82.84525943125536,49.45020490625079,0.0,100.0
PSN20252026F_P100038,P100038,N20252026F,Kevin Moore,1,0,0,0,1,1,0,0,10,9,0,0,0,0,4,3,3,1205.0,1016.0,189.0,31,9,15,27,11,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.0,17.0,0.0,0.0,15.992129629629629,25.324957299597607,3.0,4.264567901234567,4.264567901234567,4.23,0.0,63.60683760683761,1,0,0,-0.6322839506172837,0.6322839506172837,20.083333333333332,1205.0,20.083333333333332,0,0,0,0.0,0.0,0.0,90.0,0.0,35.714285714285715,37.93103448275862,38.70584985098981,-1.2645679012345674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.987551867219917,44.81327800829876,80.66390041493777,0.0,0.0,0.0,47.77731673582296,75.6596234676775,100.0,0.0
PSN20252026F_P100039,P100039,N20252026F,Nicole Downs,4,0,0,0,9,2,4,3,11,6,0,0,0,7,5,14,0,4581.0,4044.0,537.0,130,34,74,89,57,67,1,0,0,0,5,4,-4,4,-4,4,-4,8.0,7.0,68.0,97.0,8.075,6.476190476190476,76.01194444444444,86.98817825328173,2.0,4.138012566137566,4.138012566137566,3.9425,0.0,63.07002314814815,3,1,0,-4.276025132275132,5.276025132275132,76.35,1145.25,19.0875,8,8,8,1.0,1.598809523809523,0.0,54.54545454545454,0.0,45.39877300613497,45.96774193548387,46.63305964830712,-2.138012566137566,0.0,0.0,0.0,2.25,0.39970238095238075,0.0,0.0,0.0,7.072691552062868,58.153241650294696,69.9410609037328,6.345776031434184,5.089344185611377,1.2564318458228079,59.73433748089936,68.36006149570274,75.0,25.0
PSN20252026F_P100047,P100047,N20252026F,Nathan Watts,1,1,0,1,8,7,0,1,11,7,0,0,0,12,3,9,1,1619.0,1238.0,381.0,48,12,40,27,29,20,0,0,0,0,0,2,-3,2,-3,2,-3,4.0,5.0,28.0,46.0,3.9,5.360224089635854,41.09345238095238,26.28155916392659,5.0,4.109345238095238,4.109345238095238,4.07,0.0,59.64682539682539,0,1,0,0.445327380952381,-1.445327380952381,26.983333333333334,1619.0,26.983333333333334,5,5,5,-1.0,-1.460224089635854,12.5,63.63636363636363,0.0,59.70149253731343,59.183673469387756,60.99212666342883,0.890654761904762,1.0,0.0,1.0,8.0,-1.460224089635854,2.2235948116121063,0.0,2.2235948116121063,17.78875849289685,88.94379246448425,60.03705991352687,8.672019765287214,11.91896647479251,-3.246946709505296,91.37518750551486,58.43953859798377,0.0,100.0
PSN20252026F_P100049,P100049,N20252026F,Kirk Moore,1,0,0,0,4,1,1,2,9,7,0,0,0,4,4,8,0,1161.0,1050.0,111.0,28,9,17,20,14,15,0,0,0,0,0,0,-1,0,-1,0,-1,0.0,1.0,21.0,19.0,0.0,0.9411764705882352,17.340787037037035,19.606953206553808,3.0,4.080185185185185,4.080185185185185,4.07,0.0,61.80555555555556,0,0,1,-0.5400925925925923,-0.4599074074074076,19.35,1161.0,19.35,1,1,1,-1.0,-0.9411764705882352,0.0,77.77777777777779,0.0,45.94594594594595,48.275862068965516,46.93328177234077,-1.0801851851851847,0.0,0.0,0.0,4.0,-0.9411764705882352,0.0,0.0,0.0,12.403100775193797,52.713178294573645,62.01550387596899,0.0,2.9183766529867756,-2.9183766529867756,53.76988228538615,60.79675412884902,0.0,0.0
PSN20252026F_P100061,P100061,N20252026F,Eric Larson,1,0,0,0,3,0,2,1,18,10,0,0,0,2,5,9,1,1582.0,1582.0,0.0,45,10,29,16,21,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.0,15.0,0.0,0.0,27.60336805555556,16.80954291759384,3.0,3.807361111111111,3.807361111111111,3.93,0.0,70.46666666666667,0,0,1,-0.4036805555555556,0.4036805555555556,26.366666666666667,1582.0,26.366666666666667,0,0,0,0.0,0.0,0.0,55.55555555555556,0.0,64.44444444444444,65.625,62.15167493129117,-0.8073611111111112,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.826801517067003,65.99241466498103,36.40960809102402,0.0,0.0,0.0,62.81423830594185,38.251804363677515,0.0,0.0
PSN20252026F_P100064,P100064,N20252026F,James Rynearson,2,0,1,1,5,1,1,3,7,3,0,0,0,6,3,9,2,2151.0,1900.0,251.0,64,18,24,58,20,43,0,0,0,0,11,1,-2,2,-2,1,-2,2.0,2.0,47.0,31.0,2.0,2.111111111111111,23.901,58.83980536811377,3.0,3.9835000000000003,3.9835000000000003,3.89,0.0,67.05,1,0,1,-0.9835,0.9835,35.85,1075.5,17.925,4,3,3,0.0,-0.11111111111111116,0.0,42.857142857142854,0.0,29.268292682926827,31.746031746031743,28.886593372719148,-0.9835000000000003,0.0,0.5,0.5,2.5,-0.05555555555555558,0.0,1.6736401673640167,1.6736401673640167,8.368200836820083,40.1673640167364,97.07112970711296,3.3472803347280333,3.533240353324035,-0.18596001859600192,40.00167364016736,98.4766617039561,50.0,0.0
PSN20252026F_P100066,P100066,N20252026F,Brock Lofgren,1,0,0,0,5,3,0,1,10,7,9,12,21,10,5,6,2,1516.0,1516.0,0.0,45,12,35,14,28,10,0,0,0,0,0,1,-1,1,-1,1,-1,2.0,4.0,32.0,16.0,2.0,4.0,33.6328125,14.56910569105691,6.0,3.84375,3.84375,3.93,0.0,63.36147186147186,0,1,0,1.078125,-3.078125,25.266666666666666,1516.0,25.266666666666666,2,2,2,-2.0,-2.0,0.0,70.0,42.857142857142854,71.42857142857143,73.68421052631578,69.77484250043814,2.15625,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,11.87335092348285,83.11345646437995,33.245382585751976,4.74934036939314,9.49868073878628,-4.74934036939314,79.86683707124011,34.59682090224596,0.0,100.0
PSN20252026F_P100070,P100070,N20252026F,Hayden Perea,3,0,0,0,6,2,2,2,35,29,0,0,0,13,18,22,4,4580.0,4056.0,524.0,132,37,64,84,46,70,1,0,1,0,14,2,-2,2,-3,2,-2,4.0,8.0,56.0,103.0,4.0,7.171428571428572,65.12076449013949,80.95555120909856,4.0,4.109429212762547,4.109429212762547,3.9233333333333333,0.0,59.70030663780664,1,2,0,-0.16414381914381962,-3.8358561808561795,76.33333333333333,1526.6666666666667,25.444444444444446,5,4,4,-4.0,-3.1714285714285717,0.0,82.85714285714286,0.0,43.24324324324324,39.6551724137931,44.57996094604347,-0.10942921276254669,0.0,0.0,0.0,2.0,-1.0571428571428572,0.0,0.0,0.0,4.716157205240175,50.3056768558952,66.02620087336246,3.14410480349345,5.636930754834686,-2.4928259513412354,51.18662711015332,63.633184356496685,33.33333333333333,66.66666666666666
PSN20252026F_P100071,P100071,N20252026F,Andy Alm,1,0,0,0,3,2,1,0,6,2,0,0,0,2,2,5,1,1197.0,1197.0,0.0,38,11,26,16,20,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,23.0,17.0,0.0,0.0,25.33604797979798,16.419293187781413,3.0,3.8978535353535353,3.8978535353535353,3.93,0.0,70.36363636363636,0,0,1,-0.4489267676767676,0.4489267676767676,19.95,1197.0,19.95,0,0,0,0.0,0.0,0.0,33.33333333333333,0.0,61.904761904761905,62.5,60.677382273360415,-0.8978535353535353,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.022556390977444,78.19548872180451,48.1203007518797,0.0,0.0,0.0,76.1986405407458,49.38133289558319,0.0,0.0
PSN20252026F_P100072,P100072,N20252026F,Bobby Dickinson,1,0,0,0,0,0,0,0,5,3,0,0,0,3,3,2,0,983.0,983.0,0.0,22,10,14,14,9,9,0,0,0,0,0,0,-1,0,-1,0,-1,2.0,4.0,17.0,15.0,2.0,4.0,13.410833333333334,14.615050021748583,2.0,3.831666666666667,3.831666666666667,3.93,0.0,65.41666666666666,0,1,0,-0.9158333333333336,-1.0841666666666665,16.383333333333333,983.0,16.383333333333333,1,1,1,-2.0,-2.0,0.0,60.0,0.0,50.0,50.0,47.85159905013862,-1.831666666666667,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,51.271617497456766,51.271617497456766,7.3245167853509665,14.649033570701933,-7.3245167853509665,49.11393692777213,53.52408960152076,0.0,100.0
PSN20252026F_P100074,P100074,N20252026F,Marko Somersalmi,1,0,0,0,4,1,1,1,7,5,0,0,0,9,11,13,4,1567.0,1567.0,0.0,52,12,29,22,23,16,0,0,0,0,0,1,-1,2,-1,1,-1,4.0,4.0,26.0,25.0,3.875,4.0,27.796701388888888,22.95236370222786,4.0,3.8340277777777776,3.8340277777777776,3.93,0.0,64.13825757575758,0,0,1,0.0829861111111112,-0.0829861111111112,26.116666666666667,1567.0,26.116666666666667,3,2,2,0.0,-0.125,0.0,71.42857142857143,0.0,56.86274509803921,58.97435897435898,54.77283441376045,0.1659722222222224,0.0,0.0,0.0,4.0,-0.125,0.0,0.0,0.0,9.189534141671984,66.6241225271219,50.542437779195915,8.902361199744735,9.189534141671984,-0.2871729419272495,63.85968410976388,52.73038246842393,0.0,0.0
PSN20252026F_P100078,P100078,N20252026F,Kyle Popovich,1,1,0,1,5,4,1,0,13,10,8,12,20,8,4,4,1,1728.0,1728.0,0.0,59,13,29,24,21,17,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0,30.0,25.0,1.875,0.0,27.839690170940173,25.000278226030822,5.0,3.839957264957265,3.839957264957265,3.93,0.0,69.47552447552448,1,0,0,0.5800213675213675,1.4199786324786323,28.8,1728.0,28.8,1,0,0,2.0,1.875,20.0,76.92307692307693,40.0,54.71698113207547,55.26315789473685,52.68680322022308,1.160042735042735,1.0,0.0,1.0,5.0,1.875,2.0833333333333335,0.0,2.0833333333333335,10.416666666666668,60.41666666666667,50.0,3.90625,0.0,3.90625,57.99935452279203,52.08391297089755,100.0,0.0
PSN20252026F_P100079,P100079,N20252026F,Joe Lopez,1,0,0,0,8,4,1,3,11,6,0,0,0,10,5,7,1,1832.0,1832.0,0.0,59,10,35,24,27,17,0,0,0,0,0,0,-1,0,-1,0,-1,2.0,4.0,38.0,26.0,2.0,4.0,33.26125,25.254613100830547,4.0,3.801285714285714,3.801285714285714,3.93,0.0,64.97727272727272,0,1,0,0.0993571428571429,-2.099357142857143,30.533333333333335,1832.0,30.533333333333335,1,1,1,-2.0,-2.0,0.0,54.54545454545454,0.0,59.32203389830508,61.36363636363637,56.84142425223479,0.19871428571428584,0.0,0.0,0.0,8.0,-2.0,0.0,0.0,0.0,15.72052401746725,68.77729257641923,47.16157205240175,3.9301310043668125,7.860262008733625,-3.9301310043668125,65.36053493449782,49.62696897543121,0.0,100.0
PSN20252026F_P100080,P100080,N20252026F,Steve Klyn,1,0,0,0,1,0,1,0,3,1,0,0,0,1,0,1,0,900.0,753.0,147.0,32,8,11,19,7,13,0,0,0,0,4,0,-1,0,-1,0,-1,0.0,2.0,15.0,15.0,0.0,2.16374269005848,10.206592261904762,20.476961814186968,2.0,3.7114880952380953,3.7114880952380953,3.75,0.0,61.07142857142857,0,1,0,-0.8557440476190477,-1.1442559523809523,15.0,900.0,15.0,1,1,1,-2.0,-2.16374269005848,0.0,33.33333333333333,0.0,36.666666666666664,35.0,33.26404834522615,-1.7114880952380953,0.0,0.0,0.0,1.0,-2.16374269005848,0.0,0.0,0.0,4.0,44.0,76.0,0.0,8.65497076023392,-8.65497076023392,40.826369047619046,81.90784725674787,0.0,100.0
PSN20252026F_P100081,P100081,N20252026F,Lee Smith,1,0,0,0,1,0,1,0,4,1,0,0,0,1,1,7,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,25.0,0.0,50.0,50.0,50.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSN20252026F_P100084,P100084,N20252026F,Ty Smith,1,0,0,0,9,3,3,2,18,17,13,12,25,6,9,6,5,1915.0,1495.0,420.0,58,14,52,22,40,16,0,0,0,0,0,2,-2,2,-2,2,-2,4.0,3.0,26.0,57.0,3.9,3.0745098039215684,53.5968112244898,21.344553413977664,6.0,4.122831632653061,4.122831632653061,4.07,0.0,61.18367346938776,0,0,1,0.9385841836734694,0.0614158163265305,31.916666666666668,1915.0,31.916666666666668,4,4,4,1.0,0.8254901960784315,0.0,94.44444444444444,52.0,70.27027027027027,71.42857142857143,71.51832833983185,1.8771683673469388,0.0,0.0,0.0,9.0,0.8254901960784315,0.0,0.0,0.0,16.919060052219322,97.75456919060052,41.35770234986945,7.331592689295039,5.7797573337428965,1.551835355552143,100.75640752384506,40.125531222099006,0.0,0.0
