chain_id,game_id,season_id,entry_event_key,shot_event_key,entry_event_index,shot_event_index,events_to_shot,entry_type,shot_result,is_goal,team_id,team_name,home_team_id,away_team_id,home_team_name,away_team_name,event_types_chain,event_details_chain,entry_player_id,entry_player_name,shot_player_id,shot_player_name,players_touched_count,sequence_key,play_key,zone_id,zone_entry_type_id,shot_result_detail_id,time_bucket_id,strength_id,shot_type_id
CH1896909042,18969,N20252026F,EV1896909042,EV1896909050,9042,9050,8,ZoneEntry-Rush,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Pass > Zone_Entry_Exit > Pass > Pass > Pass > Shot,Zone_Entryfailed > Pass_Missed > Pass_Missed > Pass_Deflected > Zone_Keepin > Pass_Intercepted > Pass_Missed > Pass_Missed > Shot_OnNetSaved,,,,,0,SQ1896900075,PL1896907507,ZN03,ZE0010,ED0040,,,
CH1896909070,18969,N20252026F,EV1896909070,EV1896909073,9070,9073,3,ZoneEntry-DumpIn,Goal,True,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Shot,Zone_Entry > Pass_Deflected > Pass_Missed > Shot_Goal,,,,,0,SQ1896900086,PL1896908604,ZN03,ZE0003,ED0037,,,
CH1896909106,18969,N20252026F,EV1896909106,EV1896909107,9106,9107,1,ZoneEntry-Rush,Shot_Blocked,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,,,,,0,SQ1896900099,PL1896909913,ZN01,ZE0010,ED0033,,,
CH1896909118,18969,N20252026F,EV1896909118,EV1896909120,9118,9120,2,ZoneEntry-DumpIn,Shot_Missed,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Shot,Zone_Entry > Pass_Missed > Shot_Missed,,,,,0,SQ1896900099,PL1896909926,ZN03,ZE0003,ED0038,,,
CH1896909126,18969,N20252026F,EV1896909126,EV1896909132,9126,9132,6,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Pass > Pass > Pass > Shot,Zone_Entry > Pass_Intercepted > Pass_Missed > Pass_Completed > Pass_Missed > Pass_Missed > Shot_OnNetSaved,,,,,0,SQ1896900099,PL1896909935,ZN03,ZE0003,ED0040,,,
CH1896909156,18969,N20252026F,EV1896909156,EV1896909159,9156,9159,3,ZoneEntry-DumpIn,Shot_Blocked,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Shot,Zone_Entry > Pass_Deflected > Pass_Completed > Shot_Blocked,,,,,0,SQ1896900106,PL1896910607,ZN03,ZE0003,ED0033,,,
CH1896909160,18969,N20252026F,EV1896909160,EV1896909163,9160,9163,3,ZoneEntry-DumpIn,Goal,True,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Zone_Entry_Exit > Pass > Shot,Zone_Entry > Zone_Exit > Pass_Missed > Shot_Goal,,,,,0,SQ1896900106,PL1896910612,ZN03,ZE0003,ED0037,,,
CH1896909175,18969,N20252026F,EV1896909175,EV1896909178,9175,9178,3,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Shot,Zone_Entry > Pass_Completed > Pass_Intercepted > Shot_OnNetSaved,,,,,0,SQ1896900112,PL1896911204,ZN03,ZE0003,ED0040,,,
CH1896909202,18969,N20252026F,EV1896909202,EV1896909207,9202,9207,5,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Zone_Entry_Exit > Pass > Shot,Zone_Entry > Pass_Completed > Pass_Intercepted > Zone_Entry > Pass_Deflected > Shot_OnNetSaved,,,,,0,SQ1896900121,PL1896912111,ZN03,ZE0003,ED0040,,,
CH1896909205,18969,N20252026F,EV1896909205,EV1896909207,9205,9207,2,ZoneEntry-Chip,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Shot,Zone_Entry > Pass_Deflected > Shot_OnNetSaved,,,,,0,SQ1896900121,PL1896912114,ZN03,ZE0002,ED0040,,,
