possession_key,game_id,season_id,player_id,venue,zone_entries,zone_exits,ozone_entries,dzone_entries,possession_events,estimated_possession_seconds,venue_id,team_id,home_team_id,away_team_id
PO1898194970,18981,N20252026F,P100201,Away,5,3,5,0,11,39.0,VN0002,N10010,N10004,N10010
PO1898182792,18981,N20252026F,P100066,Home,10,5,10,0,11,46.0,VN0001,N10004,N10004,N10010
PO1898122879,18981,N20252026F,P100093,Away,7,8,7,0,10,60.0,VN0002,N10010,N10004,N10010
PO1898182329,18981,N20252026F,P100079,Home,10,5,10,0,22,92.0,VN0001,N10004,N10004,N10010
PO1898169202,18981,N20252026F,P100002,Away,5,7,5,0,16,71.0,VN0002,N10010,N10004,N10010
PO1898110954,18981,N20252026F,P100197,Home,12,10,12,0,28,175.0,VN0001,N10004,N10004,N10010
PO1898196565,18981,N20252026F,P100070,Away,5,6,5,0,10,47.0,VN0002,N10010,N10004,N10010
PO1898128482,18981,N20252026F,P100074,Home,9,11,9,0,6,39.0,VN0001,N10004,N10004,N10010
PO1898158330,18981,N20252026F,P100230,Away,2,0,2,0,2,5.0,VN0002,N10010,N10004,N10010
PO1898159590,18981,N20252026F,P100039,Away,2,0,2,0,0,0.0,VN0002,N10010,N10004,N10010
PO1898192481,18981,N20252026F,P100161,Away,5,2,5,0,5,48.0,VN0002,N10010,N10004,N10010
PO1898150554,18981,N20252026F,P100105,Away,3,3,3,0,8,48.0,VN0002,N10010,N10004,N10010
PO1898150244,18981,N20252026F,P100072,Home,3,3,3,0,1,2.0,VN0001,N10004,N10004,N10010
PO1898145744,18981,N20252026F,P100132,Away,3,5,3,0,4,35.0,VN0002,N10010,N10004,N10010
PO1898195091,18981,N20252026F,P100224,Away,1,1,1,0,6,24.0,VN0002,N10010,N10004,N10010
PO1898105234,18981,N20252026F,P100111,Home,0,0,0,0,3,5.0,VN0001,N10004,N10004,N10010
PO1898790836,18987,N20252026F,P100185,Away,15,4,4,0,39,144.0,VN0002,N10010,N10007,N10010
PO1898797469,18987,N20252026F,P100032,Away,14,16,4,0,54,125.0,VN0002,N10010,N10007,N10010
PO1898715779,18987,N20252026F,P100001,Home,18,14,3,0,36,125.0,VN0001,N10007,N10007,N10010
PO1898770105,18987,N20252026F,P100170,Away,6,6,3,0,26,69.0,VN0002,N10010,N10007,N10010
PO1898745744,18987,N20252026F,P100132,Home,2,4,1,0,6,9.0,VN0001,N10007,N10007,N10010
PO1898785377,18987,N20252026F,P100128,Away,7,4,2,0,19,48.0,VN0002,N10010,N10007,N10010
PO1898785241,18987,N20252026F,P100031,Away,5,1,3,0,21,60.0,VN0002,N10010,N10007,N10010
PO1898769202,18987,N20252026F,P100002,Home,2,9,0,0,25,82.0,VN0001,N10007,N10007,N10010
PO1898750554,18987,N20252026F,P100105,Home,7,10,3,0,31,60.0,VN0001,N10007,N10007,N10010
PO1898759590,18987,N20252026F,P100039,Home,0,0,0,0,1,0.0,VN0001,N10007,N10007,N10010
PO1898747154,18987,N20252026F,P100016,Home,0,0,0,0,0,246.0,VN0001,N10007,N10007,N10010
PO1898780274,18987,N20252026F,P100004,Away,4,4,1,0,11,92.0,VN0002,N10010,N10007,N10010
PO1898790016,18987,N20252026F,P100108,Home,2,10,1,0,24,32.0,VN0001,N10007,N10007,N10010
PO1898794970,18987,N20252026F,P100201,Home,13,8,3,0,47,169.0,VN0001,N10007,N10007,N10010
PO1898789630,18987,N20252026F,P100064,Home,5,1,1,0,6,11.0,VN0001,N10007,N10007,N10010
PO1898736286,18987,N20252026F,P100099,Away,6,4,1,0,18,44.0,VN0002,N10010,N10007,N10010
PO1898703077,18987,N20252026F,P100033,Away,5,4,0,0,28,66.0,VN0002,N10010,N10007,N10010
PO1898717958,18987,N20252026F,P100034,Away,4,5,0,0,18,43.0,VN0002,N10010,N10007,N10010
PO1898736076,18987,N20252026F,P100198,Home,5,8,1,0,28,92.0,VN0001,N10007,N10007,N10010
PO1898719002,18987,N20252026F,P100009,Away,0,2,0,0,0,172.0,VN0002,N10010,N10007,N10010
PO1898758330,18987,N20252026F,P100230,Home,0,1,0,0,5,6.0,VN0001,N10007,N10007,N10010
PO1898792695,18987,N20252026F,P100214,Away,5,4,2,0,13,31.0,VN0002,N10010,N10007,N10010
PO1898795091,18987,N20252026F,P100224,Home,4,2,2,0,12,51.0,VN0001,N10007,N10007,N10010
PO1898757784,18987,N20252026F,P100232,Away,0,4,0,0,7,28.0,VN0002,N10010,N10007,N10010
PO1898751728,18987,N20252026F,P100080,Away,1,0,1,0,4,5.0,VN0002,N10010,N10007,N10010
PO1898790356,18987,N20252026F,P100223,Away,5,3,1,0,8,12.0,VN0002,N10010,N10007,N10010
