scoring_chance_key,game_id,event_id,period,is_goal,danger_level,is_rebound,is_rush,is_odd_man,event_detail,event_detail_2,time_bucket_id,strength_id,shot_type_id,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC18969_EV1896901390,18969,EV1896901390,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,1201.0,40.0,468.0,105.0,40.0,22.0,720.0,565.0,,,,,2494.0,1297.0,,,,,642.5,565.0,720.0,1895.5,1297.0,2494.0
SC18969_EV1896901423,18969,EV1896901423,1,0,medium,0,0,0,Shot_Goal,,,,,0.0,0.0,1451.0,1161.0,145.0,508.0,33.0,62.0,1305.0,,,,,,2584.0,,,,,,1305.0,1305.0,1305.0,2584.0,2584.0,2584.0
SC18969_EV1896901424,18969,EV1896901424,1,1,medium,0,0,0,Goal_Scored,Goal_Backhand,,,,26.0,0.0,1451.0,1161.0,145.0,508.0,33.0,62.0,1305.0,,,,,,2584.0,,,,,,1305.0,1305.0,1305.0,2584.0,2584.0,2584.0
SC18969_EV1896901431,18969,EV1896901431,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,1418.0,1128.0,33.0,541.0,30.0,33.0,2649.0,1419.0,,,,,,,,,,,2034.0,1419.0,2649.0,,,
SC18969_EV1896901442,18969,EV1896901442,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,1.0,1071.0,1361.0,598.0,90.0,9.0,27.0,1243.0,,,,,,2908.0,1451.0,,,,,1243.0,1243.0,1243.0,2179.5,1451.0,2908.0
SC18969_EV1896901452,18969,EV1896901452,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Tip,,,,0.0,0.0,1062.0,1352.0,607.0,99.0,42.0,36.0,1500.0,,,,,,2908.0,1045.0,,,,,1500.0,1500.0,1500.0,1976.5,1045.0,2908.0
SC18969_EV1896901465,18969,EV1896901465,1,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,3.0,1.0,1313.0,1023.0,138.0,646.0,3.0,39.0,877.0,,,,,,,,,,,,877.0,877.0,877.0,,,
SC18969_EV1896901516,18969,EV1896901516,2,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,3.0,3.0,857.0,1147.0,812.0,304.0,57.0,101.0,1705.0,,,,,,,,,,,,1705.0,1705.0,1705.0,,,
SC18969_EV1896901519,18969,EV1896901519,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,850.0,1140.0,819.0,311.0,50.0,108.0,1225.0,1705.0,,,,,3158.0,1647.0,,,,,1465.0,1225.0,1705.0,2402.5,1647.0,3158.0
SC18969_EV1896901540,18969,EV1896901540,2,0,low,0,0,0,Shot_Missed,Shot_Tipped,,,,0.0,2.0,1102.0,812.0,349.0,857.0,12.0,146.0,1024.0,,,,,,,,,,,,1024.0,1024.0,1024.0,,,
SC18969_EV1896901548,18969,EV1896901548,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Backhand,,,,0.0,5.0,1092.0,802.0,359.0,867.0,2.0,156.0,1296.0,,,,,,1225.0,3240.0,,,,,1296.0,1296.0,1296.0,2232.5,1225.0,3240.0
SC18969_EV1896901568,18969,EV1896901568,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,0.0,0.0,1045.0,755.0,406.0,914.0,71.0,45.0,1257.0,,,,,,995.0,,,,,,1257.0,1257.0,1257.0,995.0,995.0,995.0
SC18969_EV1896901575,18969,EV1896901575,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,2.0,0.0,1032.0,742.0,419.0,927.0,58.0,58.0,1296.0,1357.0,,,,,1480.0,737.0,3240.0,,,,1326.5,1296.0,1357.0,1819.0,737.0,3240.0
SC18969_EV1896901583,18969,EV1896901583,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,6.0,0.0,734.0,1024.0,935.0,427.0,50.0,66.0,1535.0,,,,,,3158.0,1569.0,,,,,1535.0,1535.0,1535.0,2363.5,1569.0,3158.0
SC18969_EV1896901592,18969,EV1896901592,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,1008.0,718.0,443.0,951.0,34.0,82.0,1357.0,,,,,,3240.0,,,,,,1357.0,1357.0,1357.0,3240.0,3240.0,3240.0
SC18969_EV1896901606,18969,EV1896901606,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,697.0,987.0,972.0,464.0,13.0,103.0,1243.0,,,,,,3158.0,,,,,,1243.0,1243.0,1243.0,3158.0,3158.0,3158.0
SC18969_EV1896901617,18969,EV1896901617,2,0,medium,0,0,0,Shot_Deflected,Shot_Wrist,,,,0.0,3.0,974.0,684.0,477.0,985.0,36.0,116.0,1730.0,,,,,,1566.0,,,,,,1730.0,1730.0,1730.0,1566.0,1566.0,1566.0
SC18969_EV1896901638,18969,EV1896901638,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Snap,,,,0.0,2.0,620.0,910.0,1049.0,541.0,42.0,28.0,1566.0,1243.0,,,,,939.0,3158.0,,,,,1404.5,1243.0,1566.0,2048.5,939.0,3158.0
SC18969_EV1896901651,18969,EV1896901651,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,893.0,603.0,558.0,1066.0,25.0,45.0,877.0,,,,,,3240.0,,,,,,877.0,877.0,877.0,3240.0,3240.0,3240.0
SC18969_EV1896901655,18969,EV1896901655,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,0.0,3.0,886.0,596.0,565.0,1073.0,18.0,52.0,939.0,,,,,,1243.0,,,,,,939.0,939.0,939.0,1243.0,1243.0,1243.0
SC18969_EV1896901667,18969,EV1896901667,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,2.0,555.0,845.0,1114.0,606.0,8.0,23.0,1680.0,1705.0,,,,,3158.0,,,,,,1692.5,1680.0,1705.0,3158.0,3158.0,3158.0
SC18969_EV1896901673,18969,EV1896901673,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_OneTime,,,,1.0,0.0,549.0,839.0,1120.0,612.0,2.0,29.0,1084.0,1225.0,,,,,3158.0,1647.0,1592.0,,,,1154.5,1084.0,1225.0,2132.333333333333,1592.0,3158.0
SC18969_EV1896901677,18969,EV1896901677,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_Tip,,,,0.0,0.0,547.0,837.0,1122.0,614.0,296.0,31.0,1225.0,,,,,,3158.0,,,,,,1225.0,1225.0,1225.0,3158.0,3158.0,3158.0
SC18969_EV1896901693,18969,EV1896901693,2,0,medium,0,0,0,Shot_OnNetSaved,Shot_WrapAround,,,,0.0,0.0,498.0,788.0,1171.0,663.0,247.0,49.0,1680.0,,,,,,3158.0,,,,,,1680.0,1680.0,1680.0,3158.0,3158.0,3158.0
SC18969_EV1896901724,18969,EV1896901724,2,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,1.0,1.0,742.0,452.0,709.0,1217.0,201.0,95.0,1357.0,,,,,,1480.0,,,,,,1357.0,1357.0,1357.0,1480.0,1480.0,1480.0
SC18969_EV1896901741,18969,EV1896901741,2,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,4.0,2.0,423.0,713.0,1246.0,738.0,172.0,124.0,1535.0,,,,,,1045.0,,,,,,1535.0,1535.0,1535.0,1045.0,1045.0,1045.0
SC18969_EV1896901744,18969,EV1896901744,2,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,0.0,1.0,416.0,706.0,1253.0,745.0,165.0,131.0,737.0,,,,,,1045.0,,,,,,737.0,737.0,737.0,1045.0,1045.0,1045.0
