play_key,play_id,game_id,season_id,period,period_id,sequence_key,first_event_key,last_event_key,event_count,start_min,start_sec,duration_seconds,video_time_start,video_time_end,time_bucket_id,strength_id,home_team,home_team_id,away_team,away_team_id,start_zone,end_zone,start_zone_id,end_zone_id,event_types,has_goal,goal_count,has_shot,shot_count,zone_entry_count,zone_exit_count,pass_count,pass_success_count,turnover_count,giveaway_count,takeaway_count,unique_player_count,player_ids
PL1896905402,PL1896905402,18969,N20252026F,3,P03,SQ1896900054,EV1896902473,EV1896902475,3,3.0,41.0,3.0,3155.0,3158.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,n,o,ZN03,ZN01,"Play,Possession,Zone_Entry_Exit",False,0,False,0,1,0,0,0,0,0,0,2,"P100001,P100022"
PL1896912502,PL1896912502,18969,N20252026F,3,P03,SQ1896900125,EV1896902476,EV1896902478,3,3.0,38.0,0.0,3158.0,3158.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Rebound",False,0,True,1,0,0,0,0,0,0,0,3,"P100001,P100023,P100202"
PL1896905403,PL1896905403,18969,N20252026F,3,P03,SQ1896900054,EV1896902479,EV1896902484,3,3.0,36.0,2.0,3160.0,3168.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Possession,Possession,Zone_Entry_Exit",False,0,False,0,1,0,0,0,0,0,0,2,"P100001,P100117"
PL1896912503,PL1896912503,18969,N20252026F,3,P03,SQ1896900125,EV1896902480,EV1896902482,3,3.0,36.0,0.0,3160.0,3162.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Pass,Turnover,Zone_Entry_Exit",False,0,False,0,0,1,1,0,1,1,0,3,"P100001,P100161,P100202"
PL1896905404,PL1896905404,18969,N20252026F,3,P03,SQ1896900054,EV1896902485,EV1896902496,9,3.0,28.0,4.0,3168.0,3175.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Pass,Shot,Possession,Pass,Possession,Pass,Possession,Shot,Goal",True,1,True,2,0,0,3,3,0,0,0,3,"P100022,P100023,P100117"
PL1896912504,PL1896912504,18969,N20252026F,3,P03,SQ1896900125,EV1896902491,EV1896902502,5,3.0,22.0,0.0,3174.0,3209.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,n,ZN01,ZN03,"Shot,Save,Rebound,Play,Zone_Entry_Exit",False,0,True,1,1,0,0,0,0,0,0,4,"P100016,P100023,P100198,P100210"
PL1896905501,PL1896905501,18969,N20252026F,3,P03,SQ1896900055,EV1896902497,EV1896902497,1,3.0,20.0,0.0,3176.0,3176.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Stoppage,False,0,False,0,0,0,0,0,0,0,0,1,P100023
PL1896905601,PL1896905601,18969,N20252026F,3,P03,SQ1896900056,EV1896902498,EV1896902498,1,3.0,20.0,30.0,3176.0,3206.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,DeadIce,False,0,False,0,0,0,0,0,0,0,0,1,P100023
PL1896905701,PL1896905701,18969,N20252026F,3,P03,SQ1896900057,EV1896902499,EV1896902505,5,2.0,50.0,6.0,3206.0,3218.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,n,o,ZN03,ZN01,"Faceoff,Possession,Possession,Pass,Zone_Entry_Exit",False,0,False,0,1,0,1,1,0,0,0,3,"P100001,P100039,P100198"
PL1896905702,PL1896905702,18969,N20252026F,3,P03,SQ1896900057,EV1896902506,EV1896902512,5,2.0,38.0,3.0,3218.0,3228.0,TB04,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Possession,Possession,Possession,Turnover",False,0,True,1,0,0,0,0,1,1,0,3,"P100001,P100039,P100117"
