shift_quality_key,game_id,player_id,shift_index,shift_duration,shift_quality,quality_score,period,strength,situation
SH1896900077,18969,P100016,77,61.0,long,70,3.0,,
SH1896900078,18969,P100016,78,42.0,optimal,100,3.0,,
SH1896900079,18969,P100016,79,9.0,short,70,3.0,,
SH1896900080,18969,P100016,80,11.0,short,70,3.0,,
SH1896900081,18969,P100016,81,50.0,good,90,3.0,,
SH1896900082,18969,P100016,82,2.0,short,70,3.0,,
SH1896900083,18969,P100016,83,34.0,optimal,100,3.0,,
SH1896900084,18969,P100016,84,22.0,short,70,3.0,,
SH1896900085,18969,P100016,85,16.0,short,70,3.0,,
SH1896900086,18969,P100016,86,45.0,good,90,3.0,,
SH1896900087,18969,P100016,87,24.0,short,70,3.0,,
SH1896900088,18969,P100016,88,58.0,good,90,3.0,,
SH1896900089,18969,P100016,89,27.0,short,70,3.0,,
SH1896900090,18969,P100016,90,42.0,optimal,100,3.0,,
SH1896900091,18969,P100016,91,69.0,long,70,3.0,,
SH1896900092,18969,P100016,92,15.0,short,70,3.0,,
SH1896900093,18969,P100016,93,9.0,short,70,3.0,,
SH1896900094,18969,P100016,94,15.0,short,70,3.0,,
SH1896900095,18969,P100016,95,10.0,short,70,3.0,,
SH1896900002,18969,P100022,2,79.0,long,70,1.0,,
SH1896900003,18969,P100022,3,9.0,short,70,1.0,,
SH1896900004,18969,P100022,4,29.0,short,70,1.0,,
SH1896900005,18969,P100022,5,4.0,short,70,1.0,,
SH1896900014,18969,P100022,14,49.0,good,90,1.0,,
SH1896900015,18969,P100022,15,9.0,short,70,1.0,,
SH1896900016,18969,P100022,16,23.0,short,70,1.0,,
SH1896900017,18969,P100022,17,6.0,short,70,1.0,,
SH1896900018,18969,P100022,18,7.0,short,70,1.0,,
SH1896900019,18969,P100022,19,14.0,short,70,1.0,,
SH1896900020,18969,P100022,20,18.0,short,70,1.0,,
SH1896900025,18969,P100022,25,79.0,long,70,1.0,,
SH1896900026,18969,P100022,26,5.0,short,70,1.0,,
SH1896900033,18969,P100022,33,17.0,short,70,2.0,,
SH1896900034,18969,P100022,34,67.0,long,70,2.0,,
SH1896900035,18969,P100022,35,19.0,short,70,2.0,,
SH1896900036,18969,P100022,36,33.0,optimal,100,2.0,,
SH1896900041,18969,P100022,41,4.0,short,70,2.0,,
SH1896900042,18969,P100022,42,29.0,short,70,2.0,,
SH1896900043,18969,P100022,43,38.0,optimal,100,2.0,,
SH1896900044,18969,P100022,44,27.0,short,70,2.0,,
SH1896900056,18969,P100022,56,13.0,short,70,2.0,,
SH1896900057,18969,P100022,57,78.0,long,70,2.0,,
SH1896900058,18969,P100022,58,11.0,short,70,2.0,,
SH1896900070,18969,P100022,70,11.0,short,70,3.0,,
SH1896900071,18969,P100022,71,7.0,short,70,3.0,,
SH1896900078,18969,P100022,78,42.0,optimal,100,3.0,,
SH1896900079,18969,P100022,79,9.0,short,70,3.0,,
SH1896900080,18969,P100022,80,11.0,short,70,3.0,,
SH1896900081,18969,P100022,81,50.0,good,90,3.0,,
SH1896900082,18969,P100022,82,2.0,short,70,3.0,,
SH1896900089,18969,P100022,89,27.0,short,70,3.0,,
SH1896900090,18969,P100022,90,42.0,optimal,100,3.0,,
SH1896900091,18969,P100022,91,69.0,long,70,3.0,,
SH1896900098,18969,P100022,98,58.0,good,90,3.0,,
SH1896900002,18969,P100023,2,79.0,long,70,1.0,,
SH1896900003,18969,P100023,3,9.0,short,70,1.0,,
SH1896900004,18969,P100023,4,29.0,short,70,1.0,,
SH1896900005,18969,P100023,5,4.0,short,70,1.0,,
SH1896900006,18969,P100023,6,8.0,short,70,1.0,,
SH1896900007,18969,P100023,7,102.0,exhausted,40,1.0,,
SH1896900008,18969,P100023,8,7.0,short,70,1.0,,
SH1896900009,18969,P100023,9,16.0,short,70,1.0,,
SH1896900010,18969,P100023,10,9.0,short,70,1.0,,
SH1896900011,18969,P100023,11,25.0,short,70,1.0,,
SH1896900012,18969,P100023,12,35.0,optimal,100,1.0,,
SH1896900013,18969,P100023,13,52.0,good,90,1.0,,
SH1896900014,18969,P100023,14,49.0,good,90,1.0,,
SH1896900015,18969,P100023,15,9.0,short,70,1.0,,
SH1896900016,18969,P100023,16,23.0,short,70,1.0,,
SH1896900017,18969,P100023,17,6.0,short,70,1.0,,
SH1896900018,18969,P100023,18,7.0,short,70,1.0,,
SH1896900024,18969,P100023,24,61.0,long,70,1.0,,
SH1896900025,18969,P100023,25,79.0,long,70,1.0,,
SH1896900026,18969,P100023,26,5.0,short,70,1.0,,
SH1896900031,18969,P100023,31,49.0,good,90,2.0,,
SH1896900032,18969,P100023,32,19.0,short,70,2.0,,
SH1896900033,18969,P100023,33,17.0,short,70,2.0,,
SH1896900034,18969,P100023,34,67.0,long,70,2.0,,
SH1896900040,18969,P100023,40,20.0,short,70,2.0,,
SH1896900041,18969,P100023,41,4.0,short,70,2.0,,
SH1896900042,18969,P100023,42,29.0,short,70,2.0,,
SH1896900043,18969,P100023,43,38.0,optimal,100,2.0,,
SH1896900044,18969,P100023,44,27.0,short,70,2.0,,
SH1896900045,18969,P100023,45,12.0,short,70,2.0,,
SH1896900046,18969,P100023,46,6.0,short,70,2.0,,
SH1896900047,18969,P100023,47,11.0,short,70,2.0,,
SH1896900054,18969,P100023,54,16.0,short,70,2.0,,
SH1896900055,18969,P100023,55,14.0,short,70,2.0,,
SH1896900056,18969,P100023,56,13.0,short,70,2.0,,
SH1896900057,18969,P100023,57,78.0,long,70,2.0,,
SH1896900058,18969,P100023,58,11.0,short,70,2.0,,
SH1896900063,18969,P100023,63,94.0,exhausted,40,2.0,,
SH1896900065,18969,P100023,65,35.0,optimal,100,3.0,,
SH1896900066,18969,P100023,66,48.0,good,90,3.0,,
SH1896900073,18969,P100023,73,70.0,long,70,3.0,,
SH1896900074,18969,P100023,74,73.0,long,70,3.0,,
SH1896900075,18969,P100023,75,13.0,short,70,3.0,,
SH1896900076,18969,P100023,76,32.0,optimal,100,3.0,,
SH1896900081,18969,P100023,81,50.0,good,90,3.0,,
SH1896900082,18969,P100023,82,2.0,short,70,3.0,,
SH1896900083,18969,P100023,83,34.0,optimal,100,3.0,,
SH1896900084,18969,P100023,84,22.0,short,70,3.0,,
SH1896900085,18969,P100023,85,16.0,short,70,3.0,,
SH1896900088,18969,P100023,88,58.0,good,90,3.0,,
SH1896900089,18969,P100023,89,27.0,short,70,3.0,,
SH1896900090,18969,P100023,90,42.0,optimal,100,3.0,,
SH1896900091,18969,P100023,91,69.0,long,70,3.0,,
SH1896900092,18969,P100023,92,15.0,short,70,3.0,,
SH1896900093,18969,P100023,93,9.0,short,70,3.0,,
SH1896900001,18969,P100024,1,82.0,long,70,1.0,,
SH1896900009,18969,P100024,9,16.0,short,70,1.0,,
SH1896900010,18969,P100024,10,9.0,short,70,1.0,,
SH1896900011,18969,P100024,11,25.0,short,70,1.0,,
SH1896900012,18969,P100024,12,35.0,optimal,100,1.0,,
SH1896900013,18969,P100024,13,52.0,good,90,1.0,,
SH1896900023,18969,P100024,23,37.0,optimal,100,1.0,,
SH1896900024,18969,P100024,24,61.0,long,70,1.0,,
SH1896900029,18969,P100024,29,59.0,good,90,1.0,,
SH1896900031,18969,P100024,31,49.0,good,90,2.0,,
SH1896900032,18969,P100024,32,19.0,short,70,2.0,,
SH1896900039,18969,P100024,39,99.0,exhausted,40,2.0,,
SH1896900040,18969,P100024,40,20.0,short,70,2.0,,
SH1896900053,18969,P100024,53,124.0,exhausted,40,2.0,,
SH1896900054,18969,P100024,54,16.0,short,70,2.0,,
SH1896900055,18969,P100024,55,14.0,short,70,2.0,,
SH1896900065,18969,P100024,65,35.0,optimal,100,3.0,,
SH1896900066,18969,P100024,66,48.0,good,90,3.0,,
SH1896900067,18969,P100024,67,52.0,good,90,3.0,,
SH1896900068,18969,P100024,68,16.0,short,70,3.0,,
SH1896900069,18969,P100024,69,17.0,short,70,3.0,,
SH1896900076,18969,P100024,76,32.0,optimal,100,3.0,,
SH1896900077,18969,P100024,77,61.0,long,70,3.0,,
SH1896900087,18969,P100024,87,24.0,short,70,3.0,,
SH1896900088,18969,P100024,88,58.0,good,90,3.0,,
SH1896900097,18969,P100024,97,24.0,short,70,3.0,,
SH1896900001,18969,P100025,1,82.0,long,70,1.0,,
SH1896900019,18969,P100025,19,14.0,short,70,1.0,,
SH1896900020,18969,P100025,20,18.0,short,70,1.0,,
SH1896900021,18969,P100025,21,56.0,good,90,1.0,,
SH1896900022,18969,P100025,22,57.0,good,90,1.0,,
SH1896900023,18969,P100025,23,37.0,optimal,100,1.0,,
SH1896900027,18969,P100025,27,65.0,long,70,1.0,,
SH1896900028,18969,P100025,28,78.0,long,70,1.0,,
SH1896900029,18969,P100025,29,59.0,good,90,1.0,,
SH1896900035,18969,P100025,35,19.0,short,70,2.0,,
SH1896900036,18969,P100025,36,33.0,optimal,100,2.0,,
SH1896900037,18969,P100025,37,95.0,exhausted,40,2.0,,
SH1896900038,18969,P100025,38,11.0,short,70,2.0,,
SH1896900039,18969,P100025,39,99.0,exhausted,40,2.0,,
SH1896900050,18969,P100025,50,18.0,short,70,2.0,,
SH1896900051,18969,P100025,51,39.0,optimal,100,2.0,,
SH1896900052,18969,P100025,52,8.0,short,70,2.0,,
SH1896900053,18969,P100025,53,124.0,exhausted,40,2.0,,
SH1896900059,18969,P100025,59,32.0,optimal,100,2.0,,
SH1896900060,18969,P100025,60,52.0,good,90,2.0,,
SH1896900061,18969,P100025,61,11.0,short,70,2.0,,
SH1896900062,18969,P100025,62,4.0,short,70,2.0,,
SH1896900067,18969,P100025,67,52.0,good,90,3.0,,
SH1896900068,18969,P100025,68,16.0,short,70,3.0,,
SH1896900069,18969,P100025,69,17.0,short,70,3.0,,
SH1896900070,18969,P100025,70,11.0,short,70,3.0,,
SH1896900071,18969,P100025,71,7.0,short,70,3.0,,
SH1896900072,18969,P100025,72,63.0,long,70,3.0,,
SH1896900076,18969,P100025,76,32.0,optimal,100,3.0,,
SH1896900077,18969,P100025,77,61.0,long,70,3.0,,
SH1896900078,18969,P100025,78,42.0,optimal,100,3.0,,
SH1896900079,18969,P100025,79,9.0,short,70,3.0,,
SH1896900080,18969,P100025,80,11.0,short,70,3.0,,
SH1896900086,18969,P100025,86,45.0,good,90,3.0,,
SH1896900087,18969,P100025,87,24.0,short,70,3.0,,
SH1896900088,18969,P100025,88,58.0,good,90,3.0,,
SH1896900094,18969,P100025,94,15.0,short,70,3.0,,
SH1896900095,18969,P100025,95,10.0,short,70,3.0,,
