game_id,season_id,entry_event_index,shot_event_index,events_to_shot,is_rush,rush_type,is_goal,entry_type,zone_entry_type_id,rush_type_id,home_team_id,away_team_id
18981,N20252026F,1567,1568,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1644,1646,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1689,1691,2,True,rush,False,ZoneEntry-Chip,ZE0002,ZE0010,N10004,N10010
18981,N20252026F,1720,1721,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1748,1749,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1786,1787,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1798,1801,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1870,1874,4,True,rush,False,ZoneEntry-DumpIn,ZE0003,ZE0010,N10004,N10010
18981,N20252026F,1890,1891,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1925,1926,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1930,1934,4,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1948,1952,4,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2004,2005,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2054,2057,3,True,rush,False,ZoneEntry-FromExitClear,ZE0004,ZE0010,N10004,N10010
18981,N20252026F,2067,2068,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2095,2099,4,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2104,2105,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2168,2169,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2182,2187,5,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,2212,2215,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
