shift_index,shift_duration,home_team_plus,home_team_minus,away_team_plus,away_team_minus,position_slot,player_game_number,player_venue,position_type,plus_minus,shift_key,shift_player_key,player_game_key,game_id,skill_rating
51,39.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_51,18969_51_47,18969_47,18969,
52,8.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_52,18969_52_47,18969_47,18969,
53,124.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_53,18969_53_12,18969_12,18969,
54,16.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_54,18969_54_12,18969_12,18969,
55,14.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_55,18969_55_82,18969_82,18969,
56,13.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_56,18969_56_82,18969_82,18969,
57,78.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_57,18969_57_82,18969_82,18969,
58,11.0,1.0,0.0,0.0,-1.0,home_forward_2,47.0,home,forward,1,18969_58,18969_58_47,18969_47,18969,
59,32.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_59,18969_59_47,18969_47,18969,
60,52.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_60,18969_60_47,18969_47,18969,
61,11.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_61,18969_61_47,18969_47,18969,
62,4.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_62,18969_62_47,18969_47,18969,
63,94.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_63,18969_63_47,18969_47,18969,
65,35.0,0.0,0.0,0.0,0.0,home_forward_2,20.0,home,forward,0,18969_65,18969_65_20,18969_20,18969,
66,48.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_66,18969_66_12,18969_12,18969,
67,52.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_67,18969_67_12,18969_12,18969,
68,16.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_68,18969_68_12,18969_12,18969,
69,17.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_69,18969_69_12,18969_12,18969,
70,11.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_70,18969_70_12,18969_12,18969,
71,7.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_71,18969_71_82,18969_82,18969,
72,63.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_72,18969_72_82,18969_82,18969,
73,70.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_73,18969_73_47,18969_47,18969,
74,73.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_74,18969_74_47,18969_47,18969,
75,13.0,1.0,0.0,0.0,-1.0,home_forward_2,47.0,home,forward,1,18969_75,18969_75_47,18969_47,18969,
76,32.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_76,18969_76_12,18969_12,18969,
77,61.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_77,18969_77_12,18969_12,18969,
78,42.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_78,18969_78_12,18969_12,18969,
79,45.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_79,18969_79_82,18969_82,18969,
80,-25.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_80,18969_80_82,18969_82,18969,
81,50.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_81,18969_81_82,18969_82,18969,
82,2.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_82,18969_82_47,18969_47,18969,
83,34.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_83,18969_83_47,18969_47,18969,
84,22.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_84,18969_84_47,18969_47,18969,
85,16.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_85,18969_85_47,18969_47,18969,
86,45.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_86,18969_86_12,18969_12,18969,
87,24.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_87,18969_87_12,18969_12,18969,
88,58.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_88,18969_88_82,18969_82,18969,
89,27.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_89,18969_89_47,18969_47,18969,
90,42.0,1.0,0.0,0.0,-1.0,home_forward_2,47.0,home,forward,1,18969_90,18969_90_47,18969_47,18969,
91,69.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_91,18969_91_47,18969_47,18969,
92,15.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_92,18969_92_47,18969_47,18969,
93,9.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_93,18969_93_47,18969_47,18969,
94,15.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_94,18969_94_47,18969_47,18969,
95,10.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_95,18969_95_12,18969_12,18969,
97,24.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_97,18969_97_12,18969_12,18969,
98,58.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_98,18969_98_12,18969_12,18969,
1,82.0,0.0,0.0,0.0,0.0,home_forward_3,12.0,home,forward,0,18969_1,18969_1_12,18969_12,18969,
2,79.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_2,18969_2_34,18969_34,18969,
3,9.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_3,18969_3_34,18969_34,18969,
4,29.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_4,18969_4_34,18969_34,18969,
5,4.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_5,18969_5_34,18969_34,18969,
6,8.0,0.0,0.0,0.0,0.0,home_forward_3,86.0,home,forward,0,18969_6,18969_6_86,18969_86,18969,
7,102.0,0.0,0.0,0.0,0.0,home_forward_3,86.0,home,forward,0,18969_7,18969_7_86,18969_86,18969,
8,7.0,0.0,0.0,0.0,0.0,home_forward_3,86.0,home,forward,0,18969_8,18969_8_86,18969_86,18969,
9,16.0,0.0,0.0,0.0,0.0,home_forward_3,20.0,home,forward,0,18969_9,18969_9_20,18969_20,18969,
10,9.0,0.0,0.0,0.0,0.0,home_forward_3,20.0,home,forward,0,18969_10,18969_10_20,18969_20,18969,
11,25.0,1.0,0.0,0.0,-1.0,home_forward_3,20.0,home,forward,1,18969_11,18969_11_20,18969_20,18969,
12,35.0,0.0,0.0,0.0,0.0,home_forward_3,20.0,home,forward,0,18969_12,18969_12_20,18969_20,18969,
13,52.0,0.0,0.0,0.0,0.0,home_forward_3,20.0,home,forward,0,18969_13,18969_13_20,18969_20,18969,
14,49.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_14,18969_14_34,18969_34,18969,
15,9.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_15,18969_15_34,18969_34,18969,
16,23.0,0.0,0.0,0.0,0.0,home_forward_3,34.0,home,forward,0,18969_16,18969_16_34,18969_34,18969,
