game_id,home_team,away_team,home_team_id,away_team_id,game_date,season_id,game_type,playoff_round,home_score,away_score,winner,_processed_timestamp
17989,Triple J,Outlaws,N10009,N10007,2024-11-17T00:00:00,N20242025F,Regular,,6,4,Triple J,2025-12-19 20:06:37
17988,Ace,Orphans,N10002,N10006,2024-11-17T00:00:00,N20242025F,Regular,,3,6,Orphans,2025-12-19 20:06:37
17986,Platinum,Amos,N10008,N10001,2024-11-10T00:00:00,N20242025F,Regular,,4,5,Amos,2025-12-19 20:06:37
17985,Triple J,Nelson,N10009,N10004,2024-11-10T00:00:00,N20242025F,Regular,,2,2,TIE,2025-12-19 20:06:37
17984,Ace,HollowBrook,N10002,N10003,2024-11-10T00:00:00,N20242025F,Regular,,2,8,HollowBrook,2025-12-19 20:06:37
17983,Orphans,Outlaws,N10006,N10007,2024-11-10T00:00:00,N20242025F,Regular,,6,5,Orphans,2025-12-19 20:06:37
17981,Triple J,OS Offices,N10009,N10005,2024-11-03T00:00:00,N20242025F,Regular,,4,6,OS Offices,2025-12-19 20:06:37
17980,Ace,Amos,N10002,N10001,2024-11-03T00:00:00,N20242025F,Regular,,3,4,Amos,2025-12-19 20:06:37
17979,Orphans,Nelson,N10006,N10004,2024-11-03T00:00:00,N20242025F,Regular,,5,4,Orphans,2025-12-19 20:06:37
17978,Outlaws,HollowBrook,N10007,N10003,2024-11-03T00:00:00,N20242025F,Regular,,0,9,HollowBrook,2025-12-19 20:06:37
17976,Ace,Platinum,N10002,N10008,2024-10-27T00:00:00,N20242025F,Regular,,2,9,Platinum,2025-12-19 20:06:37
17975,Orphans,OS Offices,N10006,N10005,2024-10-27T00:00:00,N20242025F,Regular,,3,2,Orphans,2025-12-19 20:06:37
17974,Outlaws,Amos,N10007,N10001,2024-10-27T00:00:00,N20242025F,Regular,,0,5,Amos,2025-12-19 20:06:37
17973,HollowBrook,Nelson,N10003,N10004,2024-10-27T00:00:00,N20242025F,Regular,,5,2,HollowBrook,2025-12-19 20:06:37
17971,Orphans,Triple J,N10006,N10009,2024-10-20T00:00:00,N20242025F,Regular,,4,6,Triple J,2025-12-19 20:06:37
17970,Outlaws,Platinum,N10007,N10008,2024-10-20T00:00:00,N20242025F,Regular,,5,4,Outlaws,2025-12-19 20:06:37
17969,HollowBrook,OS Offices,N10003,N10005,2024-10-20T00:00:00,N20242025F,Regular,,2,4,OS Offices,2025-12-19 20:06:37
17968,Nelson,Amos,N10004,N10001,2024-10-20T00:00:00,N20242025F,Regular,,1,10,Amos,2025-12-19 20:06:37
17966,Outlaws,Ace,N10007,N10002,2024-10-13T00:00:00,N20242025F,Regular,,2,2,TIE,2025-12-19 20:06:37
17965,HollowBrook,Triple J,N10003,N10009,2024-10-13T00:00:00,N20242025F,Regular,,5,4,HollowBrook,2025-12-19 20:06:37
17964,Nelson,Platinum,N10004,N10008,2024-10-13T00:00:00,N20242025F,Regular,,2,3,Platinum,2025-12-19 20:06:37
17963,Amos,OS Offices,N10001,N10005,2024-10-13T00:00:00,N20242025F,Regular,,2,6,OS Offices,2025-12-19 20:06:37
17961,HollowBrook,Orphans,N10003,N10006,2024-10-06T00:00:00,N20242025F,Regular,,5,5,TIE,2025-12-19 20:06:37
17960,Nelson,Ace,N10004,N10002,2024-10-06T00:00:00,N20242025F,Regular,,8,4,Nelson,2025-12-19 20:06:37
17959,Amos,Triple J,N10001,N10009,2024-10-06T00:00:00,N20242025F,Regular,,3,1,Amos,2025-12-19 20:06:37
17958,OS Offices,Platinum,N10005,N10008,2024-10-06T00:00:00,N20242025F,Regular,,2,5,Platinum,2025-12-19 20:06:37
17956,Nelson,Outlaws,N10004,N10007,2024-09-29T00:00:00,N20242025F,Regular,,9,6,Nelson,2025-12-19 20:06:37
17954,OS Offices,Ace,N10005,N10002,2024-09-29T00:00:00,N20242025F,Regular,,5,1,OS Offices,2025-12-19 20:06:37
17953,Platinum,Triple J,N10008,N10009,2024-09-29T00:00:00,N20242025F,Regular,,3,6,Triple J,2025-12-19 20:06:37
17951,Amos,HollowBrook,N10001,N10003,2024-09-22T00:00:00,N20242025F,Regular,,4,4,TIE,2025-12-19 20:06:37
17950,OS Offices,Outlaws,N10005,N10007,2024-09-22T00:00:00,N20242025F,Regular,,5,4,OS Offices,2025-12-19 20:06:37
17949,Platinum,Orphans,N10008,N10006,2024-09-22T00:00:00,N20242025F,Regular,,10,3,Platinum,2025-12-19 20:06:37
17948,Triple J,Ace,N10009,N10002,2024-09-22T00:00:00,N20242025F,Regular,,7,4,Triple J,2025-12-19 20:06:37
17946,OS Offices,Nelson,N10005,N10004,2024-09-15T00:00:00,N20242025F,Regular,,8,5,OS Offices,2025-12-19 20:06:37
17945,Platinum,HollowBrook,N10008,N10003,2024-09-15T00:00:00,N20242025F,Regular,,1,4,HollowBrook,2025-12-19 20:06:37
17944,Triple J,Outlaws,N10009,N10007,2024-09-15T00:00:00,N20242025F,Regular,,3,3,TIE,2025-12-19 20:06:37
17943,Ace,Orphans,N10002,N10006,2024-09-15T00:00:00,N20242025F,Regular,,0,4,Orphans,2025-12-19 20:06:37
17941,Platinum,Amos,N10008,N10001,2024-09-08T00:00:00,N20242025F,Regular,,6,2,Platinum,2025-12-19 20:06:37
17940,Triple J,Nelson,N10009,N10004,2024-09-08T00:00:00,N20242025F,Regular,,1,3,Nelson,2025-12-19 20:06:37
17939,Ace,HollowBrook,N10002,N10003,2024-09-08T00:00:00,N20242025F,Regular,,4,2,Ace,2025-12-19 20:06:37
17938,Orphans,Outlaws,N10006,N10007,2024-09-08T00:00:00,N20242025F,Regular,,6,3,Orphans,2025-12-19 20:06:37
17936,Triple J,OS Offices,N10009,N10005,2024-09-01T00:00:00,N20242025F,Regular,,4,4,TIE,2025-12-19 20:06:37
