scoring_chance_key,game_id,event_id,period,season_id,is_goal,event_detail,event_detail_2,danger_level,is_rush,is_rebound,is_odd_man,shot_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC_EV1896901654,18969,EV1896901654,2,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,3.0,0.0,258.0,-1.0,442.0,79.0,45.0,18.0,785.98,,,,,,1159.99,,,,,,785.98,785.98,785.98,1159.99,1159.99,1159.99
SC_EV1896902202,18969,EV1896902202,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,2.0,268.0,-1.0,432.0,69.0,55.0,8.0,1201.99,,,,,,1389.99,,,,,,1201.99,1201.99,1201.99,1389.99,1389.99,1389.99
SC_EV1896901151,18969,EV1896901151,1,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,-1.0,272.0,65.0,428.0,59.0,4.0,1217.0,,,,,,769.0,,,,,,1217.0,1217.0,1217.0,769.0,769.0,769.0
SC_EV1896902209,18969,EV1896902209,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,278.0,-1.0,422.0,59.0,2.0,1.0,1277.98,,,,,,2297.9700000000003,,,,,,1277.98,1277.98,1277.98,2297.9700000000003,2297.9700000000003,2297.9700000000003
SC_EV1896901158,18969,EV1896901158,1,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,2.0,284.0,-1.0,416.0,53.0,5.0,23.0,1258.97,,,,,,1171.98,2297.9700000000003,,,,,1258.97,1258.97,1258.97,1734.975,1171.98,2297.9700000000003
SC_EV1896901666,18969,EV1896901666,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,3.0,-1.0,299.0,38.0,401.0,20.0,8.0,1065.98,998.0,,,,,2109.98,,,,,,1031.99,998.0,1065.98,2109.98,2109.98,2109.98
SC_EV1896901672,18969,EV1896901672,2,N20252026F,False,Shot_OnNetSaved,Shot_OneTime,perimeter,False,False,False,Shot_OneTime,1.0,0.0,-1.0,305.0,32.0,395.0,26.0,2.0,650.99,913.98,,,,,2020.98,1082.98,1120.99,,,,782.485,650.99,913.98,1408.3166666666666,1082.98,2020.98
SC_EV1896901676,18969,EV1896901676,2,N20252026F,False,Shot_OnNetSaved,Shot_Tip,high,False,False,False,Shot_Tip,1.0,0.0,-1.0,307.0,30.0,393.0,28.0,30.0,913.98,,,,,,2020.98,,,,,,913.98,913.98,913.98,2020.98,2020.98,2020.98
SC_EV1896902216,18969,EV1896902216,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,307.0,-1.0,393.0,30.0,28.0,30.0,507.0,,,,,,1121.99,,,,,,507.0,507.0,507.0,1121.99,1121.99,1121.99
SC_EV1896901176,18969,EV1896901176,1,N20252026F,False,Shot_OnNetSaved,Shot_Tip,high,False,False,False,Shot_Tip,0.0,2.0,-1.0,316.0,21.0,384.0,9.0,21.0,641.99,,,,,,2011.98,,,,,,641.99,641.99,641.99,2011.98,2011.98,2011.98
SC_EV1896901189,18969,EV1896901189,1,N20252026F,False,Shot_Goal,,perimeter,False,False,False,,1.0,0.0,-1.0,337.0,35.0,363.0,30.0,31.0,1111.97,,,,,,2011.98,1073.98,,,,,1111.97,1111.97,1111.97,1542.98,1073.98,2011.98
SC_EV1896901190,18969,EV1896901190,1,N20252026F,True,Goal_Scored,Goal_Wrist,perimeter,False,False,False,Goal_Wrist,0.0,1.0,-1.0,337.0,35.0,363.0,30.0,31.0,1111.97,,,,,,2011.98,1073.98,,,,,1111.97,1111.97,1111.97,1542.98,1073.98,2011.98
SC_EV1896902240,18969,EV1896902240,3,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,10.0,347.0,25.0,353.0,10.0,21.0,922.99,,,,,,1128.97,,,,,,922.99,922.99,922.99,1128.97,1128.97,1128.97
SC_EV1896902243,18969,EV1896902243,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,2.0,0.0,13.0,350.0,22.0,350.0,13.0,18.0,711.0,,,,,,,,,,,,711.0,711.0,711.0,,,
SC_EV1896901692,18969,EV1896901692,2,N20252026F,False,Shot_OnNetSaved,Shot_WrapAround,perimeter,False,False,False,Shot_WrapAround,0.0,0.0,19.0,356.0,16.0,344.0,19.0,12.0,1065.98,,,,,,1986.98,,,,,,1065.98,1065.98,1065.98,1986.98,1986.98,1986.98
SC_EV1896902252,18969,EV1896902252,3,N20252026F,False,Shot_Blocked,Shot_Backhand,perimeter,False,False,False,Shot_Backhand,1.0,0.0,363.0,26.0,337.0,9.0,26.0,5.0,1128.97,,,,,,922.99,,,,,,1128.97,1128.97,1128.97,922.99,922.99,922.99
SC_EV1896902261,18969,EV1896902261,3,N20252026F,False,Shot_Goal,,perimeter,False,False,False,,0.0,0.0,35.0,372.0,475.0,328.0,4.0,37.0,1086.97,,,,,,1986.98,,,,,,1086.97,1086.97,1086.97,1986.98,1986.98,1986.98
SC_EV1896902262,18969,EV1896902262,3,N20252026F,True,Goal_Scored,Goal_Wrist,perimeter,False,False,False,Goal_Wrist,0.0,7.0,35.0,372.0,475.0,328.0,4.0,37.0,1086.97,,,,,,1986.98,,,,,,1086.97,1086.97,1086.97,1986.98,1986.98,1986.98
SC_EV1896901203,18969,EV1896901203,1,N20252026F,False,Shot_Blocked,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,399.0,27.0,301.0,448.0,27.0,10.0,907.0,,,,,,935.99,,,,,,907.0,907.0,907.0,935.99,935.99,935.99
