event_detail_id,event_detail_code,event_detail_name,event_type,category,description,is_shot_on_goal,is_goal,is_miss,is_block,danger_potential
ED0035,Shot_Blocked,Shot Blocked,Shot,blocked_shot,Shot attempt result: Shot Blocked,False,False,False,True,medium
ED0036,Shot_Deflected,Shot Deflected,Shot,blocked_shot,Shot attempt result: Shot Deflected,False,False,False,True,medium
ED0037,Shot_Goal,Shot Goal,Shot,goal,Shot attempt result: Shot Goal,True,True,False,False,high
ED0038,Shot_HitPost,Shot HitPost,Shot,missed_shot,Shot attempt result: Shot HitPost,False,False,True,False,high
ED0039,Shot_Missed,Shot Missed,Shot,missed_shot,Shot attempt result: Shot Missed,False,False,True,False,low
ED0040,Shot_OnNetSaved,Shot OnNetSaved,Shot,shot_on_goal,Shot attempt result: Shot OnNetSaved,True,False,False,False,medium
ED0041,Stoppage_Freeze,Stoppage Freeze,Stoppage,stoppage_play,Play stoppage: Stoppage Freeze,False,False,False,False,
ED0042,Stoppage_GameEnd,Stoppage Game End,Stoppage,stoppage_game,Play stoppage: Stoppage Game End,False,False,False,False,
ED0043,Stoppage_Goal,Stoppage Goal,Stoppage,stoppage_play,Play stoppage: Stoppage Goal,False,False,False,False,high
ED0044,Stoppage_OutfofPlay,Stoppage OutfofPlay,Stoppage,stoppage_play,Play stoppage: Stoppage OutfofPlay,False,False,False,False,
ED0045,Stoppage_Penalty,Stoppage Penalty,Stoppage,stoppage_game,Penalty: Stoppage Penalty,False,False,False,False,
ED0046,Stoppage_PeriodEnd,Stoppage PeriodEnd,Stoppage,stoppage_game,Play stoppage: Stoppage PeriodEnd,False,False,False,False,
ED0047,Stoppage_Play,Stoppage Play,Stoppage,stoppage_play,Play stoppage: Stoppage Play,False,False,False,False,
ED0048,Turnover_Giveaway,Turnover Giveaway,Turnover,giveaway,Turnover event: Turnover Giveaway,False,False,False,False,
ED0049,Turnover_Takeaway,Turnover Takeaway,Turnover,takeaway,Turnover event: Turnover Takeaway,False,False,False,False,
ED0050,Zone_Entry,Zone Entry,Zone,zone_entry,Zone transition: Zone Entry,False,False,False,False,
ED0051,Zone_Entry_Failed,Zone Entry,Zone,zone_entry,Zone transition: Zone Entry,False,False,False,False,
ED0052,Zone_Exit,Zone Exit,Zone,zone_exit,Zone transition: Zone Exit,False,False,False,False,
ED0053,Zone_Exit_Failed,Zone Exit,Zone,zone_exit,Zone transition: Zone Exit,False,False,False,False,
ED0054,Zone_Keepin,Zone Keepin Failed,Zone,zone_keepin,Zone transition: Zone Keepin Failed,False,False,False,False,
ED0055,Zone_Keepin_Failed,Zone Keepin Failed,Zone,zone_keepin,Zone transition: Zone Keepin Failed,False,False,False,False,
