shift_player_key,shift_key,game_id,shift_index,player_number,player_id,player_name,venue,slot,period,shift_duration,playing_duration,situation,strength,stoppage_time,pm_plus_ev,pm_minus_ev,goal_for,goal_against,team_en,opp_en,logical_shift_number,period_id,venue_id,strength_id,situation_id,slot_id,team_id
L18969009412,S18969000094,18969,94,91,P100002,Kevin White,away,forward_2,3.0,15.0,15.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,9,P0003,VN0002,STR0001,SIT0003,SL0004,N10010
L18969009512,S18969000095,18969,95,91,P100002,Kevin White,away,forward_2,3.0,10.0,10.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,9,P0003,VN0002,STR0001,SIT0003,SL0004,N10010
L18969009716,S18969000097,18969,97,91,P100002,Kevin White,away,xtra,3.0,24.0,24.0,Away EmptyNet,5v6 Away EN,0.0,0.0,0.0,0,0,1.0,0.0,10,P0003,VN0002,STR0014,SIT0001,SL0007,N10010
L18969000117,S18969000001,18969,1,39,P100016,Wyatt Crandall,away,goalie,1.0,82.0,82.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000217,S18969000002,18969,2,39,P100016,Wyatt Crandall,away,goalie,1.0,79.0,58.0,Full Strength,5v5,21.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000317,S18969000003,18969,3,39,P100016,Wyatt Crandall,away,goalie,1.0,9.0,9.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000417,S18969000004,18969,4,39,P100016,Wyatt Crandall,away,goalie,1.0,29.0,29.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000517,S18969000005,18969,5,39,P100016,Wyatt Crandall,away,goalie,1.0,4.0,4.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000617,S18969000006,18969,6,39,P100016,Wyatt Crandall,away,goalie,1.0,8.0,8.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
L18969000717,S18969000007,18969,7,39,P100016,Wyatt Crandall,away,goalie,1.0,102.0,102.0,Full Strength,5v5,0.0,0.0,0.0,0,0,0.0,0.0,1,P0001,VN0002,STR0001,SIT0003,SL0006,N10010
