player_game_key,game_id,player_id,player_name,pass_attempts,pass_completed,pass_pct,chips,reverse_passes,breakout_pass_attempts,quick_ups,give_and_go,passes_missed_target,passes_intercepted,passes_deflected,def_pass_deflected,def_pass_intercepted
PG1898100009,18981,P100072,Bobby Dickinson,5,3,60.0,0,0,0,0,0,0,0,0,0,0
PG1898100010,18981,P100074,Marko Somersalmi,7,5,71.4,0,0,0,0,0,0,0,0,0,0
PG1898100011,18981,P100078,Kyle Popovich,13,10,76.9,0,0,0,0,0,0,0,0,0,0
PG1898100012,18981,P100079,Joe Lopez,11,6,54.5,0,0,0,0,0,0,0,0,0,0
PG1898100013,18981,P100093,Pat Major,7,3,42.9,0,0,0,0,0,0,0,0,0,0
PG1898100014,18981,P100105,Ronnie Pinnell,6,5,83.3,0,0,0,0,0,0,0,0,0,0
PG1898100015,18981,P100108,Robert Mayfield,6,3,50.0,0,0,0,0,0,0,0,0,0,0
PG1898100016,18981,P100111,Michelle Freddolino,1,0,0.0,0,0,0,0,0,0,0,0,0,0
PG1898100017,18981,P100119,Eric Elliott,18,11,61.1,0,0,0,0,0,0,0,0,0,0
PG1898100018,18981,P100132,Nick Ciampoli,5,5,100.0,0,0,0,0,0,0,0,0,0,0
PG1898100019,18981,P100138,Thane Gilmore,0,0,0.0,0,0,0,0,0,0,0,0,0,0
PG1898100020,18981,P100159,Josh Cronk,6,3,50.0,0,0,0,0,0,0,0,0,0,0
PG1898100021,18981,P100161,Galen Wood,6,4,66.7,0,0,0,0,0,0,0,0,0,0
PG1898100022,18981,P100164,Zachary Coleman,6,4,66.7,0,0,0,0,0,0,0,0,0,0
PG1898100023,18981,P100197,Samuel Yetsko,12,7,58.3,0,0,0,0,0,0,0,0,0,0
PG1898100024,18981,P100198,Maxwell Donaty,10,6,60.0,0,0,0,0,0,0,0,0,0,0
PG1898100025,18981,P100201,Garrett Ashcroft,10,5,50.0,0,0,0,0,0,0,0,0,0,0
PG1898100026,18981,P100224,Kaitlyn Shain,3,1,33.3,0,0,0,0,0,0,0,0,0,0
PG1898100027,18981,P100230,Jennifer Valente,1,0,0.0,0,0,0,0,0,0,0,0,0,0
PG1898700001,18987,P100001,Sam Downs,12,4,33.3,0,0,0,0,0,0,0,0,0,5
PG1898700002,18987,P100002,Kevin White,13,7,53.8,0,1,0,0,0,3,0,0,0,5
PG1898700003,18987,P100004,Cesar Shinall,7,5,71.4,0,0,0,0,0,0,0,0,0,0
PG1898700004,18987,P100009,Graham Peters,2,1,50.0,0,0,0,0,0,0,0,0,0,0
PG1898700005,18987,P100016,Wyatt Crandall,0,0,0.0,0,0,0,0,0,0,0,0,2,0
PG1898700006,18987,P100031,Christopher Mihlon,20,14,70.0,0,1,0,0,0,3,0,0,0,2
PG1898700007,18987,P100032,Trevor Chavez,30,20,66.7,0,2,0,0,0,4,0,0,0,0
PG1898700008,18987,P100033,Taylor Rogalsky,11,5,45.5,0,0,0,2,0,0,0,0,1,0
PG1898700009,18987,P100034,Colin Brewster,15,9,60.0,2,0,0,0,0,5,0,0,0,0
PG1898700010,18987,P100039,Nicole Downs,3,1,33.3,0,0,0,0,0,0,0,0,0,0
PG1898700011,18987,P100064,James Rynearson,1,1,100.0,2,0,0,0,0,0,0,0,0,0
PG1898700012,18987,P100080,Steve Klyn,3,1,33.3,0,0,0,0,0,5,0,0,0,0
PG1898700013,18987,P100099,Colby Rasplicka,6,4,66.7,0,0,0,0,0,0,0,0,0,0
PG1898700014,18987,P100105,Ronnie Pinnell,21,13,61.9,0,2,0,2,0,3,0,0,0,0
PG1898700015,18987,P100108,Robert Mayfield,13,8,61.5,0,2,0,0,0,0,0,0,0,3
PG1898700016,18987,P100128,Brody Keene,18,15,83.3,0,0,0,0,0,0,0,0,0,0
PG1898700017,18987,P100132,Nick Ciampoli,5,2,40.0,0,0,0,0,0,0,0,0,0,0
PG1898700018,18987,P100170,Kennen Newsham,18,10,55.6,0,0,0,0,0,0,0,0,0,3
PG1898700019,18987,P100185,Samson Leifer,13,8,61.5,0,3,0,0,0,0,0,0,0,0
PG1898700020,18987,P100198,Maxwell Donaty,10,10,100.0,0,0,0,0,0,0,0,0,0,0
PG1898700021,18987,P100201,Garrett Ashcroft,11,5,45.5,0,1,0,0,0,0,0,0,0,0
PG1898700022,18987,P100214,Ryan Kiehl,10,8,80.0,0,0,0,0,0,0,0,0,0,0
PG1898700023,18987,P100223,Richie Villanueva,3,2,66.7,0,0,0,0,0,0,0,0,0,0
