shift_quality_key,game_id,player_id,shift_index,shift_duration,period,quality_score,shift_quality,strength
SQ_18969_P100016_86,18969,P100016,86,45.0,3,0.75,good,5v5
SQ_18969_P100016_87,18969,P100016,87,24.0,3,0.45,average,5v5
SQ_18969_P100016_88,18969,P100016,88,58.0,3,0.75,good,5v5
SQ_18969_P100016_89,18969,P100016,89,27.0,3,0.45,average,5v5
SQ_18969_P100016_90,18969,P100016,90,42.0,3,0.75,good,5v5
SQ_18969_P100016_91,18969,P100016,91,69.0,3,0.6,good,5v5
SQ_18969_P100016_92,18969,P100016,92,15.0,3,0.45,average,5v5
SQ_18969_P100016_93,18969,P100016,93,9.0,3,0.45,average,5v5
SQ_18969_P100016_94,18969,P100016,94,15.0,3,0.45,average,5v5
SQ_18969_P100016_95,18969,P100016,95,10.0,3,0.45,average,5v5
SQ_18969_P100022_2,18969,P100022,2,79.0,1,0.6,good,5v5
SQ_18969_P100022_3,18969,P100022,3,9.0,1,0.45,average,5v5
SQ_18969_P100022_4,18969,P100022,4,29.0,1,0.45,average,5v5
SQ_18969_P100022_5,18969,P100022,5,4.0,1,0.45,average,5v5
SQ_18969_P100022_14,18969,P100022,14,49.0,1,0.75,good,5v5
SQ_18969_P100022_15,18969,P100022,15,9.0,1,0.45,average,5v5
SQ_18969_P100022_16,18969,P100022,16,23.0,1,0.45,average,5v5
SQ_18969_P100022_17,18969,P100022,17,6.0,1,0.45,average,5v5
SQ_18969_P100022_18,18969,P100022,18,7.0,1,0.45,average,5v5
SQ_18969_P100022_19,18969,P100022,19,14.0,1,0.45,average,5v5
SQ_18969_P100022_20,18969,P100022,20,18.0,1,0.45,average,5v5
SQ_18969_P100022_25,18969,P100022,25,79.0,1,0.6,good,5v5
SQ_18969_P100022_26,18969,P100022,26,5.0,1,0.45,average,5v5
SQ_18969_P100022_33,18969,P100022,33,17.0,2,0.45,average,5v5
SQ_18969_P100022_34,18969,P100022,34,67.0,2,0.6,good,5v5
SQ_18969_P100022_35,18969,P100022,35,19.0,2,0.45,average,5v5
SQ_18969_P100022_36,18969,P100022,36,33.0,2,0.6,good,5v5
SQ_18969_P100022_41,18969,P100022,41,4.0,2,0.45,average,5v5
SQ_18969_P100022_42,18969,P100022,42,29.0,2,0.45,average,5v5
SQ_18969_P100022_43,18969,P100022,43,38.0,2,0.6,good,5v5
SQ_18969_P100022_44,18969,P100022,44,27.0,2,0.45,average,5v5
SQ_18969_P100022_56,18969,P100022,56,13.0,2,0.45,average,5v5
SQ_18969_P100022_57,18969,P100022,57,78.0,2,0.6,good,5v5
SQ_18969_P100022_58,18969,P100022,58,11.0,2,0.45,average,5v5
SQ_18969_P100022_70,18969,P100022,70,11.0,3,0.45,average,5v5
SQ_18969_P100022_71,18969,P100022,71,7.0,3,0.45,average,5v5
SQ_18969_P100022_78,18969,P100022,78,42.0,3,0.75,good,5v5
SQ_18969_P100022_79,18969,P100022,79,9.0,3,0.45,average,5v5
SQ_18969_P100022_80,18969,P100022,80,11.0,3,0.45,average,5v5
SQ_18969_P100022_81,18969,P100022,81,50.0,3,0.75,good,5v5
SQ_18969_P100022_82,18969,P100022,82,2.0,3,0.45,average,5v5
SQ_18969_P100022_89,18969,P100022,89,27.0,3,0.45,average,5v5
SQ_18969_P100022_90,18969,P100022,90,42.0,3,0.75,good,5v5
SQ_18969_P100022_91,18969,P100022,91,69.0,3,0.6,good,5v5
SQ_18969_P100022_98,18969,P100022,98,57.99,3,0.75,good,5v5
SQ_18969_P100023_2,18969,P100023,2,79.0,1,0.6,good,5v5
SQ_18969_P100023_3,18969,P100023,3,9.0,1,0.45,average,5v5
SQ_18969_P100023_4,18969,P100023,4,29.0,1,0.45,average,5v5
SQ_18969_P100023_5,18969,P100023,5,4.0,1,0.45,average,5v5
SQ_18969_P100023_6,18969,P100023,6,8.0,1,0.45,average,5v5
SQ_18969_P100023_7,18969,P100023,7,102.0,1,0.45,average,5v5
SQ_18969_P100023_8,18969,P100023,8,7.0,1,0.45,average,5v5
SQ_18969_P100023_9,18969,P100023,9,16.0,1,0.45,average,5v5
SQ_18969_P100023_10,18969,P100023,10,9.0,1,0.45,average,5v5
SQ_18969_P100023_11,18969,P100023,11,25.0,1,0.45,average,5v5
SQ_18969_P100023_12,18969,P100023,12,35.0,1,0.6,good,5v5
SQ_18969_P100023_13,18969,P100023,13,52.0,1,0.75,good,5v5
SQ_18969_P100023_14,18969,P100023,14,49.0,1,0.75,good,5v5
SQ_18969_P100023_15,18969,P100023,15,9.0,1,0.45,average,5v5
SQ_18969_P100023_16,18969,P100023,16,23.0,1,0.45,average,5v5
SQ_18969_P100023_17,18969,P100023,17,6.0,1,0.45,average,5v5
SQ_18969_P100023_18,18969,P100023,18,7.0,1,0.45,average,5v5
SQ_18969_P100023_24,18969,P100023,24,61.0,1,0.6,good,5v5
SQ_18969_P100023_25,18969,P100023,25,79.0,1,0.6,good,5v5
SQ_18969_P100023_26,18969,P100023,26,5.0,1,0.45,average,5v5
SQ_18969_P100023_31,18969,P100023,31,49.0,2,0.75,good,5v5
SQ_18969_P100023_32,18969,P100023,32,19.0,2,0.45,average,5v5
SQ_18969_P100023_33,18969,P100023,33,17.0,2,0.45,average,5v5
SQ_18969_P100023_34,18969,P100023,34,67.0,2,0.6,good,5v5
SQ_18969_P100023_40,18969,P100023,40,20.0,2,0.45,average,5v5
SQ_18969_P100023_41,18969,P100023,41,4.0,2,0.45,average,5v5
SQ_18969_P100023_42,18969,P100023,42,29.0,2,0.45,average,5v5
SQ_18969_P100023_43,18969,P100023,43,38.0,2,0.6,good,5v5
SQ_18969_P100023_44,18969,P100023,44,27.0,2,0.45,average,5v5
SQ_18969_P100023_45,18969,P100023,45,12.0,2,0.45,average,5v5
SQ_18969_P100023_46,18969,P100023,46,6.0,2,0.45,average,5v5
SQ_18969_P100023_47,18969,P100023,47,11.0,2,0.45,average,5v5
SQ_18969_P100023_54,18969,P100023,54,16.0,2,0.45,average,5v5
SQ_18969_P100023_55,18969,P100023,55,14.0,2,0.45,average,5v5
SQ_18969_P100023_56,18969,P100023,56,13.0,2,0.45,average,5v5
SQ_18969_P100023_57,18969,P100023,57,78.0,2,0.6,good,5v5
SQ_18969_P100023_58,18969,P100023,58,11.0,2,0.45,average,5v5
SQ_18969_P100023_63,18969,P100023,63,93.99,2,0.45,average,4v5
SQ_18969_P100023_65,18969,P100023,65,35.0,3,0.6,good,4v5
SQ_18969_P100023_66,18969,P100023,66,48.0,3,0.75,good,5v5
SQ_18969_P100023_73,18969,P100023,73,70.0,3,0.6,good,5v5
SQ_18969_P100023_74,18969,P100023,74,73.0,3,0.6,good,5v5
SQ_18969_P100023_75,18969,P100023,75,13.0,3,0.45,average,5v5
SQ_18969_P100023_76,18969,P100023,76,32.0,3,0.6,good,5v5
SQ_18969_P100023_81,18969,P100023,81,50.0,3,0.75,good,5v5
SQ_18969_P100023_82,18969,P100023,82,2.0,3,0.45,average,5v5
SQ_18969_P100023_83,18969,P100023,83,34.0,3,0.6,good,5v5
