shot_player_key,event_id,game_id,player_id,player_name,player_role,is_shooter_team,is_shooter,player_x,player_y,distance_to_shooter,distance_to_puck,distance_to_net,is_in_vision_cone,is_in_puck_path,distance_to_goalie,distance_to_shot_path,angular_coverage_degrees,distance_factor,screen_score,is_screening,screen_type,_export_timestamp
SHP18969010430016,EV1896901043,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063254
SHP18969010430224,EV1896901043,18969,P100224,Kaitlyn Shain,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063282
SHP18969010430093,EV1896901043,18969,P100093,Pat Major,opp_player_3,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063310
SHP18969010320024,EV1896901032,18969,P100024,John Thien,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063550
SHP18969010320016,EV1896901032,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063581
SHP18969010320108,EV1896901032,18969,P100108,Robert Mayfield,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063610
SHP18969010290030,EV1896901029,18969,P100030,Jesse Chambless,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063843
SHP18969010290024,EV1896901029,18969,P100024,John Thien,event_player_2,True,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063873
SHP18969010290001,EV1896901029,18969,P100001,Sam Downs,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063901
SHP18969010270192,EV1896901027,18969,P100192,Chris Premo,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.064130
SHP18969010120024,EV1896901012,18969,P100024,John Thien,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.064370
SHP18969010120161,EV1896901012,18969,P100161,Galen Wood,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.064401
SHP18969020300108,EV1896902030,18969,P100108,Robert Mayfield,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.064651
