shot_event_key,event_id,game_id,period,event_type,event_detail,is_goal,shooter_player_id,shooter_name,shooter_team_id,shot_x,shot_y,shot_distance,shot_angle,friendly_screen_score,own_team_screen_score,total_screen_score,screen_count,is_screened,net_target_x,net_target_y,net_location_id,_export_timestamp
SHE1896901975,EV1896901975,18969,2,Goal,Goal_Scored,True,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.630032
SHE1896901970,EV1896901970,18969,2,Shot,Shot_OnNetSaved,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.632417
SHE1896901957,EV1896901957,18969,2,Shot,Shot_Missed,False,P100110,JoLyn Maly,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.634751
SHE1896901954,EV1896901954,18969,2,Shot,Shot_Blocked,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.637150
SHE1896901950,EV1896901950,18969,2,Shot,Shot_OnNetSaved,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.639406
SHE1896901946,EV1896901946,18969,2,Shot,Shot_Blocked,False,P100107,Matt Quinn,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.642054
SHE1896901940,EV1896901940,18969,2,Shot,Shot_OnNetSaved,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.644430
SHE1896901930,EV1896901930,18969,2,Shot,Shot_OnNetSaved,False,P100039,Nicole Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.646782
SHE1896901888,EV1896901888,18969,2,Shot,Shot_OnNetSaved,False,P100132,Nick Ciampoli,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.649220
SHE1896901872,EV1896901872,18969,2,Shot,Shot_Blocked,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.651580
SHE1896901857,EV1896901857,18969,2,Shot,Shot_OnNetSaved,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.653947
SHE1896901824,EV1896901824,18969,2,Shot,Shot_OnNetSaved,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.656295
SHE1896901758,EV1896901758,18969,2,Shot,Shot_OnNetSaved,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.658721
SHE1896901754,EV1896901754,18969,2,Shot,Shot_Blocked,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.661029
SHE1896901748,EV1896901748,18969,2,Shot,Shot_OnNetSaved,False,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.663303
SHE1896901743,EV1896901743,18969,2,Shot,Shot_Missed,False,P100110,JoLyn Maly,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.665631
SHE1896901740,EV1896901740,18969,2,Shot,Shot_Blocked,False,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.668410
SHE1896901723,EV1896901723,18969,2,Shot,Shot_Missed,False,P100161,Galen Wood,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.670747
SHE1896901692,EV1896901692,18969,2,Shot,Shot_OnNetSaved,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.673279
SHE1896901676,EV1896901676,18969,2,Shot,Shot_OnNetSaved,False,P100027,Karen Zietlow,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.675689
SHE1896901672,EV1896901672,18969,2,Shot,Shot_OnNetSaved,False,P100024,John Thien,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.677989
SHE1896901666,EV1896901666,18969,2,Shot,Shot_OnNetSaved,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.680304
SHE1896901654,EV1896901654,18969,2,Shot,Shot_Blocked,False,P100002,Kevin White,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.682626
SHE1896901650,EV1896901650,18969,2,Shot,Shot_OnNetSaved,False,P100224,Kaitlyn Shain,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.684970
SHE1896901637,EV1896901637,18969,2,Shot,Shot_OnNetSaved,False,P100025,Andrew Marshall,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.687268
SHE1896901616,EV1896901616,18969,2,Shot,Shot_Deflected,False,P100001,Sam Downs,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.690154
