game_id,season,season_id,game_url,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts
18024,20242025,N20242025F,https://www.noradhockey.com/event/18024/,2025-01-26 00:00:00,,Orphans,Nelson,N10006,N10004,N10004_N10006,Regular,,Regulation,00:18:00,00:00:00,0,7,1,3,2,2,0,0,1,0,0,,,1,0,0,2,0,1,0,0
18023,20242025,N20242025F,https://www.noradhockey.com/event/18023/,2025-01-26 00:00:00,,Outlaws,HollowBrook,N10007,N10003,N10003_N10007,Regular,,Regulation,00:18:00,00:00:00,0,0,7,0,0,0,0,2,1,3,0,,,0,1,0,0,1,0,0,2
10826,20242025,N20242025F,https://www.noradhockey.com/event/10826/,2025-01-26 00:00:00,,Triple J,OS Offices,N10009,N10005,N10005_N10009,Regular,,Regulation,00:18:00,00:00:00,0,3,4,0,1,2,0,1,2,1,0,,,0,1,0,0,1,0,0,2
18021,20242025,N20242025F,https://www.noradhockey.com/event/18021/,2025-01-12 00:00:00,,Ace,Platinum,N10002,N10008,N10002_N10008,Regular,,Regulation,00:18:00,00:00:00,0,0,10,0,0,0,0,2,6,2,0,,,0,1,0,0,1,0,0,2
18020,20242025,N20242025F,https://www.noradhockey.com/event/18020/,2025-01-12 00:00:00,,Orphans,OS Offices,N10006,N10005,N10005_N10006,Regular,,Regulation,00:18:00,00:00:00,0,1,2,0,0,1,0,0,1,1,0,,,0,1,0,0,1,0,0,2
18019,20242025,N20242025F,https://www.noradhockey.com/event/18019/,2025-01-12 00:00:00,,Outlaws,AMOS,N10007,N10001,N10001_N10007,Regular,,Regulation,00:18:00,00:00:00,0,5,3,2,3,0,0,1,0,2,0,,,1,0,0,2,0,1,0,0
18018,20242025,N20242025F,https://www.noradhockey.com/event/18018/,2025-01-12 00:00:00,,HollowBrook,Nelson,N10003,N10004,N10003_N10004,Regular,,Regulation,00:18:00,00:00:00,0,6,6,3,2,1,0,3,1,2,0,,,0,0,1,1,0,0,1,1
18016,20242025,N20242025F,https://www.noradhockey.com/event/18016/,2025-01-05 00:00:00,,Orphans,Triple J,N10006,N10009,N10006_N10009,Regular,,Regulation,00:18:00,00:00:00,0,2,5,0,1,1,0,2,2,1,0,,,0,1,0,0,1,0,0,2
18015,20242025,N20242025F,https://www.noradhockey.com/event/18015/,2025-01-05 00:00:00,,Outlaws,Platinum,N10007,N10008,N10007_N10008,Regular,,Regulation,00:18:00,00:00:00,0,0,4,0,0,0,0,2,1,1,0,,,0,1,0,0,1,0,0,2
18014,20242025,N20242025F,https://www.noradhockey.com/event/18014/,2025-01-05 00:00:00,,HollowBrook,OS Offices,N10003,N10005,N10003_N10005,Regular,,Regulation,00:18:00,00:00:00,0,2,4,1,0,1,0,1,3,0,0,,,0,1,0,0,1,0,0,2
