play_detail_id,play_detail_code,play_detail_name,play_category,skill_level,description
PD0094,OffensivePlay_Possession-DriveNetWide,OffensivePlay Possession DriveNetWide,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0095,OffensivePlay_Possession-DriveWide,OffensivePlay Possession DriveWide,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0096,OffensivePlay_Possession-FrontofNet,OffensivePlay Possession FrontofNet,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0097,OffensivePlay_Possession-OpenIceDeke,OffensivePlay Possession OpenIceDeke,Offensive,High,Micro-play action describing HOW the event was executed
PD0098,OffensivePlay_Shot-Screen,OffensivePlay Shot Screen,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0099,OffensivePlay_Zone-Breakout,OffensivePlay Zone Breakout,Transition,Standard,Micro-play action describing HOW the event was executed
PD0100,OffensivePlay_Zone-Cycle,OffensivePlay Zone Cycle,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0101,OffensivePlay_Zone-Dump/RimInZone,OffensivePlay Zone Dump/RimInZone,Other,Standard,Micro-play action describing HOW the event was executed
PD0102,OffensivePlay_Zone-DumpChase,OffensivePlay Zone DumpChase,Other,Standard,Micro-play action describing HOW the event was executed
PD0103,OffensivePlay_Zone-DumpInAttempt,OffensivePlay Zone DumpInAttempt,Other,Standard,Micro-play action describing HOW the event was executed
PD0104,OffensivePlay_Zone-Forecheck,OffensivePlay Zone Forecheck,Other,Standard,Micro-play action describing HOW the event was executed
PD0105,OffensivePlay_Zone-PuckRecoveryDumpIn,OffensivePlay Zone PuckRecoveryDumpIn,Other,Standard,Micro-play action describing HOW the event was executed
PD0106,OffensivePlay_Zone-PuckRecoveryFaceoff,OffensivePlay Zone PuckRecoveryFaceoff,Other,Standard,Micro-play action describing HOW the event was executed
PD0107,OffensivePlay_Zone-PuckRecoveryOther,OffensivePlay Zone PuckRecoveryOther,Other,Standard,Micro-play action describing HOW the event was executed
PD0108,OffensivePlay_Zone-PuckRecoveryPass,OffensivePlay Zone PuckRecoveryPass,Other,Standard,Micro-play action describing HOW the event was executed
PD0109,OffensivePlay_Zone-PuckRecoveryRebound,OffensivePlay Zone PuckRecoveryRebound,Other,Standard,Micro-play action describing HOW the event was executed
PD0110,OffensivePlay_Zone-PuckRecoveryShot,OffensivePlay Zone PuckRecoveryShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0111,OffensivePlay_Zone-PuckRecoveryTurnover,OffensivePlay Zone PuckRecoveryTurnover,Other,Standard,Micro-play action describing HOW the event was executed
PD0112,OffensivePlay_Zone-PuckRetreivalFaceoff,OffensivePlay Zone PuckRetreivalFaceoff,Other,Standard,Micro-play action describing HOW the event was executed
PD0113,OffensivePlay_Zone-PuckRetreivalPass,OffensivePlay Zone PuckRetreivalPass,Other,Standard,Micro-play action describing HOW the event was executed
PD0114,OffensivePlay_Zone-PuckRetreivalRebound,OffensivePlay Zone PuckRetreivalRebound,Other,Standard,Micro-play action describing HOW the event was executed
PD0115,OffensivePlay_Zone-PuckRetreivalShot,OffensivePlay Zone PuckRetreivalShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0116,OffensivePlay_Zone-PuckRetreivalTurnover,OffensivePlay Zone PuckRetreivalTurnover,Other,Standard,Micro-play action describing HOW the event was executed
PD0117,OffensivePlay_Zone-PuckRetrievalDumpIn,OffensivePlay Zone PuckRetrievalDumpIn,Other,Standard,Micro-play action describing HOW the event was executed
PD0118,OffensivePlay_Zone-PuckRetrievalShot,OffensivePlay Zone PuckRetrievalShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0119,Offensive_Zone-AttemptedEntryDumpIn,Offensive Zone AttemptedEntryDumpIn,Other,Standard,Micro-play action describing HOW the event was executed
PD0120,Offensive_Zone-AttemptedEntryPass,Offensive Zone AttemptedEntryPass,Other,Standard,Micro-play action describing HOW the event was executed
PD0121,Offensive_Zone-AttemptedEntryRush,Offensive Zone AttemptedEntryRush,Transition,Standard,Micro-play action describing HOW the event was executed
PD0122,Offensive_Zone-AttemptedKeepin,Offensive Zone AttemptedKeepin,Other,Standard,Micro-play action describing HOW the event was executed
PD0123,Offensive_Zone-CededZoneExit,Offensive Zone CededZoneExit,Other,Standard,Micro-play action describing HOW the event was executed
PD0124,PassDeflected,PassDeflected,Other,Standard,Micro-play action describing HOW the event was executed
PD0125,PassForTip,PassForTip,Offensive,Medium,Micro-play action describing HOW the event was executed
PD0126,PassIntercepted,PassIntercepted,Other,Standard,Micro-play action describing HOW the event was executed
PD0127,PokeCheck,PokeCheck,Defensive,Standard,Micro-play action describing HOW the event was executed
