zone_exit_key,game_id,player_id,total_exits,controlled_exits,clear_exits,failed_exits,exit_success_rate,_export_timestamp
P100086_18977,18977,P100086,34,0,0,0,0.0,2026-01-13T11:03:06.481695
P100132_18977,18977,P100132,16,0,0,0,0.0,2026-01-13T11:03:06.481889
P100088_18977,18977,P100088,50,0,0,0,0.0,2026-01-13T11:03:06.482095
P100070_18977,18977,P100070,35,0,0,0,0.0,2026-01-13T11:03:06.482313
P100084_18977,18977,P100084,38,0,0,0,0.0,2026-01-13T11:03:06.482536
P100105_18977,18977,P100105,25,0,0,0,0.0,2026-01-13T11:03:06.482748
P100159_18977,18977,P100159,30,0,0,0,0.0,2026-01-13T11:03:06.482989
P100161_18977,18977,P100161,26,0,0,0,0.0,2026-01-13T11:03:06.483228
P100123_18977,18977,P100123,29,0,0,0,0.0,2026-01-13T11:03:06.483461
P100108_18977,18977,P100108,9,0,0,0,0.0,2026-01-13T11:03:06.483678
P100001_18977,18977,P100001,36,0,0,0,0.0,2026-01-13T11:03:06.483901
P100211_18977,18977,P100211,16,0,0,0,0.0,2026-01-13T11:03:06.484108
P100230_18977,18977,P100230,11,0,0,0,0.0,2026-01-13T11:03:06.484297
P100002_18977,18977,P100002,13,0,0,0,0.0,2026-01-13T11:03:06.484505
P100224_18977,18977,P100224,11,0,0,0,0.0,2026-01-13T11:03:06.484691
P100198_18977,18977,P100198,28,0,0,0,0.0,2026-01-13T11:03:06.484941
P100049_18977,18977,P100049,10,0,0,0,0.0,2026-01-13T11:03:06.485131
P100097_18977,18977,P100097,24,0,0,0,0.0,2026-01-13T11:03:06.485347
P100081_18977,18977,P100081,13,0,0,0,0.0,2026-01-13T11:03:06.485556
P100047_18977,18977,P100047,35,0,0,0,0.0,2026-01-13T11:03:06.485756
P100091_18977,18977,P100091,4,0,0,0,0.0,2026-01-13T11:03:06.485945
P100039_18977,18977,P100039,8,0,0,0,0.0,2026-01-13T11:03:06.486141
P100119_18981,18981,P100119,39,0,0,0,0.0,2026-01-13T11:03:06.486722
P100078_18981,18981,P100078,23,0,0,0,0.0,2026-01-13T11:03:06.486946
P100039_18981,18981,P100039,9,0,0,0,0.0,2026-01-13T11:03:06.487173
P100001_18981,18981,P100001,40,0,0,0,0.0,2026-01-13T11:03:06.487503
