player_game_key,game_id,player_id,player_name,xg_for,xg_against,xg_diff,xg_pct,goals_above_expected,shots_high_danger,shots_medium_danger,shots_low_danger,scoring_chances,high_danger_chances,xg_per_shot,shot_quality_avg
PG1897700017,18977,P100105,Ronnie Pinnell,0.36,0.19,0.17,65.5,-0.36,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1897700018,18977,P100108,Robert Mayfield,0.09,0.164,-0.074,35.4,0.91,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1897700019,18977,P100123,Todd Heffner,0.27,0.284,-0.014,48.7,-0.27,1.0,2.0,3.0,3.0,1.0,0.09,1.67
PG1897700020,18977,P100132,Nick Ciampoli,0.18,0.166,0.014,52.0,-0.18,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1897700021,18977,P100159,Josh Cronk,0.09,0.21,-0.12,30.0,0.91,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1897700022,18977,P100161,Galen Wood,0.18,0.186,-0.006,49.2,-0.18,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1897700023,18977,P100198,Maxwell Donaty,0.18,0.0,0.18,100.0,-0.18,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1897700024,18977,P100201,Garrett Ashcroft,0.09,0.261,-0.171,25.6,-0.09,1.0,2.0,3.0,3.0,1.0,0.09,1.67
PG1897700025,18977,P100211,Noel Black,0.09,0.188,-0.098,32.4,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1897700026,18977,P100224,Kaitlyn Shain,0.27,0.174,0.096,60.8,-0.27,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1897700027,18977,P100230,Jennifer Valente,0.0,0.152,-0.152,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
PG1898100001,18981,P100001,Sam Downs,0.45,0.145,0.305,75.6,0.55,1.0,2.0,4.0,3.0,1.0,0.09,1.57
PG1898100002,18981,P100002,Kevin White,0.09,0.102,-0.012,46.9,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1898100003,18981,P100016,Wyatt Crandall,0.0,0.356,-0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898100004,18981,P100039,Nicole Downs,0.0,0.139,-0.139,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1898100005,18981,P100061,Eric Larson,0.0,0.179,-0.179,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0
PG1898100006,18981,P100066,Brock Lofgren,0.27,0.171,0.099,61.2,-0.27,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1898100007,18981,P100070,Hayden Perea,0.0,0.186,-0.186,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.75
PG1898100008,18981,P100071,Andy Alm,0.18,0.135,0.045,57.1,-0.18,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898100009,18981,P100072,Bobby Dickinson,0.0,0.111,-0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG1898100010,18981,P100074,Marko Somersalmi,0.09,0.177,-0.087,33.7,-0.09,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898100011,18981,P100078,Kyle Popovich,0.36,0.195,0.165,64.9,0.64,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1898100012,18981,P100079,Joe Lopez,0.36,0.207,0.153,63.5,-0.36,1.0,3.0,4.0,4.0,1.0,0.09,1.62
PG1898100013,18981,P100093,Pat Major,0.0,0.157,-0.157,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0
PG1898100014,18981,P100105,Ronnie Pinnell,0.18,0.105,0.075,63.2,-0.18,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1898100015,18981,P100108,Robert Mayfield,0.09,0.141,-0.051,39.0,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
