log_key,run_id,table_name,started_at,completed_at,status,rows_in_source,rows_loaded,rows_quarantined,rows_failed,duration_seconds,error_message,source_checksum
LOG000032,20251231_050719,dim_stat_category,2025-12-31T05:07:19.850690,2025-12-31T05:07:19.853257,success,0,13,0,0,0.002567,,
LOG000033,20251231_050719,dim_stat_type,2025-12-31T05:07:19.856399,2025-12-31T05:07:19.859432,success,0,57,0,0,0.003033,,
LOG000034,20251231_050719,dim_stoppage_type,2025-12-31T05:07:19.862561,2025-12-31T05:07:19.865186,success,0,10,0,0,0.002625,,
LOG000035,20251231_050719,dim_strength,2025-12-31T05:07:19.868491,2025-12-31T05:07:19.871800,success,0,18,0,0,0.003309,,
LOG000036,20251231_050719,dim_success,2025-12-31T05:07:19.874944,2025-12-31T05:07:19.877318,success,0,2,0,0,0.002374,,
LOG000037,20251231_050719,dim_takeaway_type,2025-12-31T05:07:19.880526,2025-12-31T05:07:19.883328,success,0,10,0,0,0.002802,,
LOG000038,20251231_050719,dim_team,2025-12-31T05:07:19.886445,2025-12-31T05:07:19.890115,success,0,26,0,0,0.00367,,
LOG000039,20251231_050719,dim_terminology_mapping,2025-12-31T05:07:19.893262,2025-12-31T05:07:19.896380,success,0,84,0,0,0.003118,,
LOG000040,20251231_050719,dim_turnover_quality,2025-12-31T05:07:19.899435,2025-12-31T05:07:19.901944,success,0,3,0,0,0.002509,,
LOG000041,20251231_050719,dim_turnover_type,2025-12-31T05:07:19.905226,2025-12-31T05:07:19.908948,success,0,21,0,0,0.003722,,
LOG000042,20251231_050719,dim_venue,2025-12-31T05:07:19.912786,2025-12-31T05:07:19.916015,success,0,2,0,0,0.003229,,
LOG000043,20251231_050719,dim_zone,2025-12-31T05:07:19.919448,2025-12-31T05:07:19.922283,success,0,3,0,0,0.002835,,
LOG000044,20251231_050719,dim_zone_entry_type,2025-12-31T05:07:19.925959,2025-12-31T05:07:19.929164,success,0,11,0,0,0.003205,,
LOG000045,20251231_050719,dim_zone_exit_type,2025-12-31T05:07:19.932639,2025-12-31T05:07:19.936194,success,0,10,0,0,0.003555,,
LOG000046,20251231_050719,fact_cycle_events,2025-12-31T05:07:19.940068,2025-12-31T05:07:19.943653,success,0,9,0,0,0.003585,,
LOG000047,20251231_050719,fact_draft,2025-12-31T05:07:19.947510,2025-12-31T05:07:19.952179,success,0,160,0,0,0.004669,,
LOG000048,20251231_050719,fact_event_chains,2025-12-31T05:07:19.955884,2025-12-31T05:07:19.963504,success,0,295,0,0,0.00762,,
LOG000049,20251231_050719,fact_events,2025-12-31T05:07:19.966775,2025-12-31T05:07:20.103133,success,0,5832,0,0,0.136358,,
LOG000050,20251231_050719,fact_events_long,2025-12-31T05:07:20.108013,2025-12-31T05:07:20.282657,success,0,11136,0,0,0.174644,,
LOG000051,20251231_050719,fact_events_player,2025-12-31T05:07:20.286736,2025-12-31T05:07:20.608301,success,0,11635,0,0,0.321565,,
LOG000052,20251231_050719,fact_events_tracking,2025-12-31T05:07:20.612208,2025-12-31T05:07:20.825560,success,0,11918,0,0,0.213352,,
