game_id,season_id,entry_event_id,shot_event_id,events_to_shot,is_rush,entry_type,rush_type,is_goal,zone_entry_type_id,rush_key,video_time_start,video_time_end
18977,N20252026F,EV1897702305,EV1897702306,1,True,other,other,False,ZE0009,RU1897702305,5252.0,5255.0
18977,N20252026F,EV1897702316,EV1897702317,1,True,other,other,False,ZE0009,RU1897702316,5275.0,5278.0
18977,N20252026F,EV1897702326,EV1897702330,4,True,dump,dump_chase,False,,RU1897702326,5327.0,5338.0
18977,N20252026F,EV1897702356,EV1897702357,1,True,other,other,False,ZE0009,RU1897702356,5394.0,5395.0
18981,N20252026F,EV1898101003,EV1898101004,1,True,other,other,False,ZE0009,RU1898101003,124.0,125.0
18981,N20252026F,EV1898101013,EV1898101014,1,True,other,other,False,ZE0009,RU1898101013,137.0,138.0
18981,N20252026F,EV1898101023,EV1898101024,1,True,other,other,False,ZE0009,RU1898101023,149.0,151.0
18981,N20252026F,EV1898101070,EV1898101071,1,True,other,other,False,ZE0009,RU1898101070,259.0,261.0
18981,N20252026F,EV1898101086,EV1898101087,1,True,other,other,False,ZE0009,RU1898101086,311.0,313.0
18981,N20252026F,EV1898101135,EV1898101136,1,True,other,other,False,ZE0009,RU1898101135,414.0,416.0
18981,N20252026F,EV1898101150,EV1898101151,1,True,other,other,False,ZE0009,RU1898101150,463.0,466.0
18981,N20252026F,EV1898101235,EV1898101239,4,True,other,other,False,ZE0009,RU1898101235,671.0,679.0
18981,N20252026F,EV1898101238,EV1898101239,1,True,other,other,False,ZE0009,RU1898101238,677.0,679.0
18981,N20252026F,EV1898101288,EV1898101289,1,True,other,other,False,ZE0009,RU1898101288,783.0,788.0
18981,N20252026F,EV1898101311,EV1898101312,1,True,other,other,False,ZE0009,RU1898101311,848.0,850.0
18981,N20252026F,EV1898101316,EV1898101317,2,True,other,other,False,ZE0009,RU1898101316,861.0,985.0
18981,N20252026F,EV1898101322,EV1898101323,1,True,other,other,False,ZE0009,RU1898101322,896.0,898.0
18981,N20252026F,EV1898101349,EV1898101350,1,True,other,other,False,ZE0009,RU1898101349,959.0,961.0
18981,N20252026F,EV1898101366,EV1898101371,5,True,other,other,False,ZE0009,RU1898101366,984.0,997.0
18981,N20252026F,EV1898101370,EV1898101371,1,True,other,other,False,ZE0009,RU1898101370,995.0,997.0
18981,N20252026F,EV1898101404,EV1898101405,1,True,other,other,False,ZE0009,RU1898101404,1088.0,1090.0
