player_game_key,game_id,player_id,player_name,giveaways,takeaways,giveaways_bad,giveaways_neutral,giveaways_good,turnover_diff_adjusted,turnovers_oz,turnovers_nz,turnovers_dz,giveaway_rate_per_60,takeaway_rate_per_60,def_shots_against,def_goals_against,def_entries_allowed,def_exits_denied,def_times_beat_deke,def_times_beat_speed,def_times_beat_total,def_takeaways,def_forced_turnovers,def_zone_clears,def_blocked_shots,def_interceptions,def_stick_checks,def_poke_checks,def_body_checks,def_coverage_assignments,def_battles_won,def_battles_lost,poke_checks,stick_checks,block_attempts,blocked_shots_play,pressures,contains,forechecks,backchecks,box_outs,man_on_man,in_lane,force_wide,separate_from_puck
PG1897700001,18977,P100001,Sam Downs,4,1,0.0,2.0,2.0,1.0,2.0,2.0,0.0,8.74,2.19,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700002,18977,P100002,Kevin White,8,0,1.0,4.0,3.0,0.0,3.0,4.0,1.0,29.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700003,18977,P100016,Wyatt Crandall,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700004,18977,P100038,Kevin Moore,3,3,0.0,1.0,2.0,3.0,2.0,1.0,0.0,8.96,8.96,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700005,18977,P100039,Nicole Downs,3,0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,9.5,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700006,18977,P100047,Nathan Watts,9,1,1.0,4.0,4.0,1.0,4.0,4.0,1.0,20.01,2.22,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700007,18977,P100049,Kirk Moore,8,0,1.0,4.0,3.0,0.0,3.0,4.0,1.0,24.81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700008,18977,P100070,Hayden Perea,8,2,1.0,4.0,3.0,2.0,3.0,4.0,1.0,21.11,5.28,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700009,18977,P100081,Lee Smith,7,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700010,18977,P100084,Ty Smith,6,5,1.0,3.0,2.0,5.0,2.0,3.0,1.0,11.28,9.4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700011,18977,P100086,Beau Kelly,13,0,2.0,6.0,5.0,0.0,5.0,6.0,2.0,29.16,0.0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700012,18977,P100088,Hayden Smith,7,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,13.65,0.0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700013,18977,P100091,Bert Loper,2,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700014,18977,P100096,Jared Wolf,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700015,18977,P100097,Steve Smith,3,1,0.0,1.0,2.0,1.0,2.0,1.0,0.0,12.63,4.21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700016,18977,P100100,Nate Flint,7,0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,18.06,0.0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700017,18977,P100105,Ronnie Pinnell,5,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,15.57,6.23,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700018,18977,P100108,Robert Mayfield,6,2,1.0,3.0,2.0,2.0,2.0,3.0,1.0,21.66,7.22,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700019,18977,P100123,Todd Heffner,10,2,2.0,5.0,3.0,2.0,3.0,5.0,2.0,20.77,4.15,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700020,18977,P100132,Nick Ciampoli,4,1,0.0,2.0,2.0,1.0,2.0,2.0,0.0,14.2,3.55,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG1897700021,18977,P100159,Josh Cronk,14,1,2.0,7.0,5.0,1.0,5.0,7.0,2.0,39.44,2.82,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
