shift_player_id,shift_id,game_id,shift_index,player_game_number,player_id,venue,position,period,shift_duration,shift_start_total_seconds,shift_end_total_seconds,stoppage_time,playing_time,running_toi_game,logical_shift_number,shift_segment,is_first_segment,is_last_segment,logical_shift_duration,gf,ga,pm,gf_ev,ga_ev,gf_pp,ga_pp,gf_pk,ga_pk,pm_ev,cf,ca,cf_pct,ff,fa,ff_pct,sf,sa,shot_diff,zone_entries,zone_exits,giveaways,takeaways,fo_won,fo_lost,situation,situation_id,strength,strength_id,start_zone,end_zone,player_rating,team_avg_rating,opp_avg_rating,rating_differential,qoc_rating,qot_rating,competition_tier_id,opp_multiplier,player_rating_diff,expected_cf_pct,cf_pct_vs_expected,performance,cf_adj,ca_adj,cf_pct_adj,team_id,opp_team_id,season_id,period_id,scf,sca,hdf,hda,event_count,home_avg_rating,away_avg_rating,home_min_rating,away_min_rating,home_max_rating,away_max_rating,home_rating_advantage,home_team_id,away_team_id,game_state,score_differential,is_close_game,home_gf_all,home_ga_all,home_gf_ev,home_ga_ev,home_gf_pp,home_ga_pp,home_gf_pk,home_ga_pk,home_pm_all,home_pm_ev,away_gf_all,away_ga_all,away_gf_ev,away_ga_ev,away_gf_pp,away_ga_pp,away_gf_pk,away_ga_pk,away_pm_all,away_pm_ev,home_zone_entries,away_zone_entries,home_zone_exits,away_zone_exits,home_giveaways,away_giveaways,home_bad_giveaways,away_bad_giveaways,home_takeaways,away_takeaways,fo_pct,bad_giveaways,venue_id,shift_duration_id
SP1896900046P100093,SH1896900046,18969,46,93,P100093,away,D2,2,6.0,541.0,535.0,0,6.0,631.0,5,5,False,False,151.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Defensive,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,0.0,0.0,0.0,0.0,6.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900047P100093,SH1896900047,18969,47,93,P100093,away,D2,2,11.0,535.0,524.0,0,11.0,642.0,5,6,False,False,151.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Defensive,Offensive,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,0.0,0.0,0.0,0.0,10.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900048P100093,SH1896900048,18969,48,93,P100093,away,D2,2,7.0,524.0,517.0,0,7.0,649.0,5,7,False,False,151.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Neutral,Defensive,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,0.0,0.0,0.0,0.0,7.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,VN02,SD01
SP1896900049P100093,SH1896900049,18969,49,93,P100093,away,D2,2,3.0,517.0,514.0,0,3.0,652.0,5,8,False,False,151.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Neutral,Neutral,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,0.0,0.0,0.0,0.0,4.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,VN02,SD01
SP1896900050P100093,SH1896900050,18969,50,93,P100093,away,D2,2,18.0,514.0,496.0,0,18.0,670.0,5,9,False,True,151.0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Defensive,Neutral,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,50.0,Over,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,1.0,0.0,0.0,0.0,16.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,VN02,SD01
SP1896900057P100093,SH1896900057,18969,57,93,P100093,away,D2,2,78.0,282.0,204.0,23,55.0,748.0,6,1,True,False,173.0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,16.666666666666664,1.0,3.0,25.0,1.0,2.0,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Offensive,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,-33.333333333333336,Under,0.0,5.0,0.0,N10010,N10008,N20252026F,P02,1.0,2.0,0.0,0.0,44.0,,,,,,,False,N10008,N10010,home_leading,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,VN02,SD04
SP1896900058P100093,SH1896900058,18969,58,93,P100093,away,D2,2,11.0,204.0,193.0,0,11.0,759.0,6,2,False,False,173.0,0,1,-1,0,1,0,0,0,0,-1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Offensive,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,-50.0,Under,0.0,2.0,0.0,N10010,N10008,N20252026F,P02,0.0,3.0,0.0,0.0,10.0,,,,,,,False,N10008,N10010,home_leading,1,True,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900059P100093,SH1896900059,18969,59,93,P100093,away,D2,2,32.0,193.0,161.0,0,32.0,791.0,6,3,False,False,173.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Full Strength,SIT0001,5v5,STR01,Neutral,Neutral,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,0.0,0.0,0.0,0.0,5.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,VN02,SD02
SP1896900060P100093,SH1896900060,18969,60,93,P100093,away,D2,2,52.0,161.0,109.0,0,52.0,843.0,6,4,False,True,173.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Defensive,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P02,0.0,0.0,0.0,0.0,29.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,VN02,SD03
SP1896900065P100093,SH1896900065,18969,65,93,P100093,away,D2,3,35.0,1080.0,1045.0,0,35.0,878.0,7,1,True,False,186.0,1,0,1,1,0,0,0,0,0,1,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Shorthanded,SIT0003,4v5,STR03,Neutral,Neutral,3.0,0.0,0.0,,0.0,0.0,TI04,0.0,3.0,50.0,50.0,Over,0.0,0.0,50.0,N10010,N10008,N20252026F,P03,2.0,0.0,1.0,0.0,22.0,,,,,,,False,N10008,N10010,home_leading,1,True,0,1,0,1,0,0,0,0,-1,-1,1,0,1,0,0,0,0,0,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,VN02,SD02
