event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,event_start_min,event_start_sec,event_end_min,event_end_sec,running_video_time,event_running_start,event_running_end,play_detail1,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_goal,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,pressured_pressurer,is_pressured,danger_level,danger_level_id,scoring_chance_key,rush_key,rush_outcome
EV1898101300,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100019,PL1898101905,EC18981001300,TV1898101300,SH1898100028,,Nelson,N10004,Velodrome,N10010,2.0,P100078,P100039,Kyle Popovich,N20252026F,4.0,,,ZX0010,,,,,,TB03,STR0001,,0,6.0,8.0,6.0,6.0,712.0,707.0,714.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813256,other
EV1898101311,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100019,PL1898101911,EC18981001311,TV1898101311,SH1898100029,,Nelson,N10004,Velodrome,N10010,2.0,"P100066,P100164,P100197","P100108,P100159,P100198",Samuel Yetsko,N20252026F,5.0,,ZE0010,,,,,,,TB03,STR0001,,0,5.0,52.0,5.0,50.0,728.0,723.0,730.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813267,zone_entry
EV1898101316,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100019,PL1898101914,EC18981001316,TV1898101316,SH1898100029,,Nelson,N10004,Velodrome,N10010,124.0,P100164,"P100108,P100159,P100198",Zachary Coleman,N20252026F,4.0,,ZE0010,,,,,,,TB03,STR0001,,0,5.0,39.0,3.0,35.0,741.0,736.0,865.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813272,zone_entry
EV1898101322,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100022,PL1898102201,EC18981001322,TV1898101322,SH1898100030,,Nelson,N10004,Velodrome,N10010,2.0,P100001,"P100074,P100197",Sam Downs,N20252026F,4.0,,ZE0010,,,,,,,TB03,STR0001,,0,5.0,4.0,5.0,2.0,776.0,771.0,778.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813278,zone_entry
EV1898101348,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100025,PL1898102513,EC18981001348,TV1898101348,SH1898100031,,Nelson,N10004,Velodrome,N10010,1.0,P100001,,Sam Downs,N20252026F,4.0,,,ZX0010,,,,,,TB04,STR0001,,0,4.0,5.0,4.0,4.0,835.0,830.0,836.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813303,other
EV1898101350,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100025,PL1898102514,EC18981001350,TV1898101350,SH1898100031,,Nelson,N10004,Velodrome,N10010,2.0,"P100001,P100039","P100066,P100074",Sam Downs,N20252026F,4.0,,ZE0010,,,,,,,TB04,STR0001,,0,4.0,1.0,3.0,59.0,839.0,834.0,841.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813305,zone_entry
EV1898101367,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100025,PL1898102520,EC18981001367,TV1898101367,SH1898100031,,Nelson,N10004,Velodrome,N10010,4.0,P100001,"P100074,P100197",Sam Downs,N20252026F,4.0,,ZE0010,,,,,,,TB04,STR0001,,0,3.0,36.0,3.0,32.0,864.0,859.0,868.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813322,zone_entry
EV1898101371,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100025,PL1898102523,EC18981001371,TV1898101371,SH1898100033,,Nelson,N10004,Velodrome,N10010,2.0,P100197,"P100002,P100066,P100093,P100198",Samuel Yetsko,N20252026F,5.0,,ZE0010,,,,,,,TB04,STR0001,,0,3.0,25.0,3.0,23.0,875.0,870.0,877.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813326,zone_entry
EV1898101386,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100025,PL1898102529,EC18981001386,TV1898101386,SH1898100035,,Nelson,N10004,Velodrome,N10010,2.0,P100201,"P100071,P100079",Garrett Ashcroft,N20252026F,4.0,,ZE0010,,,,,,,TB04,STR0001,,0,2.0,58.0,2.0,56.0,902.0,897.0,904.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813341,zone_entry
EV1898101390,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100025,PL1898102531,EC18981001390,TV1898101390,SH1898100035,,Nelson,N10004,Velodrome,N10010,3.0,P100061,,Eric Larson,N20252026F,5.0,,,ZX0010,,,,,,TB04,STR0001,,0,2.0,50.0,2.0,47.0,910.0,905.0,913.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813345,other
EV1898101405,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100027,PL1898102702,EC18981001405,TV1898101405,SH1898100037,,Nelson,N10004,Velodrome,N10010,2.0,P100201,"P100061,P100119",Garrett Ashcroft,N20252026F,4.0,,ZE0010,,,,,,,TB05,STR0001,,0,1.0,52.0,1.0,50.0,968.0,963.0,970.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813360,zone_entry
EV1898101421,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100029,PL1898102903,EC18981001421,TV1898101421,SH1898100038,,Nelson,N10004,Velodrome,N10010,4.0,P100119,,Eric Elliott,N20252026F,4.0,,,ZX0010,,,,,,TB05,STR0001,,0,1.0,9.0,1.0,5.0,1011.0,1006.0,1015.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813376,other
EV1898101423,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100029,PL1898102904,EC18981001423,TV1898101423,SH1898100038,,Nelson,N10004,Velodrome,N10010,2.0,"P100119,P100164","P100002,P100105,P100198",Eric Elliott,N20252026F,4.0,,ZE0010,,,,,,,TB05,STR0001,,0,1.0,3.0,1.0,1.0,1017.0,1012.0,1019.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813378,zone_entry
EV1898101467,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100036,PL1898103601,EC18981001467,TV1898101467,SH1898100042,,Nelson,N10004,Velodrome,N10010,2.0,P100159,"P100074,P100164,P100197",Josh Cronk,N20252026F,5.0,,ZE0010,,,,,,,TB01,STR0001,,0,16.0,49.0,16.0,47.0,1223.0,1218.0,1225.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813422,zone_entry
EV1898101477,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100038,PL1898103802,EC18981001477,TV1898101477,SH1898100043,,Nelson,N10004,Velodrome,N10010,2.0,P100066,P100093,Brock Lofgren,N20252026F,4.0,,ZE0010,,,,,,,TB01,STR0001,,0,15.0,42.0,15.0,40.0,1290.0,1285.0,1292.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813432,zone_entry
EV1898101496,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100041,PL1898104107,EC18981001496,TV1898101496,SH1898100044,,Nelson,N10004,Velodrome,N10010,1.0,P100066,,Brock Lofgren,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0002,,0,14.0,43.0,14.0,42.0,1349.0,1344.0,1350.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813451,other
EV1898101498,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100041,PL1898104108,EC18981001498,TV1898101498,SH1898100044,,Nelson,N10004,Velodrome,N10010,1.0,P100066,"P100001,P100093,P100108",Brock Lofgren,N20252026F,4.0,,ZE0010,,,,,,,TB02,STR0002,,0,14.0,40.0,14.0,39.0,1352.0,1347.0,1353.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813453,zone_entry
EV1898101504,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100041,PL1898104109,EC18981001504,TV1898101504,SH1898100044,,Nelson,N10004,Velodrome,N10010,1.0,P100001,,Sam Downs,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0002,,0,14.0,32.0,14.0,31.0,1360.0,1355.0,1361.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813459,other
EV1898101508,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100041,PL1898104111,EC18981001508,TV1898101508,SH1898100045,,Nelson,N10004,Velodrome,N10010,2.0,P100066,,Brock Lofgren,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0002,,0,14.0,23.0,14.0,21.0,1369.0,1364.0,1371.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813463,other
