zone_entry_key,game_id,player_id,total_entries,controlled_entries,dump_entries,failed_entries,entry_success_rate,_export_timestamp
P100108_18987,18987,P100108,32,0,0,2,0.0,2026-01-13T11:03:06.427359
P100002_18987,18987,P100002,19,0,0,1,0.0,2026-01-13T11:03:06.427565
P100099_18987,18987,P100099,25,0,0,2,0.0,2026-01-13T11:03:06.427764
P100230_18987,18987,P100230,14,0,0,0,0.0,2026-01-13T11:03:06.427956
P100105_18987,18987,P100105,35,0,0,3,0.0,2026-01-13T11:03:06.428175
P100132_18987,18987,P100132,23,0,0,1,0.0,2026-01-13T11:03:06.428398
P100031_18987,18987,P100031,17,0,0,0,0.0,2026-01-13T11:03:06.428650
P100064_18987,18987,P100064,19,0,0,0,0.0,2026-01-13T11:03:06.428851
P100128_18987,18987,P100128,25,0,0,2,0.0,2026-01-13T11:03:06.429053
P100198_18987,18987,P100198,36,0,0,4,0.0,2026-01-13T11:03:06.429268
P100201_18987,18987,P100201,28,0,0,1,0.0,2026-01-13T11:03:06.429488
P100185_18987,18987,P100185,47,0,0,1,0.0,2026-01-13T11:03:06.429704
P100034_18987,18987,P100034,21,0,0,1,0.0,2026-01-13T11:03:06.429921
P100033_18987,18987,P100033,25,0,0,0,0.0,2026-01-13T11:03:06.430129
P100039_18987,18987,P100039,16,0,0,1,0.0,2026-01-13T11:03:06.430336
P100080_18987,18987,P100080,6,0,0,1,0.0,2026-01-13T11:03:06.430538
P100004_18987,18987,P100004,16,0,0,1,0.0,2026-01-13T11:03:06.430729
P100170_18987,18987,P100170,31,0,0,2,0.0,2026-01-13T11:03:06.430955
P100009_18987,18987,P100009,3,0,0,0,0.0,2026-01-13T11:03:06.431152
