event_player_key,event_key,game_id,player_id,event_index,player_role,role_number,period,event_type,player_game_number,linked_event_index,tracking_event_index,event_start_min,event_start_sec,event_end_min,event_end_sec,role_abrev,event_team_zone,home_team_zone,away_team_zone,team_venue,team_venue_abv,side_of_puck,sequence_index,play_index,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,zone_change_index,home_team,away_team,Type,event_detail,event_detail_2,event_successful,shift_index,duration,time_start_total_seconds,time_end_total_seconds,running_intermission_duration,period_start_total_running_seconds,running_video_time,event_running_start,event_running_end,player_team,player_name,play_detail,period_id,venue_id,event_type_id,event_detail_id,event_detail_2_id,success_id,play_detail_success_id,zone_id,play_detail_id,play_detail_2_id,role_id,home_team_id,away_team_id,player_team_id,shift_key
EP1898107453,EV1898101716,18981,P100079,1716.0,event_team_player_1,1.0,2.0,Pass,44.0,,1716.0,6.0,20.0,,,e,,,,Home,h,Offensive,,,,,,,309.0,Nelson,Velodrome,Pass,Pass_Intercepted,Pass-Forehand,,60.0,0.0,380.0,380.0,72.0,1152.0,1852.0,1847.0,1852.0,Nelson,Joe Lopez,,P0002,VN0001,ET0009,ED0014,E20026,,,,,,RL0001,N10004,N10010,N10004,SH1898100060
EP1898107454,EV1898101716,18981,P100111,1716.0,event_team_player_2,2.0,2.0,Pass,3.0,,1716.0,6.0,20.0,,,e,,,,Home,h,Offensive,,,,,,,309.0,Nelson,Velodrome,Pass,Pass_Intercepted,Pass-Forehand,,60.0,0.0,380.0,380.0,72.0,1152.0,1852.0,1847.0,1852.0,Nelson,Michelle Freddolino,,P0002,VN0001,ET0009,ED0014,E20026,,,,,,RL0002,N10004,N10010,N10004,SH1898100060
EP1898107455,EV1898101716,18981,P100093,1716.0,opp_team_player_1,1.0,2.0,Pass,93.0,,1716.0,6.0,20.0,,,o,,,,Home,h,Defensive,,,,,,,309.0,Nelson,Velodrome,Pass,Pass_Intercepted,Pass-Forehand,,60.0,0.0,380.0,380.0,72.0,1152.0,1852.0,1847.0,1852.0,Velodrome,Pat Major,,P0002,VN0001,ET0009,ED0014,E20026,,,,,,RL0008,N10004,N10010,N10010,SH1898100060
EP1898107456,EV1898101717,18981,P100079,1717.0,event_team_player_1,1.0,2.0,Turnover,44.0,,1717.0,6.0,20.0,,,e,,,,Home,h,Offensive,,,,,,,309.0,Nelson,Velodrome,Turnover,Turnover_Giveaway,Giveaway-PassIntercepted,,60.0,0.0,380.0,380.0,72.0,1152.0,1852.0,1847.0,1852.0,Nelson,Joe Lopez,,P0002,VN0001,ET0019,ED0048,E20010,,,,,,RL0001,N10004,N10010,N10004,SH1898100060
EP1898107457,EV1898101717,18981,P100111,1717.0,event_team_player_2,2.0,2.0,Turnover,3.0,,1717.0,6.0,20.0,,,e,,,,Home,h,Offensive,,,,,,,309.0,Nelson,Velodrome,Turnover,Turnover_Giveaway,Giveaway-PassIntercepted,,60.0,0.0,380.0,380.0,72.0,1152.0,1852.0,1847.0,1852.0,Nelson,Michelle Freddolino,,P0002,VN0001,ET0019,ED0048,E20010,,,,,,RL0002,N10004,N10010,N10004,SH1898100060
EP1898107458,EV1898101717,18981,P100093,1717.0,opp_team_player_1,1.0,2.0,Turnover,93.0,,1717.0,6.0,20.0,,,o,,,,Home,h,Defensive,,,,,,,309.0,Nelson,Velodrome,Turnover,Turnover_Giveaway,Giveaway-PassIntercepted,,60.0,0.0,380.0,380.0,72.0,1152.0,1852.0,1847.0,1852.0,Velodrome,Pat Major,,P0002,VN0001,ET0019,ED0048,E20010,,,,,,RL0008,N10004,N10010,N10010,SH1898100060
EP1898107459,EV1898101718,18981,P100093,1718.0,event_team_player_1,1.0,2.0,Zone_Entry_Exit,93.0,,1718.0,6.0,19.0,6.0,16.0,e,d,o,,Away,a,Offensive,,,,,,,310.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Exit,ZoneExit-Rush,,60.0,3.0,379.0,376.0,72.0,1152.0,1853.0,1848.0,1856.0,Velodrome,Pat Major,,P0002,VN0002,ET0020,ED0053,E20097,,,ZN0002,,,RL0001,N10004,N10010,N10010,SH1898100060
EP1898107460,EV1898101719,18981,P100093,1719.0,event_team_player_1,1.0,2.0,Possession,93.0,,1719.0,6.0,16.0,6.0,14.0,e,,,,Away,a,Offensive,,,,,,,310.0,Nelson,Velodrome,Possession,,,,60.0,2.0,376.0,374.0,72.0,1152.0,1856.0,1851.0,1858.0,Velodrome,Pat Major,,P0002,VN0002,ET0013,,,,,,,,RL0001,N10004,N10010,N10010,SH1898100060
EP1898107461,EV1898101720,18981,P100093,1720.0,event_team_player_1,1.0,2.0,Zone_Entry_Exit,93.0,,1720.0,6.0,14.0,6.0,13.0,e,o,d,,Away,a,Offensive,,,,,,,311.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,60.0,1.0,374.0,373.0,72.0,1152.0,1858.0,1853.0,1859.0,Velodrome,Pat Major,,P0002,VN0002,ET0020,ED0052,E20086,,,ZN0001,,,RL0001,N10004,N10010,N10010,SH1898100060
EP1898107462,EV1898101720,18981,P100074,1720.0,opp_team_player_1,1.0,2.0,Zone_Entry_Exit,8.0,,1720.0,6.0,14.0,6.0,13.0,o,o,d,,Away,a,Defensive,,,,,,,312.0,Nelson,Velodrome,Zone_Entry_Exit,Zone_Entry,ZoneEntry-Rush,,60.0,1.0,374.0,373.0,72.0,1152.0,1858.0,1853.0,1859.0,Nelson,Marko Somersalmi,,P0002,VN0002,ET0020,ED0052,E20086,,,ZN0001,,,RL0008,N10004,N10010,N10004,SH1898100060
