table_name,type,primary_key,columns,rows,description
dim_zone_exit_type,Dimension,zone_exit_type_id,8,10,
etl_run_log,ETL,run_id,15,1,ETL pipeline runs
etl_table_log,ETL,log_key,13,98,Table-level ETL metrics
fact_cycle_events,Fact,cycle_key,8,9,
fact_draft,Fact,draft_key,16,160,
fact_event_chains,Fact,chain_key,21,475,
fact_events,Fact,event_key,54,5833,Game events (plays)
fact_events_player,Fact,event_player_key,48,11635,Player attribution for events
fact_events_tracking,Fact,event_tracking_key,46,11918,Event tracking metadata
fact_game_roster,Fact,roster_key,18,14471,
fact_game_status,Fact,game_id,24,562,
fact_gameroster,Fact,roster_key,28,14473,Game rosters
fact_goalie_game_stats,Fact,player_game_key,28,8,
fact_h2h,Fact,h2h_key,26,684,
fact_leadership,Fact,leadership_key,10,28,
fact_league_leaders_snapshot,Fact,leader_key,14,14471,
fact_line_combos,Fact,combo_key,46,337,
fact_linked_events,Fact,linked_event_key,48,473,
fact_player_event_chains,Fact,event_chain_key,22,5831,
fact_player_game_position,Fact,player_position_key,10,105,
fact_player_game_stats,Fact,player_game_key,323,107,Player statistics per game
fact_player_micro_stats,Fact,micro_stat_key,6,212,
fact_player_pair_stats,Fact,pair_key,13,475,
fact_player_period_stats,Fact,player_period_key,10,321,
fact_player_stats_advanced,Fact,player_game_key,22,107,
fact_player_stats_core,Fact,player_game_key,17,107,
fact_player_stats_defense,Fact,player_game_key,46,107,
fact_player_stats_faceoffs,Fact,player_game_key,17,107,
fact_player_stats_long,Fact,player_stat_key,6,7026,
fact_player_stats_micro,Fact,player_game_key,35,107,
fact_player_stats_passing,Fact,player_game_key,17,107,
fact_player_stats_plusminus,Fact,player_game_key,13,107,
fact_player_stats_ratings,Fact,player_game_key,39,107,
fact_player_stats_situational,Fact,player_game_key,32,107,
fact_player_stats_toi,Fact,player_game_key,20,107,
fact_player_stats_xg,Fact,player_game_key,16,107,
fact_player_stats_zones,Fact,player_game_key,28,107,
fact_player_xy_long,Fact,player_xy_key,16,0,
fact_player_xy_wide,Fact,player_xy_key,50,0,
fact_plays,Fact,play_id,25,2714,
fact_possession_time,Fact,possession_key,14,107,
fact_puck_xy_long,Fact,puck_xy_key,12,0,
fact_puck_xy_wide,Fact,puck_xy_key,55,0,
fact_registration,Fact,registration_key,20,190,
fact_rush_events,Fact,rush_key,13,199,
fact_scoring_chances,Fact,scoring_chance_key,14,451,
fact_sequences,Fact,sequence_id,28,1088,
fact_shift_quality,Fact,shift_quality_key,13,4626,Shift quality metrics
fact_shift_quality_logical,Fact,player_game_key,10,105,
fact_shifts,Fact,shift_key,65,672,Player shift tracking
fact_shifts_long,Fact,shift_player_key,28,4336,
fact_shifts_player,Fact,shift_player_key,32,4559,
fact_shot_danger,Fact,shot_danger_key,10,435,
fact_shot_xy,Fact,shot_xy_key,31,0,
fact_suspicious_stats,Fact,suspicious_key,15,17,
fact_team_game_stats,Fact,team_game_key,54,8,Team statistics per game
fact_team_standings_snapshot,Fact,standing_key,15,1124,
fact_team_zone_time,Fact,zone_time_key,20,8,
fact_video,Fact,video_key,15,10,
fact_video_highlights,Fact,highlight_key,35,0,
fact_wowy,Fact,wowy_key,36,1186,
qa_goal_accuracy,QA,accuracy_key,13,20,Goal verification vs official
qa_suspicious_stats,QA,qa_key,12,11,
qa_validation_log,QA,validation_key,12,161,Data quality checks
