table_name,table_type,column_name,data_type
dim_pass_outcome,BASE TABLE,pass_outcome_id,text
dim_pass_outcome,BASE TABLE,pass_outcome_code,text
dim_pass_outcome,BASE TABLE,pass_outcome_name,text
dim_pass_outcome,BASE TABLE,is_successful,boolean
dim_pass_type,BASE TABLE,pass_type_id,text
dim_pass_type,BASE TABLE,pass_type_code,text
dim_pass_type,BASE TABLE,pass_type_name,text
dim_pass_type,BASE TABLE,description,text
dim_period,BASE TABLE,period_id,text
dim_period,BASE TABLE,period_number,bigint
dim_period,BASE TABLE,period_name,text
dim_period,BASE TABLE,period_type,text
dim_period,BASE TABLE,period_minutes,bigint
dim_play_detail,BASE TABLE,play_detail_id,text
dim_play_detail,BASE TABLE,play_detail_code,text
dim_play_detail,BASE TABLE,play_detail_name,text
dim_play_detail,BASE TABLE,play_category,text
dim_play_detail,BASE TABLE,skill_level,text
dim_play_detail,BASE TABLE,description,text
dim_play_detail_2,BASE TABLE,play_detail_2_id,text
dim_play_detail_2,BASE TABLE,play_detail_2_code,text
dim_play_detail_2,BASE TABLE,play_detail_2_name,text
dim_play_detail_2,BASE TABLE,play_category,text
dim_play_detail_2,BASE TABLE,skill_level,text
dim_play_detail_2,BASE TABLE,description,text
dim_player,BASE TABLE,player_first_name,text
dim_player,BASE TABLE,player_last_name,text
dim_player,BASE TABLE,player_full_name,text
dim_player,BASE TABLE,player_id,text
dim_player,BASE TABLE,player_primary_position,text
dim_player,BASE TABLE,current_skill_rating,bigint
dim_player,BASE TABLE,birth_year,bigint
dim_player,BASE TABLE,player_gender,text
dim_player,BASE TABLE,highest_beer_league,text
dim_player,BASE TABLE,player_rating_ly,bigint
dim_player,BASE TABLE,player_leadership,text
dim_player,BASE TABLE,player_norad,text
dim_player,BASE TABLE,player_norad_current_team,text
dim_player,BASE TABLE,player_norad_current_team_id,text
dim_player,BASE TABLE,other_url,text
dim_player,BASE TABLE,player_url,text
dim_player,BASE TABLE,player_image,text
dim_player,BASE TABLE,random_player_first_name,text
dim_player,BASE TABLE,random_player_last_name,text
dim_player,BASE TABLE,random_player_full_name,text
dim_player_role,BASE TABLE,role_id,text
dim_player_role,BASE TABLE,role_code,text
dim_player_role,BASE TABLE,role_name,text
dim_player_role,BASE TABLE,role_type,text
dim_player_role,BASE TABLE,sort_order,bigint
dim_playerurlref,BASE TABLE,n_player_url,text
dim_playerurlref,BASE TABLE,player_full_name,text
dim_playerurlref,BASE TABLE,n_player_id_2,text
dim_position,BASE TABLE,position_id,text
dim_position,BASE TABLE,position_code,text
dim_position,BASE TABLE,position_name,text
dim_position,BASE TABLE,position_type,text
dim_randomnames,BASE TABLE,random_full_name,text
dim_randomnames,BASE TABLE,random_first_name,text
dim_randomnames,BASE TABLE,random_last_name,text
dim_randomnames,BASE TABLE,gender,text
dim_randomnames,BASE TABLE,name_used,text
dim_rating,BASE TABLE,rating_id,text
dim_rating,BASE TABLE,rating_value,bigint
dim_rating,BASE TABLE,rating_name,text
dim_rating_matchup,BASE TABLE,matchup_id,text
dim_rating_matchup,BASE TABLE,matchup_name,text
dim_rating_matchup,BASE TABLE,min_diff,double precision
dim_rating_matchup,BASE TABLE,max_diff,double precision
dim_rink_zone,BASE TABLE,rink_zone_id,text
dim_rink_zone,BASE TABLE,zone_code,text
dim_rink_zone,BASE TABLE,zone_name,text
dim_rink_zone,BASE TABLE,granularity,text
dim_rink_zone,BASE TABLE,x_min,bigint
dim_rink_zone,BASE TABLE,x_max,bigint
dim_rink_zone,BASE TABLE,y_min,double precision
dim_rink_zone,BASE TABLE,y_max,double precision
dim_rink_zone,BASE TABLE,zone,text
dim_rink_zone,BASE TABLE,danger,text
dim_rink_zone,BASE TABLE,side,text
dim_rink_zone,BASE TABLE,x_description,text
dim_rink_zone,BASE TABLE,y_description,text
dim_save_outcome,BASE TABLE,save_outcome_id,text
dim_save_outcome,BASE TABLE,save_outcome_code,text
dim_save_outcome,BASE TABLE,save_outcome_name,text
dim_save_outcome,BASE TABLE,causes_stoppage,boolean
dim_schedule,BASE TABLE,game_id,bigint
dim_schedule,BASE TABLE,season,bigint
dim_schedule,BASE TABLE,season_id,text
dim_schedule,BASE TABLE,game_url,text
dim_schedule,BASE TABLE,date,timestamp with time zone
dim_schedule,BASE TABLE,game_time,text
dim_schedule,BASE TABLE,home_team_name,text
dim_schedule,BASE TABLE,away_team_name,text
dim_schedule,BASE TABLE,home_team_id,text
dim_schedule,BASE TABLE,away_team_id,text
dim_schedule,BASE TABLE,head_to_head_id,text
dim_schedule,BASE TABLE,game_type,text
dim_schedule,BASE TABLE,playoff_round,text
dim_schedule,BASE TABLE,last_period_type,text
dim_schedule,BASE TABLE,period_length,text
dim_schedule,BASE TABLE,ot_period_length,text
dim_schedule,BASE TABLE,shootout_rounds,bigint
dim_schedule,BASE TABLE,home_total_goals,bigint
dim_schedule,BASE TABLE,away_total_goals,bigint
dim_schedule,BASE TABLE,home_team_period1_goals,bigint
dim_schedule,BASE TABLE,home_team_period2_goals,bigint
dim_schedule,BASE TABLE,home_team_period3_goals,bigint
dim_schedule,BASE TABLE,home_team_periodot_goals,bigint
dim_schedule,BASE TABLE,away_team_period1_goals,bigint
dim_schedule,BASE TABLE,away_team_period2_goals,bigint
dim_schedule,BASE TABLE,away_team_period3_goals,bigint
dim_schedule,BASE TABLE,away_team_periodot_goals,bigint
dim_schedule,BASE TABLE,home_team_seeding,bigint
dim_schedule,BASE TABLE,away_team_seeding,bigint
dim_schedule,BASE TABLE,home_team_w,bigint
dim_schedule,BASE TABLE,home_team_l,bigint
dim_schedule,BASE TABLE,home_team_t,bigint
dim_schedule,BASE TABLE,home_team_pts,bigint
dim_schedule,BASE TABLE,away_team_w,bigint
dim_schedule,BASE TABLE,away_team_l,bigint
dim_schedule,BASE TABLE,away_team_t,bigint
dim_schedule,BASE TABLE,away_team_pts,bigint
dim_season,BASE TABLE,season_id,text
dim_season,BASE TABLE,season,bigint
dim_season,BASE TABLE,session,text
dim_season,BASE TABLE,norad,text
dim_season,BASE TABLE,csah,text
dim_season,BASE TABLE,league_id,text
dim_season,BASE TABLE,league,text
dim_season,BASE TABLE,start_date,text
dim_shift_duration,BASE TABLE,shift_duration_id,text
dim_shift_duration,BASE TABLE,duration_bucket,text
dim_shift_duration,BASE TABLE,min_seconds,bigint
dim_shift_duration,BASE TABLE,max_seconds,bigint
dim_shift_duration,BASE TABLE,description,text
dim_shift_duration,BASE TABLE,fatigue_level,text
dim_shift_duration,BASE TABLE,typical_scenario,text
dim_shift_quality_tier,BASE TABLE,tier_id,text
dim_shift_quality_tier,BASE TABLE,tier_code,text
dim_shift_quality_tier,BASE TABLE,tier_name,text
dim_shift_quality_tier,BASE TABLE,score_min,bigint
dim_shift_quality_tier,BASE TABLE,score_max,bigint
dim_shift_quality_tier,BASE TABLE,description,text
dim_shift_slot,BASE TABLE,slot_id,text
dim_shift_slot,BASE TABLE,slot_code,text
dim_shift_slot,BASE TABLE,slot_name,text
dim_shift_start_type,BASE TABLE,shift_start_type_id,text
dim_shift_start_type,BASE TABLE,shift_start_type_name,text
dim_shift_stop_type,BASE TABLE,shift_stop_type_id,text
dim_shift_stop_type,BASE TABLE,shift_stop_type_name,text
dim_shot_outcome,BASE TABLE,shot_outcome_id,text
dim_shot_outcome,BASE TABLE,shot_outcome_code,text
dim_shot_outcome,BASE TABLE,shot_outcome_name,text
dim_shot_outcome,BASE TABLE,is_goal,boolean
dim_shot_outcome,BASE TABLE,is_save,boolean
dim_shot_outcome,BASE TABLE,is_block,boolean
dim_shot_outcome,BASE TABLE,is_miss,boolean
dim_shot_outcome,BASE TABLE,xg_multiplier,bigint
dim_shot_type,BASE TABLE,shot_type_id,text
dim_shot_type,BASE TABLE,shot_type_code,text
dim_shot_type,BASE TABLE,shot_type_name,text
dim_shot_type,BASE TABLE,description,text
dim_situation,BASE TABLE,situation_id,text
dim_situation,BASE TABLE,situation_name,text
dim_stat,BASE TABLE,stat_id,text
dim_stat,BASE TABLE,stat_code,text
dim_stat,BASE TABLE,stat_name,text
dim_stat,BASE TABLE,category,text
dim_stat,BASE TABLE,description,text
dim_stat,BASE TABLE,formula,text
dim_stat,BASE TABLE,player_role,text
dim_stat,BASE TABLE,computable_now,boolean
dim_stat,BASE TABLE,benchmark_elite,double precision
dim_stat,BASE TABLE,nhl_avg_per_game,double precision
dim_stat,BASE TABLE,nhl_elite_threshold,double precision
dim_stat,BASE TABLE,nhl_min_threshold,bigint
dim_stat_category,BASE TABLE,stat_category_id,text
dim_stat_category,BASE TABLE,category_code,text
dim_stat_category,BASE TABLE,category_name,text
dim_stat_category,BASE TABLE,description,text
dim_stat_type,BASE TABLE,stat_id,text
dim_stat_type,BASE TABLE,stat_name,text
dim_stat_type,BASE TABLE,stat_category,text
dim_stat_type,BASE TABLE,stat_level,text
dim_stat_type,BASE TABLE,computable_now,boolean
dim_stat_type,BASE TABLE,description,text
dim_stoppage_type,BASE TABLE,stoppage_type_id,text
dim_stoppage_type,BASE TABLE,stoppage_type_code,text
dim_stoppage_type,BASE TABLE,stoppage_type_name,text
dim_strength,BASE TABLE,strength_id,text
dim_strength,BASE TABLE,strength_code,text
dim_strength,BASE TABLE,strength_name,text
dim_strength,BASE TABLE,situation_type,text
dim_strength,BASE TABLE,xg_multiplier,double precision
dim_strength,BASE TABLE,description,text
dim_strength,BASE TABLE,avg_toi_pct,double precision
dim_success,BASE TABLE,success_id,text
dim_success,BASE TABLE,success_code,text
dim_success,BASE TABLE,success_name,text
dim_success,BASE TABLE,is_successful,boolean
dim_takeaway_type,BASE TABLE,takeaway_type_id,text
dim_takeaway_type,BASE TABLE,takeaway_type_code,text
dim_takeaway_type,BASE TABLE,takeaway_type_name,text
dim_team,BASE TABLE,team_name,text
dim_team,BASE TABLE,team_id,text
dim_team,BASE TABLE,norad_team,text
dim_team,BASE TABLE,league_id,text
dim_team,BASE TABLE,league,text
dim_team,BASE TABLE,long_team_name,text
dim_team,BASE TABLE,team_cd,text
dim_team,BASE TABLE,team_color1,text
dim_team,BASE TABLE,team_color2,text
dim_team,BASE TABLE,team_color3,text
dim_team,BASE TABLE,team_color4,text
dim_team,BASE TABLE,team_logo,text
dim_team,BASE TABLE,team_url,text
dim_terminology_mapping,BASE TABLE,dimension,text
dim_terminology_mapping,BASE TABLE,old_value,text
dim_terminology_mapping,BASE TABLE,new_value,text
dim_terminology_mapping,BASE TABLE,match_type,text
dim_time_bucket,BASE TABLE,time_bucket_id,text
dim_time_bucket,BASE TABLE,time_bucket_code,text
dim_time_bucket,BASE TABLE,time_bucket_name,text
dim_time_bucket,BASE TABLE,minute_start,bigint
dim_time_bucket,BASE TABLE,minute_end,bigint
dim_time_bucket,BASE TABLE,description,text
dim_turnover_quality,BASE TABLE,turnover_quality_id,text
dim_turnover_quality,BASE TABLE,turnover_quality_code,text
dim_turnover_quality,BASE TABLE,turnover_quality_name,text
dim_turnover_quality,BASE TABLE,description,text
dim_turnover_quality,BASE TABLE,counts_against,boolean
dim_turnover_type,BASE TABLE,turnover_type_id,text
dim_turnover_type,BASE TABLE,turnover_type_code,text
dim_turnover_type,BASE TABLE,turnover_type_name,text
dim_turnover_type,BASE TABLE,category,text
dim_turnover_type,BASE TABLE,quality,text
dim_turnover_type,BASE TABLE,weight,double precision
dim_turnover_type,BASE TABLE,description,text
dim_turnover_type,BASE TABLE,zone_context,text
dim_turnover_type,BASE TABLE,zone_danger_multiplier,double precision
dim_turnover_type,BASE TABLE,old_equiv,text
dim_venue,BASE TABLE,venue_id,text
dim_venue,BASE TABLE,venue_code,text
dim_venue,BASE TABLE,venue_name,text
dim_venue,BASE TABLE,venue_abbrev,text
dim_zone,BASE TABLE,zone_id,text
dim_zone,BASE TABLE,zone_code,text
dim_zone,BASE TABLE,zone_name,text
dim_zone,BASE TABLE,zone_abbrev,text
dim_zone_entry_type,BASE TABLE,zone_entry_type_id,text
dim_zone_entry_type,BASE TABLE,zone_entry_type_code,text
dim_zone_entry_type,BASE TABLE,zone_entry_type_name,text
dim_zone_entry_type,BASE TABLE,is_controlled,boolean
dim_zone_exit_type,BASE TABLE,zone_exit_type_id,text
dim_zone_exit_type,BASE TABLE,zone_exit_type_code,text
dim_zone_exit_type,BASE TABLE,zone_exit_type_name,text
dim_zone_exit_type,BASE TABLE,is_controlled,boolean
dim_zone_outcome,BASE TABLE,zone_outcome_id,text
dim_zone_outcome,BASE TABLE,zone_outcome_code,text
dim_zone_outcome,BASE TABLE,zone_outcome_name,text
dim_zone_outcome,BASE TABLE,is_controlled,boolean
dim_zone_outcome,BASE TABLE,zone_type,text
fact_breakouts,BASE TABLE,event_id,text
fact_breakouts,BASE TABLE,game_id,bigint
fact_breakouts,BASE TABLE,period,bigint
fact_breakouts,BASE TABLE,period_id,text
fact_breakouts,BASE TABLE,event_type,text
fact_breakouts,BASE TABLE,event_type_id,text
fact_breakouts,BASE TABLE,event_detail,text
fact_breakouts,BASE TABLE,event_detail_id,text
fact_breakouts,BASE TABLE,event_detail_2,text
fact_breakouts,BASE TABLE,event_detail_2_id,text
fact_breakouts,BASE TABLE,event_successful,boolean
fact_breakouts,BASE TABLE,success_id,text
fact_breakouts,BASE TABLE,event_team_zone,text
fact_breakouts,BASE TABLE,event_zone_id,text
fact_breakouts,BASE TABLE,sequence_key,text
fact_breakouts,BASE TABLE,play_key,text
fact_breakouts,BASE TABLE,event_chain_key,text
fact_breakouts,BASE TABLE,tracking_event_key,text
fact_breakouts,BASE TABLE,home_team,text
fact_breakouts,BASE TABLE,home_team_id,text
fact_breakouts,BASE TABLE,away_team,text
fact_breakouts,BASE TABLE,away_team_id,text
fact_breakouts,BASE TABLE,duration,bigint
fact_breakouts,BASE TABLE,event_player_ids,text
fact_breakouts,BASE TABLE,opp_player_ids,text
fact_breakouts,BASE TABLE,event_start_min,bigint
fact_breakouts,BASE TABLE,event_start_sec,bigint
fact_breakouts,BASE TABLE,event_end_min,bigint
fact_breakouts,BASE TABLE,event_end_sec,bigint
fact_breakouts,BASE TABLE,time_start_total_seconds,bigint
fact_breakouts,BASE TABLE,time_end_total_seconds,bigint
fact_breakouts,BASE TABLE,event_running_start,bigint
fact_breakouts,BASE TABLE,event_running_end,bigint
fact_breakouts,BASE TABLE,running_video_time,bigint
fact_breakouts,BASE TABLE,period_start_total_running_seconds,bigint
fact_breakouts,BASE TABLE,running_intermission_duration,bigint
fact_breakouts,BASE TABLE,team_venue,text
fact_breakouts,BASE TABLE,team_venue_abv,text
fact_breakouts,BASE TABLE,player_team,text
fact_breakouts,BASE TABLE,home_team_zone,text
fact_breakouts,BASE TABLE,away_team_zone,text
fact_breakouts,BASE TABLE,player_role,text
fact_breakouts,BASE TABLE,side_of_puck,text
fact_breakouts,BASE TABLE,role_number,bigint
fact_breakouts,BASE TABLE,role_abrev,text
fact_breakouts,BASE TABLE,player_game_number,bigint
fact_breakouts,BASE TABLE,strength,text
fact_breakouts,BASE TABLE,play_detail1,text
fact_breakouts,BASE TABLE,play_detail_2,text
fact_breakouts,BASE TABLE,play_detail_successful,text
fact_breakouts,BASE TABLE,pressured_pressurer,bigint
fact_breakouts,BASE TABLE,is_goal,bigint
fact_breakouts,BASE TABLE,is_highlight,bigint
fact_breakouts,BASE TABLE,player_name,text
fact_breakouts,BASE TABLE,season_id,text
fact_breakouts,BASE TABLE,position_id,bigint
fact_breakouts,BASE TABLE,shot_type_id,text
fact_breakouts,BASE TABLE,zone_entry_type_id,text
fact_breakouts,BASE TABLE,zone_exit_type_id,text
fact_breakouts,BASE TABLE,stoppage_type_id,text
fact_breakouts,BASE TABLE,giveaway_type_id,text
fact_breakouts,BASE TABLE,takeaway_type_id,text
fact_breakouts,BASE TABLE,turnover_type_id,text
fact_breakouts,BASE TABLE,pass_type_id,text
fact_breakouts,BASE TABLE,time_bucket_id,text
fact_breakouts,BASE TABLE,strength_id,text
fact_breakouts,BASE TABLE,player_rating,bigint
fact_breakouts,BASE TABLE,cycle_key,text
fact_breakouts,BASE TABLE,is_cycle,bigint
fact_breakouts,BASE TABLE,is_rebound,bigint
fact_breakouts,BASE TABLE,is_zone_entry,bigint
fact_breakouts,BASE TABLE,is_zone_exit,bigint
fact_breakouts,BASE TABLE,is_controlled_entry,bigint
fact_breakouts,BASE TABLE,is_carried_entry,bigint
fact_breakouts,BASE TABLE,is_controlled_exit,bigint
fact_breakouts,BASE TABLE,is_carried_exit,bigint
fact_breakouts,BASE TABLE,is_rush,bigint
fact_breakouts,BASE TABLE,is_save,bigint
fact_breakouts,BASE TABLE,is_turnover,bigint
fact_breakouts,BASE TABLE,is_giveaway,bigint
fact_breakouts,BASE TABLE,is_bad_giveaway,bigint
fact_breakouts,BASE TABLE,is_takeaway,bigint
fact_breakouts,BASE TABLE,is_faceoff,bigint
fact_breakouts,BASE TABLE,is_penalty,bigint
fact_breakouts,BASE TABLE,is_blocked_shot,bigint
fact_breakouts,BASE TABLE,is_missed_shot,bigint
fact_breakouts,BASE TABLE,is_deflected,bigint
fact_breakouts,BASE TABLE,is_tipped,bigint
fact_breakouts,BASE TABLE,is_sog,bigint
fact_breakouts,BASE TABLE,is_corsi,bigint
fact_breakouts,BASE TABLE,is_fenwick,bigint
fact_breakouts,BASE TABLE,shot_outcome_id,text
fact_breakouts,BASE TABLE,pass_outcome_id,text
fact_breakouts,BASE TABLE,save_outcome_id,text
fact_breakouts,BASE TABLE,zone_outcome_id,text
fact_breakouts,BASE TABLE,is_scoring_chance,bigint
fact_breakouts,BASE TABLE,is_high_danger,bigint
fact_breakouts,BASE TABLE,is_pressured,bigint
fact_breakouts,BASE TABLE,danger_level,text
fact_breakouts,BASE TABLE,danger_level_id,text
fact_breakouts,BASE TABLE,scoring_chance_key,text
fact_breakouts,BASE TABLE,prev_event_id,text
fact_breakouts,BASE TABLE,prev_event_type,text
fact_breakouts,BASE TABLE,prev_event_detail,text
fact_breakouts,BASE TABLE,prev_event_team,text
fact_breakouts,BASE TABLE,prev_event_same_team,bigint
fact_breakouts,BASE TABLE,next_event_id,text
fact_breakouts,BASE TABLE,next_event_type,text
fact_breakouts,BASE TABLE,next_event_detail,text
fact_breakouts,BASE TABLE,next_event_team,text
fact_breakouts,BASE TABLE,next_event_same_team,bigint
fact_breakouts,BASE TABLE,time_since_prev,bigint
fact_breakouts,BASE TABLE,time_to_next,bigint
fact_breakouts,BASE TABLE,time_to_next_sog,bigint
fact_breakouts,BASE TABLE,time_since_last_sog,bigint
fact_breakouts,BASE TABLE,events_to_next_sog,bigint
fact_breakouts,BASE TABLE,events_since_last_sog,bigint
fact_breakouts,BASE TABLE,next_sog_result,text
fact_breakouts,BASE TABLE,led_to_sog,bigint
fact_breakouts,BASE TABLE,is_pre_shot_event,bigint
fact_breakouts,BASE TABLE,is_shot_assist,bigint
fact_breakouts,BASE TABLE,time_to_next_goal,bigint
fact_breakouts,BASE TABLE,time_since_last_goal,bigint
fact_breakouts,BASE TABLE,events_to_next_goal,bigint
fact_breakouts,BASE TABLE,events_since_last_goal,bigint
fact_breakouts,BASE TABLE,led_to_goal,bigint
fact_breakouts,BASE TABLE,time_since_zone_entry,bigint
fact_breakouts,BASE TABLE,events_since_zone_entry,bigint
fact_breakouts,BASE TABLE,time_since_zone_exit,bigint
fact_breakouts,BASE TABLE,sequence_event_num,bigint
fact_breakouts,BASE TABLE,sequence_total_events,bigint
fact_breakouts,BASE TABLE,sequence_duration,bigint
fact_breakouts,BASE TABLE,is_sequence_first,bigint
fact_breakouts,BASE TABLE,is_sequence_last,bigint
fact_breakouts,BASE TABLE,sequence_has_sog,bigint
fact_breakouts,BASE TABLE,sequence_has_goal,bigint
fact_breakouts,BASE TABLE,sequence_shot_count,bigint
fact_breakouts,BASE TABLE,consecutive_team_events,bigint
fact_breakouts,BASE TABLE,time_since_possession_change,bigint
fact_breakouts,BASE TABLE,events_since_possession_change,bigint
fact_breakouts,BASE TABLE,time_since_faceoff,bigint
fact_breakouts,BASE TABLE,events_since_faceoff,bigint
fact_breakouts,BASE TABLE,is_rush_calculated,bigint
fact_breakouts,BASE TABLE,time_from_entry_to_shot,text
fact_breakouts,BASE TABLE,breakout_key,text
fact_breakouts,BASE TABLE,breakout_successful,text
fact_breakouts,BASE TABLE,turnover_weight,text
fact_breakouts,BASE TABLE,turnover_zone_multiplier,text
fact_breakouts,BASE TABLE,turnover_category,text
fact_breakouts,BASE TABLE,time_to_next_event,bigint
fact_breakouts,BASE TABLE,time_from_last_event,bigint
fact_breakouts,BASE TABLE,time_to_next_goal_for,bigint
fact_breakouts,BASE TABLE,time_to_next_goal_against,bigint
fact_breakouts,BASE TABLE,time_from_last_goal_for,bigint
fact_breakouts,BASE TABLE,time_from_last_goal_against,bigint
fact_breakouts,BASE TABLE,time_to_next_stoppage,bigint
fact_breakouts,BASE TABLE,time_from_last_stoppage,bigint
fact_breakouts,BASE TABLE,event_player_1_toi,double precision
fact_breakouts,BASE TABLE,event_player_2_toi,double precision
fact_breakouts,BASE TABLE,event_player_3_toi,double precision
fact_breakouts,BASE TABLE,event_player_4_toi,double precision
fact_breakouts,BASE TABLE,event_player_5_toi,text
fact_breakouts,BASE TABLE,event_player_6_toi,text
fact_breakouts,BASE TABLE,opp_player_1_toi,double precision
fact_breakouts,BASE TABLE,opp_player_2_toi,double precision
fact_breakouts,BASE TABLE,opp_player_3_toi,text
fact_breakouts,BASE TABLE,opp_player_4_toi,text
fact_breakouts,BASE TABLE,opp_player_5_toi,text
fact_breakouts,BASE TABLE,opp_player_6_toi,text
fact_breakouts,BASE TABLE,team_on_ice_toi_avg,double precision
fact_breakouts,BASE TABLE,team_on_ice_toi_min,double precision
fact_breakouts,BASE TABLE,team_on_ice_toi_max,double precision
fact_breakouts,BASE TABLE,opp_on_ice_toi_avg,double precision
fact_breakouts,BASE TABLE,opp_on_ice_toi_min,double precision
fact_breakouts,BASE TABLE,opp_on_ice_toi_max,double precision
fact_cycle_events,BASE TABLE,cycle_key,text
fact_cycle_events,BASE TABLE,game_id,bigint
fact_cycle_events,BASE TABLE,season_id,text
fact_cycle_events,BASE TABLE,team_id,text
fact_cycle_events,BASE TABLE,team_name,text
fact_cycle_events,BASE TABLE,home_team_id,text
fact_cycle_events,BASE TABLE,away_team_id,text
fact_cycle_events,BASE TABLE,pass_count,bigint
fact_cycle_events,BASE TABLE,event_count,bigint
fact_cycle_events,BASE TABLE,player_count,bigint
fact_cycle_events,BASE TABLE,start_event_id,text
fact_cycle_events,BASE TABLE,end_event_id,text
fact_cycle_events,BASE TABLE,start_time,bigint
